Time,Elapsed,NVB,CTL 0 nM,TXL 5 nM,Dox 100 nM,TXL 10 nM,Dox 50 nM,TXL 20 nM,Dox 25 nM,TXL 40 nM,Dox 12.5 nM,NVB 40 nM,Cis 100000 nM,NVB 20 nM,Cis 50000 nM,NVB 10 nM,Cis 25000 nM,NVB 5 nM,Cis 12500 nM,blank
9/16/16 16:00,0,0,0.2245835,0.2040679,0.1947254,0.1951226,0.1409669,0.1677512,0.2285899,0.1219192,0.2465842,0.1740716,0.1375649,0.3413393,0.1563018,0.8673016,0.1445589,0.2144293,0.167613,0.1597902
9/16/16 18:00,2,0.4401353,0.08846914,0.2908447,0.2941949,0.3587637,0.3161783,0.2648376,0.3015169,0.2151201,0.2667199,0.2832118,0.2968025,0.6914166,0.1772491,0.9208182,0.2815367,0.3130872,0.2982876,0.2100602
9/16/16 20:00,4,0.4652271,0.105859,0.3294064,0.3503191,0.4031796,0.3659476,0.3090289,0.353324,0.2246871,0.2786182,0.3275068,0.3636854,0.5601549,0.2117526,0.9353241,0.3271959,0.3403031,0.3470035,0.1944836
9/16/16 22:00,6,0.2925198,0.1070161,0.408084,0.3700058,0.4422766,0.4188944,0.3631673,0.4037149,0.28297,0.3267815,0.4102426,0.4401871,0.660177,0.2566002,0.9928991,0.3261425,0.3707829,0.3644625,0.06066604
9/17/16 0:00,8,0.2077117,0.1140273,0.4225209,0.3976017,0.4688536,0.4435027,0.4077732,0.4463694,0.3321522,0.3534621,0.4705805,0.7714412,0.7227944,0.3589882,1.016419,0.3943896,0.3984479,0.3785713,0.04650544
9/17/16 2:00,10,0.204845,0.1254421,0.4449706,0.3666729,0.5174659,0.4383565,0.4518955,0.4216574,0.3769307,0.3459501,0.5816894,1.679463,0.8545052,0.6825404,1.035139,0.4041985,0.4380803,0.3571749,0.04215366
9/17/16 4:00,12,0.2548215,0.1720339,0.4549175,0.4115551,0.5596541,0.4345574,0.5201081,0.4078077,0.4590794,0.3580557,0.6413192,2.645543,1.015901,0.9825894,1.040492,0.4141454,0.4527762,0.3761881,
9/17/16 6:00,14,0.3157811,0.1729492,0.4718412,0.3728034,0.5957291,0.4309654,0.545977,0.409241,0.5943648,0.3343108,0.772322,3.710592,1.148735,1.386184,1.048091,0.4416204,0.4493224,0.3752729,
9/17/16 8:00,16,0.4284441,0.1627432,0.4583368,0.3451212,0.6031892,0.413092,0.6871512,0.3612504,0.7692136,0.3279385,0.8803741,4.233791,1.126319,1.696922,1.043204,0.4127466,0.4509284,0.374893,
9/17/16 10:00,18,0.5686858,0.1583741,0.4086711,0.3211518,0.6412501,0.3705584,0.7475064,0.3436878,0.8975396,0.3054543,1.066465,4.629477,1.166504,1.914218,1.011981,0.4392028,0.4123667,0.3457083,
9/17/16 12:00,20,0.7195824,0.1732945,0.4230562,0.340165,0.6241884,0.3487477,0.7530497,0.3240875,1.052874,0.2924852,1.148199,4.75725,1.31545,2.106042,1.00276,0.4019708,0.4229181,0.3500774,
9/17/16 14:00,22,0.9496229,0.1881804,0.4389437,0.3351052,0.6273832,0.3303907,0.8483747,0.345622,1.252228,0.2714516,1.200939,4.713576,1.436505,2.340072,0.9792219,0.4262855,0.4333313,0.4382702,
9/17/16 16:00,24,1.059402,0.2036534,0.4665741,0.3365039,0.6771352,0.3289574,0.9477751,0.3484886,1.46063,0.2613147,1.376582,4.653981,1.421879,2.415365,0.9793256,0.4607545,0.3907286,0.4206904,
9/17/16 18:00,26,1.098844,0.2337533,0.5051358,0.3415983,0.7798685,0.3563633,1.057347,0.3502846,1.624392,0.2589488,1.565764,4.588428,1.420825,2.660084,0.978065,0.5311084,0.4171329,0.4285478,
9/17/16 20:00,28,1.09634,0.2542516,0.5401401,0.4549348,0.8286362,0.3518043,1.220833,0.370662,1.827459,0.2555641,1.672279,4.602692,1.539411,2.990906,0.9836083,0.5831054,0.4106225,0.4328305,
9/17/16 22:00,30,1.116787,0.2646476,0.5915327,0.5211787,0.914774,0.4014181,1.317781,0.379642,2.044029,0.262558,1.832898,4.790821,1.688978,3.329672,1.016281,0.6304743,0.4245068,0.3976535,
9/18/16 0:00,32,1.106633,0.2541998,0.682385,0.5489991,1.018233,0.4640356,1.474238,0.3800909,2.233522,0.2646303,1.973416,4.808521,1.739024,3.677108,1.033516,0.6725761,0.4313281,0.4221064,
9/18/16 2:00,34,1.062476,0.260952,0.7604409,0.6865641,1.089623,0.5169997,1.564797,0.3879829,2.385904,0.3036582,2.06919,4.957208,1.815681,3.817729,1.097014,0.6706938,0.4180309,0.4050964,
9/18/16 4:00,36,1.07358,0.2745427,0.7974656,0.7814227,1.155729,0.6157438,1.603203,0.4039394,2.448539,0.3122582,2.139423,4.975167,1.878178,3.890432,1.108032,0.7195652,0.4265618,0.4252321,
9/18/16 6:00,38,1.084666,0.2928133,0.8516731,0.8924797,1.307178,0.685856,1.67202,0.4301538,2.479536,0.3221879,2.225785,4.927402,2.105369,4.080529,1.076757,0.7560891,0.4304992,0.5134077,
9/18/16 8:00,40,1.115768,0.3180434,0.8963307,0.9142905,1.391692,0.7778308,1.792627,0.429014,2.585896,0.3333265,2.315809,4.879842,2.14621,4.044436,1.101297,0.7855155,0.4300329,0.5754725,
9/18/16 10:00,42,1.151549,0.3160229,0.9630755,1.023983,1.504787,0.8684412,1.850081,0.4447116,2.723599,0.3557071,2.38934,4.783499,2.320143,4.053641,1.094648,0.8367008,0.4502204,0.5858685,
9/18/16 12:00,44,1.164795,0.3179743,1.021945,1.168128,1.526442,0.9553908,1.884826,0.4750705,2.797925,0.3483332,2.487998,4.748788,2.387009,4.069909,1.118876,0.9087126,0.4583886,0.6204756,
9/18/16 14:00,46,1.115026,0.3295445,1.084235,1.373577,1.548668,1.104526,1.888211,0.4882813,2.795732,0.3489722,2.457277,4.70451,2.441044,4.012075,1.144124,0.9646124,0.4557983,0.6850962,
9/18/16 16:00,48,1.106788,0.3423409,1.076602,1.639036,1.53126,1.193548,1.885154,0.498729,2.780932,0.3714737,2.47256,4.641081,2.519203,3.990402,1.149788,1.003744,0.4628786,0.8172559,
9/18/16 18:00,50,1.145678,0.3734078,1.103576,1.866901,1.531675,1.265335,1.876641,0.5284835,2.838231,0.3744267,2.455308,4.511443,2.64917,3.941876,1.180458,1.03975,0.4647436,0.89115,
9/18/16 20:00,52,1.164277,0.3702821,1.120966,2.113796,1.529672,1.339557,1.821224,0.5649039,2.825642,0.416753,2.55647,4.435925,2.697868,3.897978,1.158923,1.082266,0.4580605,1.001983,
9/18/16 22:00,54,1.14257,0.4244032,1.111693,2.22715,1.528601,1.4846,1.804957,0.5772858,2.856778,0.3892262,2.61591,4.367954,2.734358,3.848503,1.176106,1.132415,0.4804757,1.082024,
9/19/16 0:00,56,1.161894,0.4351963,1.136042,2.241656,1.505823,1.709736,1.817874,0.5956945,2.857607,0.4098627,2.63943,4.29558,2.826713,3.797732,1.205826,1.185103,0.49436,1.055896,
9/19/16 2:00,58,1.153812,0.4764175,1.158302,2.275676,1.457953,1.811502,1.819308,0.5928279,2.801016,0.4155442,2.642763,4.216626,2.876378,3.770274,1.215894,1.257495,0.5115945,1.127373,
9/19/16 4:00,60,1.18032,0.4696825,1.214167,2.281202,1.394352,1.941037,1.798999,0.6134816,2.763732,0.4248695,2.700908,4.134322,2.831686,3.677246,1.242074,1.255008,0.5166543,1.259135,
9/19/16 6:00,62,1.154744,0.5024591,1.241814,2.427125,1.349435,2.040143,1.739266,0.6360868,2.727329,0.4490979,2.683915,4.094897,2.812587,3.620241,1.242937,1.326381,0.5042896,1.420911,
9/19/16 8:00,64,1.179853,0.5322136,1.23375,2.563705,1.399999,2.094489,1.765221,0.6492285,2.711805,0.4481999,2.656595,4.077714,2.780138,3.567536,1.254404,1.36629,0.5108691,1.438249,
9/19/16 10:00,66,1.159666,0.6375028,1.276905,2.990872,1.520916,2.284656,1.770419,0.7259719,2.732027,0.5087278,2.763594,4.091892,3.19437,3.52875,1.345118,1.365806,0.541608,1.54081,
9/19/16 12:00,68,1.175968,0.7365578,1.279185,3.137019,1.529741,2.398942,1.738834,0.7732372,2.652969,0.5425578,2.770916,4.020623,3.081189,3.491828,1.402157,1.391019,0.5544388,1.647567,
9/19/16 14:00,70,1.275886,0.8088804,1.404575,3.491069,1.676545,2.764907,1.825697,0.9605542,2.687369,0.6550136,2.990319,4.09671,3.425412,3.502984,1.487553,1.523179,0.5072945,1.890801,
9/19/16 16:00,72,1.277682,0.8956572,1.42288,3.572354,1.74657,3.043905,1.777758,0.9821059,2.644041,0.70986,3.046063,4.021745,3.457584,3.474819,1.529344,1.593066,0.5080888,2.021234,
9/16/16 16:00,0,0.009739722,0.1312445,0.1268581,0.09715545,0.1957097,0.09104222,0.1786652,0.1664214,0.11401,0.209594,0.1792869,0.1544713,0.1343874,0.09568759,0.1087084,0.1088638,0.2219759,0.1648845,
9/16/16 18:00,2,0.590462,0.07999005,0.2088341,0.2174686,0.2644749,0.1795286,0.2672207,0.2787391,0.186937,0.267497,0.2888933,0.226673,0.1794941,0.1613098,0.1652472,0.1575624,0.2942121,0.2531637,
9/16/16 20:00,4,0.3610259,0.093788,0.2631106,0.2679632,0.3096506,0.1837595,0.3242947,0.308649,0.2104229,0.2524902,0.3010507,0.2510223,0.2280891,0.1632439,0.1823608,0.1857455,0.3449658,0.3073366,
9/16/16 22:00,6,0.3437397,0.09991849,0.3108422,0.3317722,0.3545673,0.1968322,0.3474525,0.3170418,0.2318192,0.2915872,0.3467445,0.3148141,0.2861302,0.2181421,0.2214405,0.2531637,0.3610777,0.3486268,
9/17/16 0:00,8,0.285474,0.1087084,0.3225851,0.3585737,0.4023507,0.2178831,0.3699368,0.3353124,0.2756134,0.3454493,0.4422939,0.6370884,0.3192522,0.3569159,0.2423015,0.2736793,0.4017981,0.3748584,
9/17/16 2:00,10,0.2839544,0.1177747,0.3439124,0.4043193,0.4519991,0.2520239,0.410847,0.3433252,0.3077683,0.3547918,0.5045832,1.398427,0.3448103,0.5627798,0.2443392,0.3807471,0.407894,0.3505609,
9/17/16 4:00,12,0.3239494,0.1341802,0.393578,0.4112097,0.4888339,0.286562,0.4737753,0.3566396,0.360197,0.3752038,0.5782701,2.591146,0.3957021,0.9403494,0.2570319,0.4132129,0.3801082,0.3557071,
9/17/16 6:00,14,0.4745697,0.144438,0.3966864,0.3938543,0.507588,0.2973551,0.5469269,0.3711801,0.4268209,0.4088093,0.7108443,3.509823,0.470995,1.350506,0.2564966,0.4375449,0.3496111,0.4132647,
9/17/16 8:00,16,0.6353096,0.168252,0.4027478,0.3552754,0.5307631,0.297994,0.6773078,0.3654986,0.5405028,0.3847018,0.8482884,4.109437,0.5715525,1.560739,0.2872009,0.4849483,0.3598517,0.3741504,
9/17/16 10:00,18,0.7262137,0.225706,0.3927318,0.3484886,0.5734003,0.2914664,0.7151616,0.3849781,0.6308715,0.3697813,0.9719344,4.501219,0.6657376,1.747658,0.3074402,0.5287426,0.352426,0.3732697,
9/17/16 12:00,20,0.7846521,0.2406955,0.3971527,0.321549,0.5894949,0.2918981,0.8350603,0.32521,0.7359189,0.3567259,1.066206,4.747061,0.613378,2.011339,0.3154703,0.5469096,0.3725271,0.3630291,
9/17/16 14:00,22,0.9565823,0.2654765,0.4162177,0.3675882,0.627763,0.3147277,0.9417482,0.3218598,0.8038034,0.3491448,1.204634,4.882467,0.701519,2.135175,0.3177325,0.5558894,0.3307534,0.3072675,
9/17/16 16:00,24,1.059782,0.278152,0.5068627,0.3945106,0.6860632,0.3345007,1.084425,0.31269,0.9373964,0.332722,1.301617,4.850451,0.7779516,2.15272,0.3151594,0.5622099,0.3146932,0.3269887,
9/17/16 18:00,26,1.141637,0.3004117,0.5298478,0.4263373,0.7794368,0.3709729,1.21541,0.3093398,1.177004,0.3887427,1.449129,4.619996,0.8106764,2.359983,0.3414256,0.5425578,0.3184751,0.3060587,
9/17/16 20:00,28,1.208071,0.3356232,0.5858684,0.4850692,0.8458189,0.4014354,1.374389,0.2937459,1.358346,0.391782,1.630661,4.602157,0.8230237,2.675902,0.3202193,0.5709653,0.3553617,0.2997382,
9/17/16 22:00,30,1.239224,0.3152803,0.6979271,0.5260831,0.9156029,0.4291176,1.481008,0.2889624,1.614186,0.3868258,1.793231,4.737891,0.9157066,2.952966,0.3633054,0.5901684,0.3861178,0.2829182,
9/18/16 0:00,32,1.311909,0.3229477,0.766416,0.6193185,1.035415,0.46053,1.570409,0.2931933,1.710755,0.3822496,2.013325,4.866079,1.022792,3.182316,0.3663275,0.571587,0.3675364,0.2699665,
9/18/16 2:00,34,1.356239,0.3127763,0.8769549,0.7119668,1.197416,0.5012503,1.804094,0.3520806,1.946183,0.3896407,2.147004,4.979847,1.203046,3.44648,0.3758945,0.6366221,0.3616131,0.2845933,
9/18/16 4:00,36,1.421015,0.3261943,0.926327,0.7495096,1.285626,0.5207643,1.957373,0.3747721,2.182319,0.3781913,2.274122,5.012848,1.243231,3.599017,0.3821632,0.7062853,0.3503537,0.3537902,
9/18/16 6:00,38,1.469144,0.3191659,1.04348,0.927484,1.36591,0.5625035,2.16524,0.4006238,2.347532,0.3536866,2.36822,5.021276,1.354115,3.675571,0.4040603,0.7247977,0.3184578,0.3769307,
9/18/16 8:00,40,1.451409,0.3203056,1.141706,1.10867,1.438733,0.6342217,2.324478,0.4158551,2.52093,0.3622866,2.487204,5.024678,1.44887,3.711404,0.4117623,0.7801967,0.3236213,0.4477682,
9/18/16 10:00,42,1.482199,0.3485577,1.181667,1.257633,1.557837,0.7214475,2.509153,0.4295321,2.618552,0.3527713,2.584014,4.90661,1.692,3.75525,0.4783516,0.8053921,0.3182333,0.4917869,
9/18/16 12:00,44,1.525959,0.3896407,1.265352,1.544765,1.71616,0.9342707,2.618742,0.4553493,2.76147,0.3603525,2.706658,4.856581,1.777914,3.678662,0.4819781,0.8582007,0.3280076,0.5100057,
9/18/16 14:00,46,1.580494,0.4036113,1.359779,1.710651,1.855849,1.067829,2.676593,0.4576461,2.906012,0.3804536,2.823276,4.790838,1.881234,3.652603,0.4920287,0.9445631,0.3263325,0.6130499,
9/18/16 16:00,48,1.597314,0.4395481,1.487414,1.783647,1.93988,1.161099,2.823034,0.4940491,3.047082,0.4012627,2.89287,4.702282,1.937289,3.664622,0.5011121,1.04702,0.3288883,0.6836629,
9/18/16 18:00,50,1.635168,0.491476,1.493061,1.883859,2.024135,1.273814,2.876585,0.5176386,3.099753,0.4723074,2.874979,4.587945,1.99609,3.612729,0.5226293,1.133901,0.3257971,0.7604409,
9/18/16 20:00,52,1.687787,0.54931,1.553572,2.060417,2.06211,1.383213,2.842134,0.5317473,3.097128,0.4851038,2.930516,4.547379,2.115678,3.559402,0.5631079,1.202959,0.3323248,0.7891074,
9/18/16 22:00,54,1.722446,0.6409566,1.717213,2.185618,2.194529,1.523438,2.887482,0.5561312,3.113447,0.5237346,3.030539,4.410143,2.203664,3.479222,0.6213908,1.247306,0.3666038,0.8799252,
9/19/16 0:00,56,1.72122,0.7264037,1.804733,2.385921,2.33762,1.588196,2.928082,0.6135507,3.146569,0.5394839,3.078115,4.338148,2.255678,3.410094,0.6302326,1.248411,0.3967901,0.9521096,
9/19/16 2:00,58,1.737262,0.7899709,1.811847,2.580405,2.364352,1.73355,2.965555,0.6346534,3.169312,0.5304867,3.088701,4.291384,2.279181,3.351846,0.6593999,1.240968,0.4026788,1.0235,
9/19/16 4:00,60,1.690066,0.8079824,1.918915,2.717952,2.388546,1.827355,3.089668,0.6723862,3.232379,0.5359955,3.103966,4.194125,2.294395,3.347995,0.7055945,1.354668,0.4077731,1.109948,
9/19/16 6:00,62,1.701308,0.8597378,1.996695,2.835433,2.366649,1.971085,3.119578,0.7023824,3.23977,0.5774239,3.149332,4.140867,2.340383,3.293114,0.7362125,1.42832,0.4335731,1.290254,
9/19/16 8:00,64,1.748038,0.9223205,2.023099,3.008072,2.360795,2.110135,3.060708,0.7328277,3.192367,0.6011688,3.154979,4.06661,2.407835,3.281716,0.7446225,1.488036,0.4359216,1.363406,
9/19/16 10:00,66,1.748712,1.078916,2.254262,3.369875,2.466308,2.447848,3.166515,0.804805,3.317981,0.6315104,3.310245,4.071239,2.491037,3.342348,0.8052367,1.619505,0.5201771,1.52121,
9/19/16 12:00,68,1.792869,1.111641,2.283205,3.597273,2.392276,2.532742,3.081569,0.882291,3.255554,0.6859078,3.287847,3.954431,2.558404,3.291128,0.8247679,1.642801,0.5231301,1.645719,
9/19/16 14:00,70,1.939154,1.184637,2.554847,3.990678,2.599608,2.928565,3.376523,0.9746112,3.449053,0.8076717,3.471693,3.96044,2.761436,3.385624,0.9225969,1.871287,0.5922925,2.053976,
9/19/16 16:00,72,1.97744,1.196518,2.542499,4.120559,2.610954,3.130751,3.304753,1.063391,3.443026,0.8157017,3.474076,3.902002,2.883303,3.350205,0.9388298,1.981947,0.5912219,2.214336,
9/16/16 16:00,0,0,0.228728,0.1749351,0.4276843,0.2882371,0.129863,0.1606363,0.1808238,0.1270308,0.1054791,0.3027085,0.1546613,0.1594102,0.1343529,0.1286023,0.1988354,0.1443344,0.1573898,
9/16/16 18:00,2,0.5401919,0.1187763,0.2662709,0.6305606,0.4210358,0.252991,0.2197827,0.2590006,0.2723323,0.2299023,0.3506645,0.2036016,0.6337382,0.2591215,0.2679632,0.2836089,0.1794077,0.2026518,
9/16/16 20:00,4,0.3437224,0.1018181,0.3130872,0.6561706,0.459373,0.2702082,0.2431131,0.3001527,0.2924852,0.2572564,0.3666038,0.2483975,0.6003227,0.2877708,0.2928824,0.3355887,0.2179694,0.2381397,
9/16/16 22:00,6,0.2932278,0.1018354,0.4175819,0.676099,0.5208679,0.2856295,0.2755789,0.323345,0.3331365,0.2740937,0.4417758,0.349732,0.6624565,0.3398714,0.3191313,0.3533412,0.2867519,0.2590179,
9/17/16 0:00,8,0.2651311,0.1116441,0.4608581,0.7214302,0.5432485,0.3248819,0.3189932,0.3659649,0.391264,0.298184,0.4940146,0.6652368,0.68444,0.3983097,0.3538248,0.4129366,0.3396642,0.2916563,
9/17/16 2:00,10,0.3192004,0.1186208,0.4656071,0.7870352,0.5506051,0.3414429,0.363979,0.3649633,0.4237988,0.2965262,0.5357883,1.642991,0.7669858,0.5814821,0.3508717,0.4270972,0.3418919,0.3025358,
9/17/16 4:00,12,0.3867395,0.1147353,0.497313,0.8048567,0.5836753,0.3559489,0.4597356,0.3683307,0.5147892,0.2978732,0.6339108,2.874634,0.7922677,0.8112981,0.3864805,0.4714612,0.3682617,0.2899467,
9/17/16 6:00,14,0.4300156,0.1589612,0.493652,0.8355783,0.6199057,0.3390425,0.5301068,0.3969455,0.6833866,0.3089426,0.7364024,3.599293,0.8022492,1.104353,0.4085157,0.4720657,0.3760154,0.2955246,
9/17/16 8:00,16,0.5337506,0.1701861,0.4987981,0.7906444,0.6317868,0.3495248,0.5819484,0.4255602,0.8564393,0.3230514,0.9320085,4.279226,0.9013387,1.338089,0.4044057,0.4845857,0.3773797,0.2778239,
9/17/16 10:00,18,0.6439614,0.17756,0.531661,0.8028018,0.7172166,0.338628,0.6804681,0.3926282,1.029976,0.3371947,1.11247,4.558414,0.902254,1.635151,0.3949941,0.5399674,0.3681235,0.2825728,
9/17/16 12:00,20,0.7912661,0.1688218,0.5730894,0.7656734,0.7787978,0.3101342,0.7611834,0.4081013,1.246512,0.3050743,1.204842,4.769753,0.9778578,1.999993,0.3876375,0.6067122,0.3475043,0.2741455,
9/17/16 14:00,22,1.009581,0.1597902,0.6123073,0.7991753,0.8119543,0.2634388,0.8008158,0.3753765,1.35781,0.3116884,1.298526,4.722349,0.9904814,2.031889,0.4165976,0.6319939,0.3726307,0.2489846,
9/17/16 16:00,24,1.188609,0.1800812,0.6225306,0.8257868,0.8409145,0.2885306,0.9225796,0.3700922,1.531485,0.2924334,1.412311,4.683632,1.058452,2.075631,0.4219165,0.6459128,0.3676054,0.2591388,
9/17/16 18:00,26,1.295366,0.1836732,0.6960965,0.8159089,0.9128226,0.2967852,1.147992,0.4006929,1.694211,0.3017414,1.523317,4.675447,1.167022,2.292565,0.4108988,0.6663938,0.3650669,0.2471886,
9/17/16 20:00,28,1.3771,0.2229602,0.7714067,0.7698007,0.9850589,0.3192177,1.286006,0.434471,1.879162,0.3123792,1.650658,4.580311,1.179784,2.585672,0.4185317,0.6044844,0.3878274,0.2683259,
9/17/16 22:00,30,1.461597,0.2519031,0.8040106,0.8839834,1.123401,0.3550854,1.450131,0.441724,2.04826,0.3118438,1.83257,4.532735,1.340092,2.910588,0.4241442,0.6251382,0.3711456,0.2658046,
9/18/16 0:00,32,1.500021,0.278411,0.9276912,1.026073,1.204548,0.4195161,1.709062,0.4628095,2.240585,0.3024322,1.95986,4.616628,1.413745,3.237283,0.4404461,0.6590545,0.393768,0.3027258,
9/18/16 2:00,34,1.533592,0.3152458,1.048177,1.134436,1.42231,0.5305904,2.007989,0.4689918,2.364767,0.3073711,2.102917,4.810076,1.508707,3.407418,0.4589585,0.700811,0.4072723,0.3085282,
9/18/16 4:00,36,1.588041,0.3186132,1.152914,1.191182,1.591754,0.6540465,2.240965,0.493911,2.620659,0.3338963,2.155967,4.899253,1.559547,3.511567,0.4717376,0.7198587,0.3973427,0.373805,
9/18/16 6:00,38,1.625135,0.3340345,1.360746,1.301997,1.687562,0.7115696,2.503972,0.5062583,2.871163,0.3515625,2.261308,4.910685,1.65558,3.581765,0.473689,0.7230362,0.4108643,0.3954604,
9/18/16 8:00,40,1.713794,0.354291,1.408115,1.441703,1.830947,0.7868625,2.72094,0.5254096,3.017742,0.3561043,2.361658,4.860847,1.833434,3.584166,0.4751741,0.7461249,0.4033523,0.3973599,
9/18/16 10:00,42,1.734724,0.3393706,1.487967,1.567387,1.928223,0.8623453,2.963034,0.5270157,3.182126,0.3750829,2.474597,4.788161,1.955456,3.54759,0.4844303,0.7877086,0.4048547,0.4167012,
9/18/16 12:00,44,1.790123,0.3470207,1.594724,1.871564,2.200314,1.106305,3.141527,0.5045832,3.260096,0.3625802,2.526491,4.701315,2.072229,3.450659,0.4895074,0.9109576,0.4106398,0.5052913,
9/18/16 14:00,46,1.774477,0.36315,1.703605,2.122793,2.416832,1.270464,3.169122,0.4919941,3.332246,0.3666038,2.660136,4.632447,2.142117,3.386695,0.576854,0.9693096,0.4501686,0.5933632,
9/18/16 16:00,48,1.837993,0.3733215,1.723361,2.340693,2.565881,1.402986,3.22333,0.5066037,3.458776,0.381956,2.741714,4.60606,2.244332,3.313388,0.6128081,1.026056,0.4675412,0.6209763,
9/18/16 18:00,50,1.875242,0.3929218,1.742219,2.538147,2.675332,1.521676,3.338462,0.502131,3.509702,0.3935608,2.817888,4.545739,2.334339,3.282511,0.6348952,1.035105,0.4765729,0.7482835,
9/18/16 20:00,52,1.861755,0.4471983,1.888574,2.752801,2.862908,1.606726,3.464474,0.5409518,3.528784,0.4131956,2.833292,4.420832,2.450524,3.234227,0.6450148,1.053237,0.4942391,0.8380824,
9/18/16 22:00,54,1.991652,0.4562473,2.010545,2.916909,2.905684,1.605241,3.551441,0.5506224,3.535122,0.4135755,2.905269,4.366124,2.533433,3.18577,0.6520779,1.094959,0.4913206,0.9889099,
9/19/16 0:00,56,2.080847,0.4811664,2.077376,2.99208,3.002822,1.711462,3.518837,0.5661472,3.538057,0.4244205,2.941241,4.286497,2.571701,3.164891,0.6741822,1.088967,0.5164125,1.166384,
9/19/16 2:00,58,2.099186,0.5360301,2.188951,3.218097,3.057686,1.815215,3.517715,0.5886142,3.595667,0.4423457,3.037809,4.232496,2.619156,3.155186,0.7260237,1.142673,0.5341305,1.291826,
