Date Time,Elapsed,Control,U0126 13.33 nM,U0126 5.93 nM,U0126 2.63 nM,U0126 1.17 nM,JNK-IN-7 3.33 nM,JNK-IN-7 1.48 nM,JNK-IN-7 0.66 nM,JNK-IN-7 0.29 nM,R428 2 nM,R428 0.89 nM,R428 0.4 nM,R428 0.18 nM,Erlotinib 5 nM,Erlotinib 1.25 nM,Erlotinib 0.31 nM,Erlotinib 0.08 nM
4/20/17 16:01,0.0000,0.8439,0.4507,0.8907,0.5683,0.8022,0.8639,0.5591,0.6927,0.6754,0.6067,0.7758,0.7765,0.6883,0.5449,0.5425,0.8451,0.7322
4/20/17 19:03,3.0333,0.8606,0.5315,1.0669,0.6979,0.8776,0.8790,0.6883,0.9357,0.7732,0.7061,0.8585,0.8865,0.8442,0.6559,0.6744,0.7903,0.7794
4/20/17 22:01,6.0000,0.9267,0.5859,1.1459,0.7521,0.8938,0.9173,0.7424,1.0281,0.7715,0.7596,0.8882,1.0337,0.8236,0.6784,0.7235,0.8551,0.8772
4/21/17 1:01,9.0000,0.9866,0.6165,1.2152,0.8245,0.9902,0.9404,0.7890,1.0988,0.8063,0.8000,0.9484,1.1268,0.8938,0.7578,0.7473,0.8910,0.8978
4/21/17 4:04,12.0500,1.0159,0.6727,1.2551,0.8892,1.0305,0.9656,0.8616,1.2061,0.8476,0.8209,0.9531,1.1853,1.0057,0.7626,0.7755,0.8931,0.9346
4/21/17 7:05,15.0667,0.9785,0.7189,1.2889,0.9550,1.1087,1.0511,0.8725,1.2396,0.9336,0.7947,1.0024,1.2345,1.1081,0.7895,0.7979,1.0762,0.9964
4/21/17 10:03,18.0333,1.0703,0.7152,1.3306,1.0263,1.1459,1.0422,0.9403,1.4014,0.9117,0.8770,0.9976,1.4588,1.1900,0.7977,0.8894,1.1118,1.0254
4/21/17 13:01,21.0000,1.0674,0.7392,1.3411,1.1077,1.1154,0.9813,0.9010,1.3773,0.9532,0.9119,0.9840,1.4215,1.2583,0.8293,0.8928,1.0912,1.0734
4/21/17 16:01,24.0000,1.1509,0.8380,1.3522,1.2535,1.3335,1.1244,1.0469,1.6330,1.0707,0.9742,1.1159,1.8083,1.4403,0.9781,1.1304,1.4296,1.3428
4/21/17 19:03,27.0333,1.2098,0.9171,1.3965,1.2463,1.3025,1.2739,1.1496,1.6662,1.1138,0.9630,1.1749,1.8713,1.5293,1.0257,1.1435,1.3120,1.3506
4/21/17 22:01,30.0000,1.1913,0.8971,1.3864,1.2098,1.3296,1.2315,1.1008,1.8013,1.1175,0.8454,1.1412,1.8292,1.4972,1.0149,1.1725,1.3593,1.3376
4/22/17 1:01,33.0000,1.2426,0.9386,1.4261,1.4207,1.4824,1.1375,1.0888,1.7941,1.1655,0.8943,1.1411,1.8952,1.6563,0.9803,1.1376,1.4974,1.4357
4/22/17 4:04,36.0500,1.2892,0.8788,1.4468,1.4079,1.4481,1.1569,1.0544,1.9435,1.1951,0.8246,1.1596,2.0625,1.6731,1.0711,1.2314,1.4803,1.5084
4/22/17 7:05,39.0667,1.3470,0.9485,1.5477,1.5788,1.5742,1.1432,1.0399,2.1268,1.2556,0.8507,1.1627,2.2434,1.8464,1.0922,1.2965,1.5738,1.5448
4/22/17 10:03,42.0333,1.3689,1.0618,1.5920,1.6653,1.6087,1.1888,1.0504,2.1540,1.2554,0.8841,1.1594,2.3196,1.9315,1.0874,1.3253,1.5215,1.5959
4/22/17 13:01,45.0000,1.3944,1.0555,1.6161,1.6741,1.7685,1.1405,1.0825,2.2025,1.3175,0.8506,1.1643,2.6813,2.0774,1.1139,1.3710,1.7640,1.6645
4/22/17 16:01,48.0000,1.4734,1.0986,1.6218,1.8217,1.7990,1.2543,1.1099,2.3020,1.3826,0.8400,1.2104,2.7171,2.0751,1.0301,1.4353,1.6498,1.7346
4/22/17 19:03,51.0333,1.6130,1.1416,1.8253,1.9276,1.9784,1.3412,1.2308,2.7071,1.6283,0.9499,1.4189,3.5483,2.6458,1.3850,1.6040,2.2490,1.9511
4/22/17 22:01,54.0000,1.6470,1.3126,1.9334,2.1667,2.2371,1.6427,1.3154,2.9262,1.7058,1.0207,1.3645,3.5878,2.6540,1.3353,1.8171,1.9710,2.0394
4/23/17 1:01,57.0000,1.8330,1.2577,1.9074,2.2220,2.3047,1.5806,1.3942,2.9966,1.7333,0.9959,1.3010,3.4844,2.7281,1.1997,1.7782,2.0262,2.1137
4/23/17 4:04,60.0500,1.8302,1.2845,1.9992,2.5063,2.3044,1.5774,1.3853,3.0743,1.8145,0.9658,1.3689,3.3973,2.9559,1.2187,1.9287,1.9521,2.0924
4/23/17 7:05,63.0667,1.8407,1.1736,1.9226,2.4719,2.4519,1.5352,1.4884,3.2651,1.9516,0.9572,1.3552,4.0287,2.9880,1.1388,1.9053,2.1524,2.2088
4/23/17 10:03,66.0333,1.9615,1.2434,2.0191,2.7279,2.5676,1.5369,1.4691,3.4243,2.0179,1.0191,1.3751,3.9667,3.3384,1.1913,1.9016,2.2132,2.1947
4/23/17 13:01,69.0000,2.0728,1.1748,2.0701,2.5948,2.6487,1.5205,1.4682,3.8612,2.1185,1.0324,1.3307,4.3144,3.4360,1.2158,2.0110,2.3564,2.2095
4/23/17 16:01,72.0000,2.4686,1.4752,2.2668,3.1855,3.1055,1.8331,1.6383,4.2569,2.3416,1.2412,1.5505,6.1657,4.2609,1.5842,2.6522,3.2904,2.6744
4/23/17 19:03,75.0333,2.4534,1.4331,2.2510,3.2634,3.1684,1.7826,1.6489,4.4220,2.5419,1.1002,1.3861,4.9998,4.2935,1.3704,2.3841,2.7105,2.5218
4/23/17 22:01,78.0000,2.5328,1.3690,2.2180,3.4118,3.3869,1.7007,1.5860,4.4635,2.6827,1.1774,1.3745,5.2105,4.3901,1.3847,2.3334,2.7020,2.7079
4/24/17 1:01,81.0000,2.7487,1.3768,2.1820,3.4226,3.5067,1.5533,1.6389,4.7505,2.7396,1.1153,1.3835,5.9155,4.6300,1.4044,2.4622,2.7225,2.6547
4/24/17 4:04,84.0500,2.7483,1.4182,2.2433,3.5158,3.5898,1.6131,1.6254,5.2129,3.0131,1.1349,1.4312,5.8198,5.0365,1.5038,2.6134,2.9001,2.7538
4/24/17 7:05,87.0667,2.8372,1.2794,2.2826,3.4913,3.7315,1.6805,1.6941,5.6598,3.1434,1.1921,1.3940,6.4069,5.9366,1.4699,2.8403,2.9699,2.8053
4/24/17 10:03,90.0333,2.9513,1.4209,2.2774,3.7504,3.8346,1.8037,1.6823,5.9291,3.3220,1.0970,1.3565,7.0214,6.0315,1.5129,2.7967,3.0972,2.8874
4/24/17 13:01,93.0000,3.2340,1.2662,2.2142,3.8354,4.2343,1.8729,1.8895,6.8378,3.7200,1.0982,1.5318,7.1093,6.4785,1.6065,3.2699,3.3558,3.0045
4/24/17 16:01,96.0000,3.8873,1.6705,2.5722,4.7828,4.7596,2.3217,2.2414,8.0988,4.6414,1.1828,1.7325,9.9334,8.1167,1.8893,3.9572,4.3374,3.6149
