Date Time,Elapsed,Control,Blank,Dox 6.25,NVB 2.5,Dox 12.5,NVB 5,Dox 25,NVB 10,Dox 50,NVB 20,Dox 100,NVB 40,Dox 200,NVB 80,Dox 400,NVB 160
10/11/2017 12:30,0,0.0363,0.0083,0.0484,0.0797,0.0323,0.0571,0.0601,0.0483,0.0388,0.069,0.0362,0.0681,0.054,0.0711,0.1486,0.0412
10/11/2017 15:30,3,0.0534,0.0069,0.0896,0.1321,0.0463,0.0917,0.0807,0.0652,0.0586,0.0893,0.0727,0.1126,0.0845,0.0944,0.1652,0.0699
10/11/2017 18:30,6,0.0751,0.0063,0.1421,0.1342,0.0543,0.1037,0.0732,0.0788,0.0802,0.1177,0.1011,0.155,0.0888,0.1699,0.1735,0.1191
10/11/2017 21:28,8.9667,0.084,0.0054,0.1585,0.1261,0.057,0.102,0.0811,0.0847,0.0562,0.1233,0.0955,0.1302,0.0985,0.187,0.1795,0.1562
10/12/2017 0:30,12,0.0681,0.0059,0.1445,0.1243,0.0628,0.1045,0.0797,0.087,0.0644,0.1307,0.0844,0.1352,0.0975,0.1663,0.1759,0.1367
10/12/2017 3:30,15,0.0638,0.005,0.1251,0.1199,0.0612,0.1076,0.0814,0.0808,0.0571,0.1328,0.0827,0.1394,0.0919,0.1521,0.1768,0.1364
10/12/2017 6:30,18,0.0683,0.0051,0.1199,0.125,0.0505,0.1089,0.0796,0.0714,0.0555,0.1401,0.0849,0.1555,0.0803,0.1628,0.1628,0.1654
10/12/2017 9:30,21,0.0589,0.0044,0.1119,0.1266,0.046,0.1038,0.0799,0.0661,0.0572,0.1252,0.0718,0.1685,0.0798,0.1712,0.1568,0.1771
10/12/2017 12:30,24,0.0532,0.0043,0.1035,0.1178,0.0409,0.1071,0.0821,0.0629,0.061,0.1216,0.0664,0.1889,0.085,0.2059,0.1556,0.194
10/12/2017 15:30,27,0.0551,0.0045,0.0974,0.1185,0.0426,0.1054,0.0748,0.0612,0.0625,0.1168,0.0652,0.1932,0.0796,0.2288,0.1464,0.211
