Date Time,Elapsed,Control,R 1,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20
3/3/2017 12:00,0,6.7629,5.5616,6.3519,6.8218,7.6046,7.0117,5.1576,6.0579,5.9462,7.4508
3/3/2017 15:00,3,7.3636,6.1815,7.1704,7.6532,8.3598,7.8049,5.6622,6.2872,6.5254,7.41
3/3/2017 18:00,6,8.9433,7.0166,8.2323,8.4595,9.4226,9.209,6.5578,7.1557,7.3792,8.3617
3/3/2017 21:00,9,9.7701,7.752,9.4824,9.636,10.1975,9.9344,7.3285,8.089,7.8668,8.4423
3/4/2017 0:00,12,10.891,8.8122,10.1086,10.7995,11.0034,11.0553,7.9668,9.3901,8.141,9.0318
3/4/2017 3:00,15,12.329,9.6446,11.7734,12.1652,12.3917,12.5809,8.6416,10.2352,8.5883,9.8316
3/4/2017 6:00,18,13.6027,11.5325,12.3752,13.0051,14.1542,14.3478,9.2969,10.9999,9.4502,10.8929
3/4/2017 9:00,21,14.897,11.1668,13.7902,14.3875,15.3342,14.6161,9.9391,11.9272,9.982,12.4572
3/4/2017 12:00,24,13.8687,12.2395,14.0085,13.4556,16.0882,14.8208,9.8739,11.3354,8.9267,11.8795
3/4/2017 15:00,27,15.4569,13.8401,16.629,16.1202,17.9964,16.9889,10.7755,13.1436,10.3748,13.6283
3/4/2017 18:00,30,17.1507,14.855,18.3054,17.3575,19.326,18.9025,11.8348,14.5602,11.285,13.9692
3/4/2017 21:00,33,18.9939,15.2454,18.8413,17.595,19.3747,18.8348,12.9076,15.6263,11.2453,13.9806
3/5/2017 0:00,36,19.8546,16.4661,21.6844,20.4056,22.3861,21.1058,13.7377,16.842,11.8143,14.5239
3/5/2017 3:00,39,22.5208,18.1978,21.6387,21.3008,24.0424,22.8327,14.757,18.2153,12.5282,14.9196
3/5/2017 6:00,42,24.2621,20.3291,25.4046,25.2833,27.2855,24.8299,16.2448,19.4971,13.7858,15.8235
3/5/2017 9:00,45,26.7282,22.4091,26.7508,24.787,29.5271,29.3449,16.997,20.6994,14.13,17.0571
3/5/2017 12:00,48,33.2212,28.098,32.8749,30.0375,34.2234,34.782,18.9057,24.6695,15.9047,18.9398
3/5/2017 15:00,51,37.2066,31.0906,37.5794,34.3295,35.8167,38.4023,20.4419,30.7618,17.2634,20.2004
3/5/2017 18:00,54,41.6462,33.1508,39.007,40.0451,40.574,41.5681,22.0232,29.7536,17.8899,21.7488
3/5/2017 21:00,57,43.4345,35.9586,40.3193,41.9985,42.2087,43.543,21.5283,31.5595,17.2178,22.2062
