Date Time,Elapsed,Control,U0126 1.17 nM,U0126 2.63 nM,U0126 5.93 nM,U0126 13.33 nM,JNK-IN-7 0.29 nM,JNK-IN-7 0.66 nM,JNK-IN-7 1.48 nM,JNK-IN-7 3.33 nM,R428 0.18 nM,R428 0.4 nM,R428 0.89 nM,R428 2 nM,Erlotinib 0.08 nM,Erlotinib 0.31 nM,Erlotinib 1.25 nM,Erlotinib 5 nM,Control,U0126 1.17 nM,U0126 2.63 nM,U0126 5.93 nM,U0126 13.33 nM,JNK-IN-7 0.29 nM,JNK-IN-7 0.66 nM,JNK-IN-7 1.48 nM,JNK-IN-7 3.33 nM,R428 0.18 nM,R428 0.4 nM,R428 0.89 nM,R428 2 nM,Erlotinib 0.08 nM,Erlotinib 0.31 nM,Erlotinib 1.25 nM,Erlotinib 5 nM,Control,Control
4/20/2017 16:01,0,0.863,0.807,0.5754,0.8967,0.4548,0.6824,0.6995,0.5616,0.8692,0.7014,0.8269,0.7888,0.6101,0.7358,0.9443,0.5462,0.551,0.4396,0.6066,0.631,1.0792,0.3982,0.9775,0.3822,0.433,0.6115,0.733,0.7143,0.8343,0.7943,0.7159,0.5843,0.5219,0.4152,0.8763,0.7319
4/20/2017 19:03,3.0333,0.8725,0.899,0.704,1.0749,0.5388,0.7832,0.9467,0.6977,0.8843,0.8588,0.9177,0.869,0.7138,0.7853,0.8382,0.683,0.6616,0.5339,0.7463,0.8662,1.2053,0.5245,0.9902,0.5164,0.5674,0.6835,0.7787,0.7846,1.0155,0.7388,0.8091,0.7151,0.6139,0.5066,0.9291,0.8842
4/20/2017 22:01,6,0.9337,0.903,0.7664,1.1572,0.5945,0.781,1.0383,0.7473,0.9235,0.8357,1.0787,0.9148,0.7654,0.885,0.8886,0.7362,0.6912,0.5368,0.7588,0.8764,1.3086,0.5064,1.0877,0.5743,0.6143,0.7149,0.8565,0.9049,1.055,0.7455,0.8063,0.7558,0.6152,0.5791,1.0045,0.942
4/21/2017 1:01,9,0.9989,1.0045,0.8332,1.2258,0.6275,0.8189,1.1119,0.8099,0.955,0.9194,1.1927,0.9629,0.8068,0.9033,0.9143,0.7565,0.7641,0.6796,0.8381,0.899,1.3842,0.5792,1.1598,0.6362,0.7264,0.7338,0.8289,1.0191,1.0874,0.7461,0.8302,0.7968,0.6633,0.6076,1.0012,0.9719
4/21/2017 4:04,12.05,1.0274,1.0385,0.9009,1.2655,0.6772,0.8592,1.2219,0.876,0.9761,1.0314,1.2487,0.9726,0.8304,0.9424,0.9234,0.7931,0.7834,0.6892,0.8859,1.0188,1.5122,0.5537,1.1934,0.6669,0.7316,0.7926,0.9268,1.0556,1.1333,0.718,0.885,0.9447,0.7119,0.6749,1.0265,0.9752
4/21/2017 7:05,15.0667,0.9901,1.1298,0.979,1.3068,0.727,0.9502,1.2554,0.8834,1.0694,1.1312,1.3034,1.0235,0.806,1.0037,1.1277,0.8144,0.8003,0.7174,0.9665,1.1042,1.5757,0.5757,1.2601,0.6665,0.8571,0.8212,1.009,1.1515,1.181,0.8524,0.9236,1.0246,0.8264,0.7356,1.1658,1.1039
4/21/2017 10:03,18.0333,1.0812,1.1564,1.041,1.3438,0.7254,0.9269,1.4216,0.9541,1.0544,1.2093,1.5369,1.0233,0.8884,1.0333,1.1706,0.9034,0.8128,0.7731,1.0127,1.1296,1.6048,0.6201,1.2542,0.7112,0.9827,0.8363,1.0044,1.1768,1.1749,0.7886,0.9947,1.0908,0.8867,0.6994,1.2078,1.1487
4/21/2017 13:01,21,1.0775,1.131,1.1353,1.3534,0.7577,0.9647,1.4018,0.9242,0.9954,1.2814,1.4651,1.0041,0.9232,1.0839,1.1184,0.9016,0.8454,0.7502,1.0812,1.1134,1.6346,0.6482,1.2699,0.8142,0.9541,0.7741,1.1345,1.2916,1.2,0.8382,0.9773,1.1661,0.8968,0.723,1.1785,1.2726
4/21/2017 16:01,24,1.163,1.3448,1.2693,1.3673,0.8444,1.0822,1.6529,1.0712,1.1481,1.4645,1.9264,1.1389,0.99,1.3517,1.4972,1.1592,0.9976,0.9674,1.1861,1.2491,1.8032,0.642,1.4199,1.0203,0.9909,0.9201,1.3807,1.4758,1.4682,1.0505,1.1507,1.3931,0.9753,0.8712,1.4394,1.3804
4/21/2017 19:03,27.0333,1.2232,1.3119,1.2747,1.4185,0.9282,1.1299,1.6907,1.172,1.2888,1.5485,1.9642,1.2081,0.9824,1.3622,1.377,1.1683,1.0441,0.931,1.2986,1.3715,1.9131,0.6698,1.49,1.0591,0.9421,0.8932,1.3912,1.7116,1.5645,1.2315,1.1557,1.3802,1.1331,0.8942,1.5105,1.4147
