Date Time,Elapsed,Control,R 1,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20,Dox 200,NVB 40,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20
3/6/17 6:00,66,55.5130,47.7604,62.9540,55.6385,53.7611,54.9210,31.3492,38.0062,26.1441,33.1400,16.5786,19.0842,56.4628,51.9337,54.1364,54.1893,26.0986,39.0851,18.7004,22.7955
3/6/17 9:00,69,62.0486,52.2823,56.0709,62.6794,58.7907,60.3590,32.0002,42.7117,27.6418,33.7061,17.5345,19.8326,62.3109,61.8736,56.8982,61.7822,27.9349,41.3462,19.2396,23.9963
3/6/17 12:00,72,68.3054,59.3357,65.9206,73.8744,58.7198,69.9513,36.3502,48.9684,30.7061,39.4651,19.8625,24.9038,69.0850,64.2203,65.4133,70.8159,30.9520,49.6787,21.3480,27.2365
3/3/17 12:00,0,5.8920,5.7178,6.5480,6.2419,6.7332,5.4641,6.9908,6.8815,7.2881,6.6667,5.4729,5.8871,6.4489,5.1652,6.7510,6.7249,6.7006,5.7293,6.4702,6.7690
3/3/17 15:00,3,6.8992,6.5950,7.5728,7.3230,7.8387,6.1969,7.6431,7.4289,8.4386,7.4811,7.1244,6.4587,7.1584,5.9579,6.9994,7.8211,7.2802,6.3053,6.9308,6.9407
3/3/17 18:00,6,8.1143,7.1202,8.8295,8.7520,8.8541,7.9237,8.8357,8.3512,9.7054,8.3326,7.9365,7.3521,8.0789,6.6644,8.3337,9.1436,8.5600,7.0458,7.8485,7.3276
3/3/17 21:00,9,8.9060,7.7955,9.7962,9.9142,9.4424,8.9622,9.7067,9.0524,10.4516,8.4719,8.3749,7.4164,9.2113,7.4381,9.3231,10.2953,8.9650,7.5641,8.4033,8.3509
3/4/17 0:00,12,10.0263,9.4330,10.8073,10.5585,10.4508,9.3949,10.7523,9.6345,11.0178,9.3156,8.8855,7.9127,10.5674,8.2521,9.9976,11.2959,9.6544,8.1509,9.3595,8.5722
3/4/17 3:00,15,11.3431,10.4829,11.9072,11.7361,11.6353,11.5066,11.2783,11.3167,12.4141,10.3218,9.3101,8.3767,11.2674,9.8790,11.0968,11.9720,9.8876,9.1221,9.6075,9.2777
3/4/17 6:00,18,12.5563,10.9659,13.1053,13.3846,12.5379,12.5464,12.4875,12.6022,12.6265,11.4940,9.9437,9.4496,13.4613,10.6047,12.4536,13.8350,10.8415,10.7394,10.6495,9.8743
3/4/17 9:00,21,13.0486,12.7910,14.6725,15.4473,13.5549,13.0858,13.3976,13.9271,13.9488,13.1698,10.8439,11.0292,13.2449,11.5725,13.4444,15.4751,11.6789,12.2646,11.3377,11.1438
3/4/17 12:00,24,12.7458,12.8096,15.7759,14.1974,14.6880,12.8975,13.8396,14.4503,13.6406,13.3443,10.5133,11.7271,13.9557,11.8069,13.6936,15.3650,11.6794,11.6039,11.3393,11.5298
3/4/17 15:00,27,15.3329,14.8192,18.7216,16.9782,15.8425,14.8888,15.3488,15.3902,14.8421,14.4819,11.1686,12.6806,15.5005,14.0903,15.0357,16.9073,12.8301,13.4460,11.7132,12.9306
3/4/17 18:00,30,16.9325,15.4189,20.1127,18.7710,16.7961,16.5661,16.2987,16.8793,16.0711,15.5596,12.2476,13.3533,17.3012,15.2501,15.8642,18.5692,13.9122,14.8668,12.8695,13.1381
3/4/17 21:00,33,17.7120,15.9640,22.1453,18.4755,18.2048,17.6689,17.2996,18.0741,15.5858,15.6553,11.7542,13.9061,19.1879,16.3713,17.2993,19.3934,14.9015,14.4425,13.8972,13.8073
3/5/17 0:00,36,18.3999,16.9485,23.9130,21.2119,20.0749,19.9643,17.9163,20.4398,16.2378,16.5398,11.7552,13.9863,20.5806,17.7148,18.4577,21.3463,15.2438,17.4342,13.2038,14.0422
3/5/17 3:00,39,20.1436,17.8288,25.4435,22.7444,21.8279,21.2204,19.6899,20.7806,18.2865,17.8675,11.8411,14.8178,22.1822,17.9372,19.8589,25.2685,16.1742,17.2953,13.6230,14.6632
3/5/17 6:00,42,23.0595,21.9848,29.5284,25.2711,23.5740,23.2733,21.1873,22.8081,18.0442,19.1047,12.7795,14.7982,24.9222,21.3001,21.6308,27.1573,17.3941,19.6986,14.6515,15.3283
3/5/17 9:00,45,25.4144,25.0962,31.8016,27.9389,26.1165,23.9695,22.4849,25.6431,18.6622,20.0595,13.8528,16.1877,26.7003,22.4007,25.4253,29.9874,18.9592,20.3157,15.6162,16.1792
3/5/17 10:07,46.11666667,30.2329,29.2357,35.7164,34.5266,28.2446,32.6527,26.6603,27.7420,20.6568,23.1907,14.9614,17.6206,33.8339,27.8693,28.2987,35.6481,20.5844,25.6662,17.8263,19.4143
3/5/17 12:00,48,31.1748,32.1426,36.3002,35.3633,29.9914,31.0132,26.7691,27.8303,20.9348,23.5739,14.0008,18.5875,33.5227,30.5905,29.7707,34.3628,22.1609,25.0648,17.6669,18.3745
3/5/17 15:00,51,35.8731,30.7156,40.6880,35.2203,33.2798,34.5728,27.4453,32.0228,23.3889,24.9386,15.0412,18.3671,36.7175,33.0203,31.4013,37.9580,23.4592,28.7643,18.6266,19.4851
3/5/17 18:00,54,37.4695,37.1563,44.0963,42.3925,38.5450,38.2541,30.5409,32.9552,25.5456,26.4037,16.4759,19.2976,40.6564,35.7980,34.0589,42.7791,24.9846,31.2097,20.2405,21.0107
3/5/17 21:00,57,39.9472,35.6967,45.8682,43.2170,37.9613,38.8309,32.3994,35.8558,24.1198,27.1464,15.5716,20.3053,40.7479,35.9678,34.8291,45.3843,23.7302,31.4268,19.5729,19.9175
