Date Time,Elapsed,Control,U0126 1.17 然,U0126 2.63 然,U0126 5.93 然,U0126 13.33 然,JNK-IN-7 0.29 然,JNK-IN-7 0.66 然,JNK-IN-7 1.48 然,JNK-IN-7 3.33 然,R428 0.18 然,R428 0.4 然,R428 0.89 然,R428 2 然,Erlotinib 0.08 然,Erlotinib 0.31 然,Erlotinib 1.25 然,Erlotinib 5 然,Control,U0126 1.17 然,U0126 2.63 然,U0126 5.93 然,U0126 13.33 然,JNK-IN-7 0.29 然,JNK-IN-7 0.66 然,JNK-IN-7 1.48 然,JNK-IN-7 3.33 然,R428 0.18 然,R428 0.4 然,R428 0.89 然,R428 2 然,Erlotinib 0.08 然,Erlotinib 0.31 然,Erlotinib 1.25 然,Erlotinib 5 然
4/20/2017 16:01,0,0.1522,0.237,0.1496,0.2219,0.0925,0.1283,0.2003,0.3728,0.2751,0.1632,0.1556,0.1198,0.1212,0.0992,0.1068,0.0667,0.0799,0.1265,0.279,0.1778,0.1641,0.1004,0.0957,0.0988,0.1261,0.1086,0.1137,0.112,0.162,0.1901,0.11,0.1098,0.0747,0.0533
4/20/2017 19:03,3.0333,0.1583,0.1979,0.1707,0.2556,0.0924,0.1615,0.228,0.3923,0.1472,0.173,0.2026,0.1175,0.1603,0.101,0.1121,0.0752,0.0712,0.1116,0.2869,0.2207,0.1696,0.1222,0.1095,0.1413,0.1815,0.1483,0.1387,0.1801,0.2103,0.2176,0.0985,0.1315,0.0885,0.0916
4/20/2017 22:01,6,0.1597,0.188,0.1558,0.2401,0.0811,0.1433,0.2346,0.3727,0.134,0.1639,0.2111,0.1534,0.2817,0.1025,0.1123,0.0799,0.0801,0.1114,0.2443,0.1865,0.1585,0.1188,0.1038,0.1336,0.1753,0.1475,0.1265,0.194,0.2468,0.2477,0.098,0.1231,0.0753,0.0973
4/21/2017 1:01,9,0.1564,0.1746,0.1396,0.2257,0.08,0.1354,0.2257,0.3596,0.1452,0.1579,0.2004,0.1738,0.3344,0.0937,0.1077,0.0814,0.0823,0.105,0.2194,0.1713,0.1483,0.1208,0.0986,0.1255,0.1697,0.1409,0.1207,0.1807,0.2561,0.2603,0.0905,0.1083,0.0683,0.1095
4/21/2017 4:04,12.05,0.1529,0.1661,0.1302,0.2156,0.0735,0.1236,0.2111,0.3323,0.1569,0.1519,0.1857,0.1876,0.3757,0.0906,0.1089,0.0804,0.0738,0.1046,0.2043,0.161,0.1244,0.1124,0.093,0.1162,0.1663,0.1459,0.1136,0.162,0.2727,0.2247,0.0982,0.1127,0.0853,0.0986
4/21/2017 7:05,15.0667,0.1511,0.1595,0.1222,0.2116,0.0763,0.1474,0.2015,0.3219,0.194,0.1482,0.1864,0.2167,0.4096,0.0881,0.1222,0.0808,0.0732,0.1078,0.1873,0.1605,0.1119,0.1148,0.0928,0.113,0.1574,0.1521,0.1137,0.1731,0.2847,0.2541,0.0962,0.1071,0.0666,0.093
4/21/2017 10:03,18.0333,0.1519,0.1522,0.1162,0.2073,0.075,0.1309,0.1899,0.3269,0.2019,0.1461,0.1805,0.2358,0.4317,0.0831,0.1163,0.077,0.0749,0.109,0.1782,0.1559,0.1056,0.1093,0.0919,0.1084,0.1479,0.1569,0.1062,0.1658,0.2822,0.2956,0.0941,0.1047,0.0679,0.0869
4/21/2017 13:01,21,0.1426,0.152,0.1108,0.1978,0.0708,0.1216,0.1739,0.3293,0.2175,0.1371,0.1705,0.2511,0.428,0.0698,0.1108,0.0774,0.0694,0.0975,0.1661,0.1487,0.1024,0.1128,0.0912,0.1009,0.1443,0.1628,0.1174,0.155,0.2666,0.3038,0.0917,0.1079,0.0744,0.0837
4/21/2017 16:01,24,0.1657,0.1676,0.1106,0.2006,0.0819,0.1479,0.215,0.3743,0.2976,0.1629,0.1809,0.2664,0.4741,0.1306,0.1324,0.0959,0.0697,0.1297,0.1758,0.1633,0.1297,0.1095,0.1006,0.1221,0.161,0.1921,0.1378,0.2199,0.3694,0.3705,0.0822,0.1485,0.0769,0.0932
4/21/2017 19:03,27.0333,0.1597,0.1573,0.117,0.1848,0.0952,0.1386,0.1989,0.4031,0.4919,0.174,0.2041,0.2785,0.4998,0.1156,0.1256,0.0939,0.0879,0.1286,0.1882,0.1518,0.1418,0.1104,0.102,0.125,0.1724,0.2213,0.1122,0.2914,0.3634,0.4409,0.0962,0.1371,0.0818,0.1104
