Date Time,Elapsed,Control,R 1,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20,Dox 200,NVB 40,"Dox 12.5, R 1","NVB 2.5, R 1","Dox 25, R 1","NVB 5, R 1","Dox 50, R 1","NVB 10, R 1","Dox 100, R 1","NVB 20, R 1"
3/3/2017 12:00,0,0.0422,0.047,0.0342,0.0358,0.027,0.0867,0.0526,0.0237,0.0321,0.0416,0.0379,0.0821,0.0382,0.0684,0.0407,0.0349,0.0348,0.0586,0.0649,0.0361
3/3/2017 15:00,3,0.0858,0.0706,0.0471,0.0741,0.047,0.1129,0.095,0.0672,0.0595,0.056,0.0798,0.1351,0.0589,0.1162,0.0508,0.0543,0.0698,0.0906,0.1072,0.0684
3/3/2017 18:00,6,0.1457,0.1144,0.0625,0.1275,0.0653,0.1607,0.1253,0.1493,0.0976,0.0793,0.125,0.1962,0.1101,0.1599,0.0865,0.0849,0.1361,0.1113,0.1717,0.1221
3/3/2017 21:00,9,0.1402,0.121,0.0587,0.1288,0.0669,0.1405,0.1331,0.1477,0.0922,0.0802,0.1116,0.1754,0.1211,0.1802,0.0871,0.083,0.1346,0.1159,0.1554,0.123
3/4/2017 0:00,12,0.126,0.1125,0.0591,0.1245,0.07,0.1299,0.1322,0.1293,0.0922,0.0757,0.098,0.1761,0.1065,0.1816,0.0812,0.0869,0.1117,0.1198,0.1504,0.1264
3/4/2017 3:00,15,0.1215,0.1065,0.0545,0.1124,0.0661,0.1227,0.1364,0.1276,0.0878,0.0777,0.0901,0.1738,0.0969,0.1715,0.0796,0.0781,0.1001,0.1167,0.1295,0.1202
3/4/2017 6:00,18,0.1175,0.0917,0.0597,0.1062,0.0582,0.1183,0.1355,0.1214,0.0883,0.0811,0.0864,0.1684,0.0893,0.1639,0.0749,0.0764,0.0959,0.1102,0.1355,0.1207
3/4/2017 9:00,21,0.1117,0.0848,0.0551,0.0961,0.0538,0.1339,0.1203,0.1184,0.0887,0.0774,0.0863,0.1842,0.0891,0.161,0.076,0.0697,0.0917,0.1026,0.1288,0.1268
3/4/2017 12:00,24,0.0939,0.0728,0.0532,0.0757,0.0447,0.1234,0.1064,0.1109,0.0789,0.0791,0.079,0.1737,0.0799,0.1369,0.0723,0.0624,0.0818,0.0874,0.1166,0.1266
3/4/2017 15:00,27,0.1193,0.081,0.051,0.1006,0.0754,0.1334,0.119,0.1234,0.0944,0.0874,0.1068,0.2023,0.0946,0.1569,0.0818,0.0784,0.101,0.0925,0.1416,0.1486
3/4/2017 18:00,30,0.1241,0.0874,0.0508,0.0929,0.0776,0.1396,0.1175,0.1271,0.1015,0.0888,0.1227,0.2175,0.0987,0.1484,0.0866,0.078,0.1032,0.0944,0.1477,0.1514
3/4/2017 21:00,33,0.1154,0.0811,0.049,0.0819,0.0764,0.1264,0.1074,0.118,0.1014,0.09,0.1129,0.2083,0.0926,0.1382,0.0743,0.0721,0.097,0.087,0.1377,0.1394
3/5/2017 0:00,36,0.1085,0.08,0.0467,0.0777,0.0714,0.1297,0.0977,0.1112,0.0931,0.0911,0.1094,0.2009,0.0926,0.135,0.0723,0.0697,0.0962,0.0841,0.1331,0.1336
3/5/2017 3:00,39,0.1055,0.0814,0.0451,0.0787,0.0688,0.1299,0.0987,0.1142,0.0924,0.088,0.1008,0.1959,0.0874,0.1262,0.0704,0.0723,0.0946,0.0782,0.1347,0.1299
3/5/2017 6:00,42,0.102,0.0771,0.0458,0.0756,0.0659,0.127,0.0998,0.1128,0.0826,0.0812,0.1003,0.1888,0.0853,0.1219,0.0598,0.0723,0.0924,0.0736,0.1295,0.1268
3/5/2017 9:00,45,0.0994,0.0746,0.0491,0.0723,0.0651,0.1288,0.0931,0.1055,0.0841,0.0821,0.0996,0.1901,0.082,0.1154,0.0568,0.0705,0.0948,0.0759,0.127,0.1269
