Date Time,Elapsed,Blank,Control,JNK-IN-7 0.125,U0126 3.13,JNK-IN-7 0.25,U0126 6.25,JNK-IN-7 0.5,U0126 13,JNK-IN-7 1,U0126 25,JNK-IN-7 2,U0126 50,JNK-IN-7 4,U0126 100,JNK-IN-7 8,U0126 200,JNK-IN-7 10,Blank,Control,R428 0.13,Erlotinib 0.0005,R428 0.25,Erlotinib 0.001,R428 0.5,Erlotinib 0.004,R428 1,Erlotinib 0.012,R428 2,Erlotinib 0.037,R428 3,Erlotinib 0.111,R428 6,Erlotinib 0.333
11/17/2017 13:10,0,0.0243,0.0346,0.089,0.0267,0.0847,0.0331,0.0894,0.0461,0.0367,0.0442,0.076,0.0695,0.0533,0.0302,0.111,0.2077,0.0842,0.0161,0.0445,0.0442,0.0354,0.0355,0.1042,0.0462,0.0467,0.0402,0.0478,0.0707,0.0697,0.0689,0.0678,0.0717,0.2162
11/17/2017 16:10,3,0.024,0.0293,0.0858,0.0259,0.0802,0.0339,0.078,0.046,0.0317,0.0366,0.0681,0.0581,0.057,0.0288,0.0976,0.1187,0.0921,0.0147,0.0429,0.0475,0.0364,0.0371,0.0961,0.0423,0.0468,0.0358,0.0397,0.0923,0.0744,0.0715,0.0614,0.0757,0.2007
11/17/2017 19:10,6,0.0235,0.0315,0.0754,0.0294,0.0716,0.0336,0.072,0.041,0.0299,0.033,0.0706,0.06,0.0523,0.0268,0.0998,0.1073,0.1141,0.0143,0.0405,0.0469,0.0413,0.0317,0.0916,0.0446,0.0494,0.0369,0.0328,0.1011,0.0788,0.0728,0.0596,0.0824,0.1697
11/17/2017 22:10,9,0.0242,0.0297,0.0653,0.0304,0.0665,0.0322,0.0662,0.0362,0.0282,0.0323,0.0712,0.0531,0.0551,0.0248,0.0967,0.0952,0.1269,0.0125,0.0418,0.0452,0.038,0.035,0.0854,0.0403,0.0474,0.0365,0.0285,0.1029,0.0785,0.0794,0.0575,0.1084,0.1537
11/18/2017 1:10,12,0.0232,0.0282,0.0617,0.0289,0.0579,0.0281,0.0576,0.0299,0.0267,0.0299,0.0686,0.0494,0.0559,0.0257,0.1087,0.1057,0.1443,0.0125,0.041,0.0436,0.0354,0.0348,0.0809,0.0388,0.0435,0.0367,0.0265,0.1138,0.0757,0.0913,0.051,0.1554,0.1418
11/18/2017 4:10,15,0.0258,0.0273,0.0504,0.029,0.0543,0.0266,0.0547,0.0274,0.027,0.0286,0.0667,0.0517,0.0603,0.0252,0.1293,0.1357,0.157,0.0088,0.0397,0.0406,0.0347,0.0338,0.0782,0.0395,0.0455,0.037,0.0271,0.1151,0.0748,0.0999,0.0505,0.1935,0.1312
11/18/2017 7:10,18,0.0263,0.0273,0.0471,0.0281,0.0513,0.026,0.05,0.0272,0.0256,0.0302,0.0636,0.0497,0.0583,0.0254,0.1527,0.141,0.1637,0.0063,0.0398,0.0398,0.0346,0.0304,0.0743,0.0381,0.0405,0.0416,0.0274,0.1199,0.0719,0.1047,0.0509,0.2501,0.1236
11/18/2017 10:10,21,0.034,0.0272,0.0434,0.0279,0.0481,0.0262,0.0458,0.0271,0.0254,0.0302,0.0587,0.0484,0.0593,0.0254,0.1608,0.1491,0.1803,0.0071,0.0376,0.0388,0.0299,0.0289,0.0718,0.0411,0.0395,0.0339,0.0258,0.1278,0.0684,0.1164,0.0535,0.3752,0.1154
11/18/2017 13:10,24,0.0328,0.0264,0.0402,0.0265,0.0452,0.0258,0.0445,0.0242,0.0228,0.0316,0.0556,0.0464,0.0616,0.024,0.17,0.1344,0.189,0.005,0.0353,0.0372,0.0296,0.028,0.0694,0.037,0.0366,0.0369,0.0263,0.1332,0.0645,0.135,0.0525,0.5153,0.1136
11/18/2017 16:10,27,0.0334,0.027,0.0418,0.0273,0.0468,0.0248,0.0434,0.0222,0.0229,0.0282,0.0547,0.0449,0.063,0.0241,0.1718,0.1212,0.1897,0.0055,0.0344,0.0316,0.0293,0.027,0.0676,0.0368,0.0351,0.0371,0.0255,0.1353,0.0651,0.1657,0.0509,0.642,0.1099
