Date Time,Elapsed,Control,U0126 13.33 然,U0126 5.93 然,U0126 2.63 然,U0126 1.17 然,JNK-IN-7 3.33 然,JNK-IN-7 1.48 然,JNK-IN-7 0.66 然,JNK-IN-7 0.29 然,R428 2 然,R428 0.89 然,R428 0.4 然,R428 0.18 然,Erlotinib 5 然,Erlotinib 1.25 然,Erlotinib 0.31 然,Erlotinib 0.08 然,Control,U0126 13.33 然,U0126 5.93 然,U0126 2.63 然,U0126 1.17 然,JNK-IN-7 3.33 然,JNK-IN-7 1.48 然,JNK-IN-7 0.66 然,JNK-IN-7 0.29 然,R428 2 然,R428 0.89 然,R428 0.4 然,R428 0.18 然,Erlotinib 5 然,Erlotinib 1.25 然,Erlotinib 0.31 然,Erlotinib 0.08 然
4/22/2017 1:01,33,0.2411,0.1932,0.2335,0.1824,0.245,0.2519,0.3074,0.2304,0.2195,0.2648,0.2093,0.2664,0.2293,0.2004,0.1784,0.2144,0.2597,0.2134,0.328,0.2347,0.2077,0.2269,0.1431,0.1464,0.1735,0.2703,0.4308,0.2876,0.2346,0.2159,0.1746,0.165,0.1923,0.2426
4/22/2017 4:04,36.05,0.2436,0.2265,0.1899,0.1963,0.2279,0.26,0.3052,0.246,0.2142,0.2384,0.1905,0.2619,0.2063,0.1899,0.1699,0.2362,0.249,0.206,0.312,0.2173,0.1877,0.2167,0.1303,0.1515,0.1384,0.2832,0.3443,0.2361,0.2238,0.2199,0.1551,0.1474,0.1598,0.2036
4/22/2017 7:05,39.0667,0.2275,0.2057,0.1904,0.1895,0.2131,0.2511,0.2683,0.2381,0.1871,0.2523,0.1799,0.2357,0.225,0.1909,0.1643,0.2195,0.2763,0.1982,0.3289,0.2223,0.2118,0.2014,0.1115,0.1471,0.162,0.2511,0.3612,0.2275,0.1986,0.2072,0.1716,0.1551,0.2304,0.2047
4/22/2017 10:03,42.0333,0.2002,0.2091,0.1956,0.196,0.2217,0.2287,0.2735,0.2177,0.1933,0.2273,0.1748,0.2575,0.2027,0.1466,0.1657,0.1964,0.2458,0.2152,0.3169,0.2339,0.1957,0.2053,0.093,0.1373,0.1538,0.2392,0.3211,0.2285,0.2005,0.212,0.1494,0.1463,0.1545,0.2125
4/22/2017 13:01,45,0.2122,0.2213,0.2027,0.1782,0.2297,0.2335,0.2779,0.2161,0.1866,0.202,0.1689,0.2081,0.1753,0.1792,0.1578,0.1865,0.2311,0.1946,0.2879,0.2386,0.184,0.209,0.1113,0.1609,0.1447,0.2039,0.3148,0.1985,0.1966,0.2069,0.1313,0.1337,0.1887,0.212
4/22/2017 16:01,48,0.1996,0.2318,0.2011,0.1697,0.2456,0.2412,0.2737,0.2187,0.1841,0.2132,0.158,0.1894,0.2109,0.1423,0.1368,0.1818,0.2368,0.1853,0.325,0.3064,0.2063,0.1884,0.0868,0.1508,0.1369,0.1983,0.3062,0.2024,0.198,0.1973,0.1507,0.1298,0.174,0.2037
4/22/2017 19:03,51.0333,0.247,0.2689,0.3356,0.2218,0.2592,0.285,0.3096,0.3071,0.2175,0.2363,0.2292,0.2729,0.2499,0.1906,0.1847,0.2283,0.2767,0.2418,0.363,0.275,0.2313,0.2296,0.1107,0.188,0.1812,0.2707,0.3687,0.2968,0.2667,0.2673,0.1905,0.1863,0.2366,0.2314
4/22/2017 22:01,54,0.2406,0.3384,0.3327,0.2222,0.2531,0.3091,0.312,0.2701,0.1676,0.218,0.1866,0.2263,0.2193,0.2181,0.1886,0.1924,0.2718,0.3097,0.4174,0.2867,0.2189,0.2181,0.1282,0.1446,0.1583,0.2315,0.4482,0.2401,0.2365,0.2392,0.1596,0.1656,0.2029,0.1911
4/23/2017 1:01,57,0.2,0.2928,0.3202,0.2163,0.2374,0.2731,0.2861,0.2358,0.1681,0.1974,0.1437,0.2201,0.189,0.1614,0.1463,0.1771,0.2578,0.3092,0.3938,0.2732,0.2048,0.2035,0.0938,0.1255,0.1634,0.2088,0.3774,0.2207,0.1821,0.2105,0.1384,0.1197,0.1774,0.1773
4/23/2017 4:04,60.05,0.2169,0.3197,0.3331,0.2479,0.2276,0.2749,0.295,0.2251,0.1627,0.1779,0.1476,0.2085,0.1821,0.1607,0.1416,0.176,0.2622,0.3028,0.3657,0.2815,0.1953,0.1812,0.1005,0.1286,0.1394,0.1992,0.3901,0.2035,0.1802,0.1881,0.1678,0.1266,0.1859,0.1442
4/23/2017 7:05,63.0667,0.1772,0.2841,0.281,0.2026,0.2238,0.2901,0.2851,0.2331,0.1682,0.1479,0.1405,0.2043,0.1818,0.1502,0.1459,0.1644,0.2343,0.283,0.381,0.2818,0.2022,0.1907,0.0951,0.1162,0.147,0.1833,0.3933,0.2323,0.1746,0.1886,0.1385,0.1315,0.1566,0.1605
4/23/2017 10:03,66.0333,0.1837,0.2895,0.3167,0.2178,0.2221,0.2897,0.2878,0.2282,0.1574,0.1575,0.131,0.1967,0.2033,0.1401,0.1346,0.1572,0.2552,0.284,0.4028,0.3156,0.2186,0.1843,0.0928,0.1245,0.1666,0.1706,0.391,0.1931,0.1736,0.2229,0.1316,0.1362,0.1824,0.1389
4/23/2017 13:01,69,0.1795,0.3095,0.3594,0.2173,0.2342,0.2942,0.2912,0.2236,0.1609,0.1663,0.1407,0.1939,0.173,0.1475,0.146,0.1679,0.2483,0.268,0.3831,0.311,0.2272,0.177,0.0859,0.1186,0.1559,0.1823,0.3895,0.2114,0.1768,0.1766,0.1287,0.1263,0.1864,0.1507
4/23/2017 16:01,72,0.2029,0.4462,0.3882,0.2774,0.282,0.3413,0.3591,0.3298,0.1807,0.2492,0.1653,0.2587,0.2465,0.2105,0.1946,0.1769,0.2791,0.3243,0.4635,0.4362,0.2961,0.2515,0.1224,0.1375,0.2138,0.229,0.475,0.2455,0.254,0.2203,0.1739,0.185,0.2546,0.1941
4/23/2017 19:03,75.0333,0.1954,0.4469,0.3773,0.242,0.2519,0.3031,0.3036,0.2761,0.1638,0.18,0.1245,0.2138,0.1961,0.1353,0.1375,0.2072,0.2578,0.284,0.4301,0.3941,0.2674,0.2176,0.0991,0.1198,0.1296,0.1751,0.4178,0.2069,0.2066,0.2005,0.1368,0.1349,0.2119,0.1562
4/23/2017 22:01,78,0.1734,0.4295,0.4213,0.2234,0.2586,0.2923,0.304,0.2621,0.1551,0.1681,0.1101,0.1965,0.2071,0.1598,0.136,0.1965,0.2495,0.2947,0.4245,0.4111,0.4347,0.2059,0.0881,0.1206,0.1582,0.1647,0.3747,0.1882,0.1896,0.2085,0.1349,0.1263,0.2238,0.1366
4/24/2017 1:01,81,0.1628,0.4206,0.3997,0.2389,0.2693,0.3133,0.3199,0.2473,0.1531,0.1651,0.104,0.1819,0.1895,0.1363,0.1452,0.1795,0.2538,0.2798,0.4219,0.3993,0.4193,0.2062,0.0895,0.1431,0.1402,0.1869,0.3785,0.2015,0.1764,0.1828,0.1111,0.14,0.2104,0.1527
4/24/2017 4:04,84.05,0.1843,0.4079,0.3836,0.2555,0.2433,0.3034,0.3021,0.2575,0.1585,0.1701,0.0966,0.2008,0.2079,0.1385,0.1424,0.1665,0.2506,0.2653,0.4336,0.4264,0.4425,0.191,0.092,0.1339,0.1485,0.1552,0.3709,0.2023,0.1789,0.1844,0.1188,0.138,0.2282,0.1605
4/24/2017 7:05,87.0667,0.1611,0.4473,0.4531,0.2704,0.2586,0.2818,0.3033,0.2572,0.1457,0.163,0.1085,0.1889,0.1839,0.1351,0.1384,0.1726,0.2778,0.2458,0.4109,0.4345,0.4363,0.1983,0.0816,0.125,0.1568,0.1847,0.3757,0.2137,0.1804,0.1927,0.1341,0.1162,0.2223,0.1514
4/24/2017 10:03,90.0333,0.1735,0.4379,0.4316,0.3042,0.26,0.3093,0.3109,0.2611,0.1653,0.1496,0.1106,0.1856,0.1925,0.1433,0.1427,0.1729,0.2711,0.2598,0.4137,0.4469,0.4562,0.2046,0.0906,0.1232,0.1594,0.1591,0.3766,0.2166,0.1776,0.1979,0.1143,0.1314,0.2344,0.1583
4/24/2017 13:01,93,0.1822,0.4088,0.4286,0.2946,0.2762,0.3452,0.3963,0.2769,0.1652,0.1554,0.1182,0.1956,0.1978,0.155,0.1725,0.2179,0.2355,0.2963,0.4403,0.4836,0.316,0.1941,0.1011,0.1196,0.1782,0.1536,0.175,0.1754,0.2024,0.1695,0.1205,0.1518,0.21,0.1538
4/24/2017 16:01,96,0.2065,0.5421,0.5434,0.4404,0.2936,0.4226,0.4596,0.3569,0.2092,0.2027,0.1647,0.2388,0.2663,0.2078,0.237,0.2602,0.3324,0.3138,0.5636,0.5973,0.4382,0.2526,0.1491,0.1815,0.2276,0.2111,0.2389,0.251,0.2691,0.2531,0.1793,0.1893,0.3096,0.1833
4/24/2017 19:03,99.0333,0.21,0.6549,0.6781,0.4759,0.2692,0.4266,0.4801,0.3701,0.2093,0.1939,0.1636,0.4389,0.2491,0.198,0.2267,0.2557,0.3228,0.3233,0.5224,0.5778,0.4191,0.2248,0.1515,0.1747,0.3984,0.1987,0.2682,0.2253,0.2523,0.2234,0.1722,0.1778,0.2621,0.1711
4/24/2017 22:01,102,0.2434,0.7313,0.7495,0.5752,0.3121,0.4813,0.4641,0.4054,0.2441,0.2028,0.1852,0.4292,0.2817,0.2031,0.2565,0.2622,0.3142,0.3181,0.6312,0.7718,0.6268,0.2648,0.1583,0.2183,0.4283,0.1999,0.3359,0.433,0.3195,0.2686,0.2033,0.2099,0.2984,0.2089
4/25/2017 1:01,105,0.2101,0.7299,0.6778,0.5048,0.2779,0.3535,0.4279,0.352,0.1972,0.194,0.1499,0.4352,0.2666,0.1837,0.2179,0.2423,0.2821,0.2983,0.5472,0.6736,0.4285,0.2366,0.1593,0.1896,0.3882,0.1887,0.3108,0.3845,0.2577,0.2548,0.1542,0.1688,0.2988,0.1592
4/25/2017 4:04,108.05,0.1985,0.7979,0.6769,0.5732,0.3149,0.3005,0.4311,0.3661,0.2091,0.1619,0.1403,0.3373,0.2408,0.1687,0.2256,0.263,0.2695,0.3009,0.5762,0.6839,0.4217,0.2214,0.1471,0.1888,0.3734,0.187,0.3278,0.3577,0.2555,0.2603,0.169,0.1831,0.285,0.1649
4/25/2017 7:05,111.0667,0.1897,0.8249,0.6816,0.5773,0.2964,0.293,0.4105,0.3663,0.2033,0.162,0.1324,0.3952,0.2487,0.1542,0.2221,0.2441,0.298,0.3081,0.6086,0.6813,0.4421,0.2504,0.1491,0.2134,0.4029,0.18,0.2866,0.2509,0.2708,0.261,0.1618,0.1769,0.2816,0.1972
4/25/2017 10:03,114.0333,0.208,0.8449,0.7111,0.5775,0.3213,0.3076,0.4245,0.3756,0.2133,0.1692,0.1671,0.4133,0.2455,0.1635,0.2297,0.2446,0.2892,0.296,0.605,0.683,0.4455,0.2474,0.1428,0.1919,0.2072,0.1915,0.3157,0.249,0.2594,0.2679,0.1583,0.1737,0.2832,0.1949
4/25/2017 13:01,117,0.2724,1.0113,1.0049,0.8149,0.464,0.4189,0.5637,0.4742,0.3067,0.241,0.2107,0.4205,0.3191,0.2356,0.3426,0.3418,0.3978,0.3533,0.789,0.9635,0.6131,0.3072,0.2229,0.5061,0.5053,0.2265,0.5158,0.4616,0.3419,0.3747,0.261,0.2673,0.4323,0.3072
4/25/2017 16:01,120,0.2364,0.9758,0.9313,0.7069,0.401,0.3339,0.5244,0.4024,0.2646,0.2073,0.1673,0.3954,0.2641,0.1949,0.2619,0.2838,0.337,0.3183,0.6768,0.8403,0.5141,0.264,0.1747,0.4451,0.4311,0.1924,0.4516,0.3984,0.2971,0.3164,0.1952,0.2165,0.3444,0.24
4/25/2017 19:03,123.0333,0.2881,0.8221,0.8885,0.7616,0.4572,0.3975,0.5239,0.4301,0.2942,0.3068,0.2038,0.5388,0.3322,0.216,0.3122,0.3122,0.3745,0.3504,0.8096,1.0422,0.6825,0.3491,0.2198,0.4905,0.5932,0.2475,0.4205,0.294,0.3152,0.3174,0.2248,0.223,0.306,0.2681
4/25/2017 22:01,126,0.2468,0.7341,0.8522,0.667,0.3857,0.354,0.5272,0.3951,0.2676,0.2065,0.1752,0.4955,0.2762,0.1977,0.2949,0.3028,0.3313,0.2944,0.7734,0.9147,0.6084,0.3024,0.2062,0.2205,0.6379,0.2159,0.2558,0.2804,0.2821,0.2809,0.1957,0.2004,0.3015,0.2158
4/26/2017 1:01,129,0.2428,0.7567,0.8344,0.6763,0.4112,0.3352,0.5002,0.3713,0.2683,0.2102,0.1568,0.4763,0.2696,0.1969,0.2804,0.2971,0.3432,0.2973,0.8193,0.9157,0.5903,0.2827,0.2077,0.2251,0.5847,0.218,0.2646,0.2377,0.2768,0.2866,0.1876,0.2058,0.3153,0.2272
4/26/2017 4:04,132.05,0.2508,0.7755,0.8588,0.6825,0.4068,0.3223,0.5166,0.4092,0.2584,0.2168,0.1745,0.4593,0.2637,0.1954,0.3001,0.2946,0.3462,0.3202,0.8066,0.9478,0.5767,0.3122,0.2409,0.2232,0.5912,0.2282,0.2758,0.2915,0.2863,0.3025,0.1983,0.1996,0.3016,0.1988
4/26/2017 7:05,135.0667,0.2479,0.8321,0.9087,0.7394,0.4367,0.3718,0.4991,0.3954,0.2849,0.227,0.1721,0.4704,0.2873,0.1785,0.3085,0.2984,0.352,0.3114,0.8185,0.9837,0.6092,0.3432,0.2066,0.2385,0.6429,0.2383,0.2843,0.2876,0.2866,0.3076,0.1883,0.2177,0.3437,0.2479
4/26/2017 10:03,138.0333,0.2582,0.8603,0.9114,0.7574,0.4477,0.3477,0.5033,0.4103,0.288,0.2458,0.1801,0.4882,0.2768,0.1993,0.2954,0.2794,0.3262,0.3072,0.8358,0.9789,0.7747,0.3498,0.2177,0.456,0.6349,0.2324,0.2881,0.3025,0.2815,0.3234,0.2067,0.2218,0.3617,0.2422
4/26/2017 13:12,141.1833,0.2875,0.9441,1.0429,0.837,0.5146,0.3904,0.6199,0.5384,0.347,0.268,0.154,0.3379,0.289,0.2196,0.3378,0.3276,0.4283,0.3358,0.9158,1.1415,0.8672,0.3961,0.2331,0.4918,0.7233,0.2506,0.3892,0.4566,0.341,0.3789,0.2568,0.229,0.308,0.2577
4/26/2017 16:12,144.1833,0.3512,1.068,1.1115,0.8988,0.6071,0.4022,0.5991,0.5596,0.3534,0.2863,0.2406,0.4264,0.3368,0.2484,0.3657,0.3513,0.4509,0.3604,1.0049,1.2735,0.9901,0.4163,0.2473,0.3791,0.6773,0.2791,0.5156,0.3275,0.3802,0.3599,0.2435,0.2772,0.3687,0.2788
4/26/2017 19:14,147.2167,0.3385,1.1049,1.131,0.9429,0.6014,0.3584,0.5723,0.5651,0.3678,0.2818,0.2009,0.4104,0.313,0.2739,0.3448,0.3634,0.4419,0.3755,1.0194,1.291,0.7867,0.3978,0.2334,0.5139,0.5819,0.2832,0.5151,0.341,0.4007,0.3728,0.2767,0.2817,0.3576,0.2674
4/26/2017 22:12,150.1833,0.3095,1.1602,1.1707,1.0495,0.6016,0.3712,0.5807,0.5752,0.4006,0.2838,0.2138,0.3948,0.3463,0.2615,0.3521,0.3499,0.4465,0.3851,1.0296,1.355,0.7967,0.469,0.2581,0.5357,0.6277,0.2803,0.4714,0.3244,0.4063,0.3948,0.2281,0.2506,0.4132,0.267
4/27/2017 1:12,153.1833,0.3504,1.1689,1.2415,1.0558,0.6556,0.3698,0.5644,0.6078,0.3822,0.2902,0.2165,0.4243,0.3706,0.2323,0.3826,0.3455,0.443,0.3913,1.0766,1.388,0.814,0.4578,0.2573,0.5296,0.6493,0.3053,0.5087,0.3633,0.3918,0.3514,0.2607,0.2855,0.4324,0.2826
4/27/2017 4:15,156.2333,0.3502,1.173,1.3026,1.0477,0.6712,0.3936,0.5886,0.6175,0.4107,0.2908,0.2199,0.4379,0.3289,0.2677,0.3761,0.3536,0.4448,0.3923,1.084,1.3832,0.8198,0.4962,0.2509,0.522,0.6633,0.3468,0.4754,0.3459,0.4211,0.4069,0.2686,0.328,0.4036,0.2877
4/27/2017 7:16,159.25,0.3529,1.1936,1.3076,1.1203,0.6835,0.4034,0.629,0.6437,0.4228,0.2874,0.212,0.4874,0.3943,0.254,0.399,0.365,0.4583,0.4398,1.0931,1.4917,0.8609,0.4987,0.2461,0.5633,0.6436,0.3299,0.5617,0.3513,0.4333,0.4184,0.2774,0.3149,0.4454,0.2794
4/27/2017 10:14,162.2167,0.3724,1.2831,1.3846,1.1773,0.6904,0.409,0.6037,0.6547,0.4303,0.2908,0.2364,0.4848,0.3903,0.26,0.4012,0.3809,0.4901,0.4092,1.1225,1.501,0.8745,0.5311,0.2634,0.5226,0.7131,0.3868,0.5143,0.326,0.4498,0.4368,0.2814,0.2848,0.4162,0.2822
4/27/2017 13:12,165.1833,0.3893,1.3396,1.4113,1.2165,0.7442,0.4157,0.6234,0.6801,0.4438,0.3164,0.2406,0.4156,0.4055,0.2785,0.4139,0.405,0.4718,0.4096,1.1427,1.5339,0.8779,0.5834,0.2664,0.5271,0.7307,0.3443,0.538,0.3754,0.4482,0.4665,0.2977,0.3071,0.3823,0.2734
4/27/2017 16:12,168.1833,0.4099,1.3621,1.4229,1.2136,0.7739,0.4089,0.6669,0.6957,0.4653,0.3339,0.2504,0.4657,0.4227,0.2508,0.4242,0.4016,0.4483,0.4721,1.1598,1.5879,0.8945,0.5952,0.2561,0.5511,0.7323,0.3565,0.579,0.329,0.4634,0.4967,0.2998,0.3382,0.4547,0.3114
