Date Time,Elapsed,Control,U0126 13.33 然,U0126 5.93 然,U0126 2.63 然,U0126 1.17 然,JNK-IN-7 3.33 然,JNK-IN-7 1.48 然,JNK-IN-7 0.66 然,JNK-IN-7 0.29 然,R428 2 然,R428 0.89 然,R428 0.4 然,R428 0.18 然,Erlotinib 5 然,Erlotinib 1.25 然,Erlotinib 0.31 然,Erlotinib 0.08 然,Control,U0126 13.33 然,U0126 5.93 然,U0126 2.63 然,U0126 1.17 然,JNK-IN-7 3.33 然,JNK-IN-7 1.48 然,JNK-IN-7 0.66 然,JNK-IN-7 0.29 然,R428 2 然,R428 0.89 然,R428 0.4 然,R428 0.18 然,Erlotinib 5 然,Erlotinib 1.25 然,Erlotinib 0.31 然,Erlotinib 0.08 然
4/20/2017 16:01,0,0.9393,0.3639,0.4515,0.3954,0.5015,0.7736,0.5565,0.5647,0.5774,0.6925,0.5844,0.6955,0.6534,0.6153,0.5345,0.677,0.5945,0.5665,0.6668,0.4221,0.5802,0.4091,0.5988,0.61,0.4827,1.6511,1.0419,0.6625,0.6171,0.6005,0.541,0.5547,0.63,0.6678
4/20/2017 19:03,3.0333,0.7029,0.2908,0.3322,0.3679,0.3709,0.5012,0.555,0.4523,0.4736,0.5904,0.4246,0.5861,0.5183,0.453,0.3942,0.5023,0.4881,0.4135,0.6064,0.3394,0.4734,0.3762,0.3278,0.433,0.4398,0.8606,0.8453,0.6644,0.4604,0.4785,0.4183,0.4367,0.4913,0.4702
4/20/2017 22:01,6,0.5784,0.278,0.3119,0.3112,0.3552,0.3881,0.442,0.403,0.404,0.5182,0.4045,0.4781,0.4256,0.3606,0.3137,0.3948,0.4155,0.3855,0.5042,0.3788,0.3012,0.3186,0.3013,0.3973,0.423,0.6662,0.7586,0.6214,0.3904,0.4229,0.345,0.3349,0.3732,0.4024
4/21/2017 1:01,9,0.5188,0.2193,0.2817,0.2582,0.3177,0.361,0.4364,0.337,0.3802,0.4521,0.3548,0.4081,0.4041,0.3573,0.3013,0.379,0.3571,0.3318,0.4459,0.2959,0.2711,0.2831,0.2648,0.3641,0.3407,0.6615,0.5395,0.499,0.3633,0.3983,0.3396,0.2848,0.359,0.3756
4/21/2017 4:04,12.05,0.4367,0.2141,0.2522,0.2584,0.31,0.3126,0.403,0.348,0.32,0.4169,0.3133,0.3301,0.3553,0.3251,0.2909,0.3703,0.3403,0.313,0.4137,0.2366,0.2511,0.2646,0.2234,0.3271,0.3318,0.5711,0.4439,0.4076,0.2914,0.3452,0.2927,0.2541,0.3013,0.3571
4/21/2017 7:05,15.0667,0.391,0.1705,0.2601,0.252,0.2851,0.2601,0.3549,0.3235,0.2994,0.3427,0.2775,0.3662,0.3151,0.2908,0.2553,0.3099,0.3085,0.2606,0.3891,0.237,0.2524,0.2531,0.1911,0.3183,0.3385,0.5175,0.3774,0.3293,0.2863,0.3016,0.2705,0.2117,0.2942,0.318
4/21/2017 10:03,18.0333,0.3765,0.1969,0.2408,0.2107,0.2767,0.275,0.3727,0.2597,0.2686,0.3041,0.2494,0.2865,0.3115,0.2734,0.2495,0.2872,0.2748,0.2586,0.3721,0.2387,0.2327,0.2228,0.1588,0.297,0.2483,0.4526,0.3638,0.3501,0.2397,0.2962,0.2716,0.2136,0.3038,0.3058
4/21/2017 13:01,21,0.3481,0.1654,0.2451,0.2283,0.2747,0.247,0.3296,0.2419,0.2339,0.283,0.2171,0.283,0.2788,0.2465,0.2258,0.2522,0.2973,0.2301,0.3579,0.2303,0.206,0.2247,0.1336,0.2335,0.2088,0.3556,0.3086,0.2718,0.2196,0.2993,0.2352,0.1758,0.237,0.267
4/21/2017 16:01,24,0.3474,0.1908,0.2438,0.209,0.2756,0.2271,0.3499,0.3131,0.2722,0.3125,0.275,0.3146,0.2895,0.2697,0.2421,0.2745,0.301,0.2636,0.3974,0.2569,0.2607,0.2271,0.1572,0.2137,0.2394,0.373,0.3916,0.3142,0.257,0.3025,0.2166,0.2045,0.2359,0.3191
4/21/2017 19:03,27.0333,0.3106,0.2,0.2473,0.2046,0.2574,0.3626,0.3446,0.2866,0.2766,0.3273,0.2511,0.3234,0.269,0.2381,0.2182,0.298,0.2902,0.2415,0.399,0.2596,0.2239,0.2549,0.1455,0.2053,0.2216,0.3393,0.4669,0.2981,0.3164,0.261,0.241,0.1868,0.2465,0.3161
4/21/2017 22:01,30,0.2987,0.1851,0.207,0.2026,0.2518,0.253,0.3672,0.2582,0.2197,0.2689,0.2057,0.2941,0.2547,0.2189,0.1934,0.228,0.2922,0.2208,0.3303,0.2335,0.228,0.2226,0.1385,0.1817,0.179,0.2978,0.4336,0.2832,0.2259,0.2293,0.1925,0.1659,0.2009,0.2617
