Date Time,Elapsed,Control,Blank,Dox 6.25,NVB 2.5,Dox 12.5,NVB 5,Dox 25,NVB 10,Dox 50,NVB 20,Dox 100,NVB 40,Dox 200,NVB 80,Dox 400,NVB 160
10/11/2017 12:30,0,0.0078,0.0002,0.0217,0.0236,0.0091,0.0094,0.0145,0.0196,0.0155,0.0247,0.0148,0.0358,0.0175,0.0321,0.0446,0.014
10/11/2017 15:30,3,0.0204,0.0002,0.049,0.0606,0.0224,0.0255,0.0223,0.0269,0.0337,0.0456,0.0437,0.0565,0.0489,0.0398,0.0562,0.0327
10/11/2017 18:30,6,0.0253,0.0004,0.0541,0.0356,0.0178,0.029,0.0196,0.0267,0.0238,0.0481,0.0483,0.0543,0.0315,0.0447,0.0427,0.0385
10/11/2017 21:28,8.9667,0.0268,0.0004,0.0525,0.0338,0.013,0.019,0.015,0.0261,0.0204,0.043,0.0412,0.0414,0.0313,0.0385,0.0378,0.0325
10/12/2017 0:30,12,0.0223,0.0004,0.0466,0.0306,0.0087,0.0152,0.0155,0.023,0.0207,0.0438,0.0352,0.0433,0.0312,0.0349,0.0387,0.0327
10/12/2017 3:30,15,0.0232,0.0004,0.0377,0.0271,0.0062,0.0145,0.0138,0.022,0.0173,0.0439,0.0334,0.0466,0.0278,0.0355,0.0515,0.0372
10/12/2017 6:30,18,0.0276,0.0004,0.0358,0.0259,0.0059,0.0189,0.013,0.0199,0.0175,0.0445,0.031,0.0493,0.024,0.041,0.0482,0.0463
10/12/2017 9:30,21,0.0217,0.0002,0.0333,0.0248,0.0074,0.0146,0.0107,0.0173,0.0146,0.0416,0.0269,0.0579,0.0217,0.0499,0.055,0.0541
10/12/2017 12:30,24,0.0184,0.0002,0.028,0.0211,0.0059,0.0143,0.0117,0.0179,0.0129,0.0402,0.0235,0.0681,0.024,0.0611,0.0511,0.063
10/12/2017 15:30,27,0.0162,0.0003,0.0271,0.0208,0.0071,0.0148,0.0092,0.0195,0.0144,0.0379,0.0233,0.0772,0.0218,0.0705,0.0494,0.0674
10/12/2017 18:30,30,0.0172,0.0001,0.0238,0.0208,0.0058,0.0149,0.0088,0.0168,0.014,0.0381,0.0247,0.0882,0.0198,0.083,0.0499,0.0809
10/12/2017 21:28,32.9667,0.0156,0.0003,0.0194,0.0206,0.0054,0.0125,0.0061,0.0185,0.0135,0.0351,0.0271,0.0957,0.0212,0.0996,0.05,0.0937
10/13/2017 0:30,36,0.0152,0.0003,0.0199,0.021,0.0064,0.0097,0.008,0.0186,0.016,0.0361,0.027,0.0994,0.0222,0.1098,0.0561,0.0999
10/13/2017 3:30,39,0.0141,0.0003,0.0202,0.019,0.0045,0.0103,0.0075,0.0173,0.0177,0.0333,0.0325,0.1001,0.0243,0.1133,0.0545,0.1077
10/13/2017 6:30,42,0.0135,0.0003,0.0192,0.0164,0.0049,0.0101,0.0076,0.0185,0.018,0.0365,0.0343,0.1019,0.0229,0.1244,0.0616,0.1133
10/13/2017 9:30,45,0.0116,0.0003,0.017,0.0176,0.0046,0.009,0.0088,0.017,0.0181,0.0332,0.0367,0.1088,0.0236,0.1239,0.0452,0.1196
10/13/2017 12:30,48,0.0089,0.0003,0.0106,0.0151,0.0048,0.0128,0.0071,0.0181,0.0214,0.035,0.036,0.1081,0.0265,0.1249,0.0505,0.1291
10/13/2017 15:30,51,0.0074,0.0004,0.0078,0.0156,0.0038,0.0109,0.0093,0.0169,0.0198,0.03,0.036,0.1104,0.0226,0.121,0.0506,0.1318
10/13/2017 18:30,54,0.0089,0.0003,0.0092,0.0151,0.0035,0.0119,0.0114,0.0169,0.0206,0.0337,0.0347,0.117,0.0245,0.1314,0.0485,0.132
