Date Time	Elapsed	Control	R 1	Dox 12.5	NVB 2.5	Dox 25	NVB 5	Dox 50	NVB 10	Dox 100	NVB 20	Dox 200	NVB 40
3/5/2017 9:00	45	0.0971	0.1129	0.1298	0.0982	0.102	0.1507	0.1819	0.2968	0.3734	0.637	0.2557	0.6352
3/5/2017 12:00	48	0.1243	0.1383	0.1266	0.1372	0.1217	0.1599	0.211	0.3046	0.4851	0.7333	0.3247	0.7084
3/5/2017 15:00	51	0.1356	0.1548	0.1041	0.1606	0.143	0.1546	0.2737	0.3715	0.486	0.8802	0.3612	0.7815
3/5/2017 18:00	54	0.136	0.1568	0.114	0.1604	0.1493	0.1731	0.2861	0.4015	0.5738	0.8989	0.3933	0.8376
3/5/2017 21:00	57	0.1234	0.1459	0.1391	0.1631	0.1465	0.1759	0.2981	0.3994	0.5752	0.8545	0.4577	0.8333
3/6/2017 0:00	60	0.1186	0.176	0.1716	0.1841	0.155	0.1785	0.3084	0.3947	0.6118	0.8932	0.4802	0.8848
3/6/2017 3:00	63	0.1333	0.192	0.1832	0.1714	0.1554	0.1913	0.3451	0.3986	0.7075	0.9128	0.4534	0.9219
3/6/2017 6:00	66	0.1471	0.1939	0.182	0.1836	0.1527	0.1922	0.3834	0.4199	0.7797	0.9917	0.4874	0.9321
3/6/2017 9:00	69	0.155	0.1926	0.1475	0.1977	0.1861	0.2063	0.3885	0.4723	0.8216	1.051	0.5098	0.9584
3/6/2017 12:00	72	0.1886	0.2532	0.1804	0.2505	0.2357	0.2555	0.4717	0.5885	0.9994	1.1833	0.6177	1.0759
3/3/2017 12:00	0	0.1228	0.0669	0.0524	0.0626	0.1057	0.0688	0.0957	0.0553	0.0723	0.0776	0.0413	0.0584
3/3/2017 15:00	3	0.1737	0.0849	0.0501	0.0547	0.1183	0.1174	0.1139	0.0779	0.094	0.1239	0.062	0.0782
3/3/2017 18:00	6	0.1728	0.0931	0.0896	0.1273	0.1508	0.1442	0.1399	0.0884	0.1223	0.1611	0.1137	0.1031
3/3/2017 21:00	9	0.1579	0.0848	0.0686	0.1211	0.1505	0.1377	0.1176	0.0855	0.132	0.1651	0.089	0.1311
3/4/2017 0:00	12	0.1469	0.0842	0.0586	0.1335	0.136	0.1224	0.1224	0.1177	0.1195	0.205	0.1065	0.1688
3/4/2017 3:00	15	0.1592	0.0711	0.07	0.1211	0.1328	0.1239	0.1365	0.1226	0.1607	0.2514	0.0921	0.2746
3/4/2017 6:00	18	0.152	0.0809	0.0632	0.1152	0.1453	0.1339	0.1437	0.1742	0.1487	0.3347	0.0996	0.3838
3/4/2017 9:00	21	0.1449	0.0943	0.0691	0.1076	0.1469	0.1305	0.1373	0.2216	0.1493	0.3568	0.103	0.4796
3/4/2017 12:00	24	0.1091	0.0637	0.0937	0.0832	0.1413	0.1138	0.142	0.2144	0.1421	0.3337	0.1062	0.52
3/4/2017 15:00	27	0.1261	0.0738	0.1041	0.0865	0.1358	0.134	0.1549	0.2211	0.1835	0.4261	0.1453	0.5799
3/4/2017 18:00	30	0.1208	0.0741	0.0966	0.0896	0.1392	0.1146	0.1622	0.2386	0.2367	0.431	0.1569	0.5663
3/4/2017 21:00	33	0.1418	0.0785	0.0818	0.0835	0.1463	0.105	0.1833	0.234	0.312	0.4331	0.1738	0.5744
3/5/2017 0:00	36	0.1417	0.0718	0.0872	0.0955	0.1486	0.1017	0.1892	0.2258	0.372	0.4256	0.1623	0.5568
3/5/2017 3:00	39	0.1362	0.0815	0.0934	0.0848	0.1525	0.1024	0.2043	0.2171	0.3841	0.4589	0.1645	0.5785
3/5/2017 6:00	42	0.1242	0.0764	0.1105	0.0808	0.1552	0.1036	0.2284	0.2298	0.4223	0.478	0.1491	0.5761
3/5/2017 9:00	45	0.1245	0.0775	0.0966	0.086	0.159	0.1023	0.2676	0.2327	0.4292	0.488	0.1785	0.5999
3/5/2017 12:00	48	0.1608	0.1029	0.1304	0.1221	0.2019	0.1536	0.2757	0.2583	0.4987	0.54	0.236	0.6711
3/5/2017 15:00	51	0.166	0.1221	0.1537	0.1123	0.2179	0.1386	0.3741	0.3118	0.5709	0.5789	0.3065	0.7423
3/5/2017 18:00	54	0.1796	0.12	0.1544	0.1168	0.2281	0.133	0.4658	0.3249	0.6028	0.6265	0.4161	0.8268
3/5/2017 21:00	57	0.1742	0.1143	0.146	0.1041	0.2319	0.129	0.4435	0.3188	0.6236	0.5927	0.4245	0.8062
3/6/2017 0:00	60	0.179	0.1302	0.1566	0.0983	0.2327	0.1336	0.4792	0.3164	0.7365	0.5868	0.4408	0.813
3/6/2017 3:00	63	0.1905	0.1268	0.1656	0.1125	0.2593	0.1594	0.5271	0.3311	0.806	0.6005	0.5263	0.884
3/6/2017 6:00	66	0.198	0.1267	0.1652	0.1165	0.261	0.2005	0.5325	0.3545	0.8494	0.6325	0.5169	0.8873
3/6/2017 9:00	69	0.231	0.1242	0.1452	0.1398	0.2816	0.2136	0.5857	0.3951	0.9204	0.6938	0.5192	0.9203
3/6/2017 12:00	72	0.3018	0.1553	0.1928	0.2109	0.2993	0.2712	0.7165	0.4627	1.1531	0.8666	0.7077	1.0577
3/3/2017 12:00	0	0.0754	0.0747	0.0624	0.0555	0.0672	0.0491	0.069	0.046	0.0466	0.0544	0.0665	0.0606
3/3/2017 15:00	3	0.1035	0.1023	0.0895	0.0708	0.0859	0.0823	0.0945	0.0455	0.0696	0.0601	0.0746	0.0645
3/3/2017 18:00	6	0.1246	0.1258	0.0987	0.078	0.1307	0.111	0.0891	0.0736	0.1172	0.0951	0.0913	0.1137
3/3/2017 21:00	9	0.1226	0.1035	0.0953	0.0751	0.1215	0.0919	0.0787	0.0822	0.1079	0.0864	0.0972	0.1288
3/4/2017 0:00	12	0.119	0.1049	0.0822	0.0776	0.1159	0.1091	0.0875	0.099	0.1162	0.1371	0.0926	0.1771
3/4/2017 3:00	15	0.1105	0.0964	0.0815	0.0714	0.1208	0.0975	0.0857	0.1151	0.1225	0.1703	0.0922	0.2363
3/4/2017 6:00	18	0.1051	0.1013	0.0993	0.0802	0.1299	0.0853	0.0759	0.1489	0.1415	0.2942	0.0904	0.3415
3/4/2017 9:00	21	0.1101	0.1138	0.1083	0.0848	0.1197	0.0868	0.0788	0.1698	0.1429	0.3266	0.1001	0.4132
3/4/2017 12:00	24	0.0877	0.0828	0.0936	0.0647	0.1131	0.0859	0.086	0.1499	0.1369	0.2899	0.1239	0.3874
3/4/2017 15:00	27	0.0889	0.1052	0.1186	0.0768	0.1397	0.0856	0.0846	0.1623	0.1989	0.331	0.1145	0.4323
3/4/2017 18:00	30	0.0912	0.1179	0.112	0.0717	0.1436	0.0924	0.1275	0.1539	0.1888	0.312	0.1446	0.418
3/4/2017 21:00	33	0.081	0.1032	0.1147	0.0699	0.1378	0.0831	0.11	0.1694	0.2364	0.3197	0.1636	0.399
3/5/2017 0:00	36	0.0848	0.1056	0.107	0.0789	0.1355	0.0801	0.1445	0.1747	0.3752	0.3506	0.1481	0.3904
3/5/2017 3:00	39	0.0936	0.0949	0.1034	0.0866	0.1449	0.0744	0.1797	0.1664	0.327	0.3746	0.1431	0.3999
3/5/2017 6:00	42	0.0962	0.0936	0.0978	0.0929	0.1475	0.0837	0.2243	0.1919	0.3286	0.3958	0.1724	0.4054
3/5/2017 9:00	45	0.0935	0.0965	0.1056	0.1038	0.1394	0.0904	0.2135	0.1882	0.3941	0.4351	0.1866	0.4205
3/5/2017 12:00	48	0.1328	0.1203	0.1195	0.1154	0.1662	0.1421	0.2863	0.2568	0.4469	0.5752	0.2424	0.6019
3/5/2017 15:00	51	0.1455	0.1727	0.1371	0.1195	0.2	0.1276	0.3336	0.2928	0.5258	0.5498	0.3145	0.6174
3/5/2017 18:00	54	0.1486	0.1953	0.1366	0.1457	0.2114	0.1447	0.3846	0.3114	0.5746	0.5605	0.3684	0.6642
3/5/2017 21:00	57	0.1432	0.1864	0.132	0.1373	0.1852	0.1549	0.4004	0.2946	0.5943	0.5509	0.3659	0.6385
3/6/2017 0:00	60	0.1445	0.1881	0.146	0.1161	0.1863	0.1738	0.4158	0.3038	0.611	0.593	0.3835	0.6454
3/6/2017 3:00	63	0.1746	0.2018	0.169	0.1374	0.2118	0.1657	0.502	0.3162	0.7027	0.6313	0.402	0.6368
3/6/2017 6:00	66	0.1841	0.2278	0.1635	0.144	0.225	0.177	0.5827	0.3362	0.7998	0.6637	0.4148	0.6402
3/6/2017 9:00	69	0.1966	0.2344	0.1565	0.1474	0.2292	0.1817	0.6379	0.3603	0.8892	0.6731	0.4627	0.6397
3/6/2017 12:00	72	0.2414	0.2931	0.1848	0.2022	0.2909	0.2307	0.7194	0.4289	1.0855	0.7732	0.6261	0.7674
