Date Time	Elapsed	Control	R 1	Dox 12.5	NVB 2.5	Dox 25	NVB 5	Dox 50	NVB 10	Dox 100	NVB 20	Dox 200	NVB 40
3/3/2017 12:00	0	0.0458	0.0603	0.0815	0.061	0.0576	0.1045	0.0757	0.0691	0.0437	0.0559	0.0753	0.115
3/3/2017 15:00	3	0.0686	0.1132	0.078	0.0897	0.0688	0.0962	0.096	0.075	0.067	0.0857	0.1089	0.157
3/3/2017 18:00	6	0.126	0.1157	0.1052	0.1176	0.1053	0.0986	0.1149	0.1058	0.1203	0.1013	0.1384	0.157
3/3/2017 21:00	9	0.1083	0.0988	0.0967	0.1074	0.0897	0.0824	0.0938	0.1039	0.1035	0.1046	0.1133	0.1638
3/4/2017 0:00	12	0.0961	0.1019	0.1002	0.1123	0.0916	0.0818	0.0842	0.1259	0.0941	0.1593	0.1107	0.1871
3/4/2017 3:00	15	0.1016	0.0985	0.1036	0.1055	0.0868	0.094	0.0896	0.1341	0.0939	0.2525	0.1188	0.2945
3/4/2017 6:00	18	0.108	0.0868	0.1035	0.1036	0.0848	0.1295	0.0851	0.1703	0.1019	0.3884	0.1131	0.3837
3/4/2017 9:00	21	0.1068	0.0969	0.1084	0.1305	0.0827	0.1138	0.0995	0.1848	0.121	0.4593	0.122	0.5399
3/4/2017 12:00	24	0.0737	0.0651	0.0891	0.0872	0.077	0.104	0.1019	0.2052	0.1164	0.4791	0.1218	0.502
3/4/2017 15:00	27	0.0858	0.1003	0.0893	0.1057	0.0884	0.1167	0.1148	0.2589	0.1694	0.5114	0.1551	0.4672
3/4/2017 18:00	30	0.0916	0.0911	0.0973	0.1057	0.0933	0.1291	0.107	0.2277	0.1724	0.5137	0.1941	0.4562
3/4/2017 21:00	33	0.0853	0.0862	0.0979	0.1055	0.095	0.131	0.1204	0.2606	0.1734	0.5024	0.187	0.4908
3/5/2017 0:00	36	0.0868	0.1019	0.1053	0.1067	0.1076	0.1237	0.1179	0.2499	0.2375	0.5077	0.2027	0.5013
3/5/2017 3:00	39	0.0947	0.1025	0.1097	0.1059	0.1106	0.1603	0.1458	0.2461	0.2817	0.5536	0.1965	0.5762
3/5/2017 6:00	42	0.0955	0.1141	0.1191	0.1071	0.1005	0.1474	0.1562	0.2894	0.3106	0.5937	0.2091	0.6235
