Date Time,Elapsed,Control,R1,Dox 12.5,NVB 2.5,Dox 25,NVB 5,Dox 50,NVB 10,Dox 100,NVB 20,Dox 200,NVB 40
3/3/2017 12:00,0,0.0028,0.0064,0.0116,0.0055,0.0037,0.0246,0.002,0.0026,0.003,0.0029,0.0039,0.0198
3/3/2017 15:00,3,0.018,0.0232,0.021,0.0198,0.0116,0.0299,0.028,0.0208,0.0201,0.0168,0.0348,0.0434
3/3/2017 18:00,6,0.0365,0.0278,0.0154,0.0423,0.0194,0.0384,0.0373,0.0452,0.04,0.0192,0.0542,0.0485
3/3/2017 21:00,9,0.0304,0.0264,0.0147,0.0315,0.0215,0.0302,0.0329,0.0416,0.0351,0.0205,0.047,0.0396
3/4/2017 0:00,12,0.0296,0.027,0.0153,0.0338,0.0265,0.0292,0.0345,0.0419,0.0338,0.0183,0.0435,0.0403
3/4/2017 3:00,15,0.03,0.028,0.0126,0.036,0.0261,0.0306,0.0378,0.0418,0.033,0.0212,0.0427,0.0436
3/4/2017 6:00,18,0.0302,0.0271,0.0153,0.0349,0.0216,0.029,0.039,0.0437,0.0299,0.0205,0.0454,0.0483
3/4/2017 9:00,21,0.0293,0.0255,0.0175,0.0328,0.0217,0.0248,0.0346,0.0446,0.0316,0.0205,0.0458,0.0571
3/4/2017 12:00,24,0.0219,0.0201,0.0155,0.0255,0.0177,0.0221,0.0336,0.0414,0.0243,0.0251,0.0414,0.0516
3/4/2017 15:00,27,0.0256,0.028,0.0187,0.0416,0.0282,0.0233,0.04,0.0514,0.0338,0.0296,0.0597,0.0672
3/4/2017 18:00,30,0.0271,0.0312,0.0179,0.0386,0.0289,0.0301,0.0373,0.0525,0.0367,0.0277,0.071,0.0753
3/4/2017 21:00,33,0.0275,0.0271,0.0173,0.0342,0.0289,0.028,0.0363,0.0493,0.0352,0.03,0.0652,0.0688
3/5/2017 0:00,36,0.0254,0.026,0.0153,0.032,0.0286,0.0261,0.0353,0.0501,0.0272,0.0319,0.063,0.0723
3/5/2017 3:00,39,0.0257,0.0284,0.0176,0.0323,0.0279,0.0249,0.0366,0.0527,0.0255,0.0321,0.0593,0.0733
3/5/2017 6:00,42,0.025,0.0275,0.0191,0.0314,0.026,0.0214,0.0372,0.0557,0.0263,0.0303,0.0579,0.0745
3/5/2017 9:00,45,0.0239,0.0247,0.0232,0.031,0.0258,0.0261,0.0362,0.0538,0.0305,0.0303,0.0603,0.0782
3/5/2017 10:07,46.1167,0.0318,0.0352,0.0261,0.0394,0.0288,0.0323,0.0466,0.0566,0.0385,0.0384,0.0723,0.0893
3/5/2017 12:00,48,0.0323,0.0339,0.0255,0.0452,0.0329,0.0273,0.046,0.0541,0.0404,0.042,0.0802,0.0874
3/5/2017 15:00,51,0.0305,0.0421,0.0183,0.0461,0.0443,0.0432,0.0601,0.0624,0.0555,0.0656,0.0972,0.0996
3/5/2017 18:00,54,0.0325,0.0415,0.0201,0.0452,0.0421,0.0445,0.0652,0.0636,0.0552,0.0765,0.099,0.1163
3/5/2017 21:00,57,0.0265,0.036,0.0214,0.0426,0.0385,0.0395,0.0641,0.0631,0.0501,0.0722,0.0917,0.1016
3/6/2017 0:00,60,0.0249,0.0328,0.0168,0.0437,0.0391,0.0409,0.0591,0.0594,0.0446,0.077,0.0853,0.1087
3/6/2017 3:00,63,0.0243,0.0318,0.0161,0.0409,0.0367,0.0391,0.0527,0.0569,0.049,0.0823,0.0766,0.1163
