Location,Plate,Drug,conc (nM),pMEK,pERK,p-c-Jun,BCA
"1(1,A1)",1,Erlotinib,10,16,11,43,0.0862
"2(1,B1)",1,Erlotinib,10,17,10,36,0.0852
"3(1,C1)",1,Erlotinib,10,16,10,41.5,0.0835
"4(1,D1)",1,R428,3,11,11,14,0.0959
"5(1,E1)",1,R428,3,9,10,12,0.0978
"6(1,F1)",1,R428,3,11,10,13,0.0917
"7(1,G1)",1,buffer,0,11,11,11,0.0602
"9(1,A2)",1,Erlotinib,5,9,10,21,0.0975
"10(1,B2)",1,Erlotinib,5,10,10,22.5,0.1018
"11(1,C2)",1,Erlotinib,5,10,9,21,0.1
"12(1,D2)",1,R428,2,10,11,12,0.0918
"13(1,E2)",1,R428,2,11,11,12.5,0.1018
"14(1,F2)",1,R428,2,10,10,14,0.0949
"15(1,G2)",1,buffer,0,11,11,12,0.0603
"17(1,A3)",1,Erlotinib,2.5,9,9,17,0.0953
"18(1,B3)",1,Erlotinib,2.5,9,10,20,0.0956
"19(1,C3)",1,Erlotinib,2.5,11,10,21,0.1043
"20(1,D3)",1,R428,1.333,10,11,13,0.0957
"21(1,E3)",1,R428,1.333,9,10,13,0.1014
"22(1,F3)",1,R428,1.333,12,11,13,0.0934
"23(1,G3)",1,buffer,0,12,12,11,0.0589
"25(1,A4)",1,Erlotinib,1.25,11,9,20,0.0953
"26(1,B4)",1,Erlotinib,1.25,11,9,21,0.1017
"27(1,C4)",1,Erlotinib,1.25,11,10,19,0.0984
"28(1,D4)",1,R428,0.889,11,9,13,0.0941
"29(1,E4)",1,R428,0.889,11.5,9,13,0.0989
"30(1,F4)",1,R428,0.889,13,11,13,0.0907
"33(1,A5)",1,Erlotinib,0.625,11,9,22,0.0941
"34(1,B5)",1,Erlotinib,0.625,10,9.5,21,0.0917
"35(1,C5)",1,Erlotinib,0.625,9.5,10,18,0.0925
"36(1,D5)",1,R428,0.593,55,10,17,0.0788
"37(1,E5)",1,R428,0.593,63.5,10,14.5,0.0827
"38(1,F5)",1,R428,0.593,66,9,16,0.0762
"41(1,A6)",1,Erlotinib,0.313,11,10,20,0.0947
"42(1,B6)",1,Erlotinib,0.313,11,10,24,0.0952
"43(1,C6)",1,Erlotinib,0.313,10,10,26.5,0.1078
"44(1,D6)",1,R428,0.395,52,9.5,14,0.0934
"45(1,E6)",1,R428,0.395,62,10,13,0.1069
"46(1,F6)",1,R428,0.395,57,10,14,0.0991
"49(1,A7)",1,Erlotinib,0.156,9,9,20,0.099
"50(1,B7)",1,Erlotinib,0.156,11,10,22,0.0962
"51(1,C7)",1,Erlotinib,0.156,11,10,21.5,0.0985
"52(1,D7)",1,R428,0.263,66.5,12,17,0.0934
"53(1,E7)",1,R428,0.263,97,10,14,0.0926
"54(1,F7)",1,R428,0.263,61,10,14,0.0934
"57(1,A8)",1,Erlotinib,0.078,8.5,9,20,0.0953
"58(1,B8)",1,Erlotinib,0.078,10,10,19.5,0.095
"59(1,C8)",1,Erlotinib,0.078,10,10,21,0.0979
"60(1,D8)",1,R428,0.176,84,10.5,14,0.0888
"61(1,E8)",1,R428,0.176,91.5,11,15,0.0906
"62(1,F8)",1,R428,0.176,77.5,10.5,13,0.0889
"65(1,A9)",1,Erlotinib,0.039,8,10,25,0.0981
"66(1,B9)",1,Erlotinib,0.039,10,10.5,28,0.0925
"67(1,C9)",1,Erlotinib,0.039,10,10,20,0.1262
"68(1,D9)",1,R428,0.117,126,10,18,0.0927
"69(1,E9)",1,R428,0.117,196,11,18,0.0878
"70(1,F9)",1,R428,0.117,134.5,10,17,0.0947
"73(1,A10)",1,Erlotinib,0.02,11,9,21,0.0904
"74(1,B10)",1,Erlotinib,0.02,9,9,21,0.0976
"75(1,C10)",1,Erlotinib,0.02,10,9,23,0.0994
"76(1,D10)",1,R428,0.078,154,9,15,0.0918
"77(1,E10)",1,R428,0.078,185,9,15,0.0912
"78(1,F10)",1,R428,0.078,138,10,16,0.0954
"81(1,A11)",1,Erlotinib,0.01,13,11,24,0.0999
"82(1,B11)",1,Erlotinib,0.01,13,10,25,0.0913
"83(1,C11)",1,Erlotinib,0.01,13,9,22,0.0951
"84(1,D11)",1,R428,0.052,111,10,15,0.0938
"85(1,E11)",1,R428,0.052,181,10,17,0.0915
"86(1,F11)",1,R428,0.052,170,11,15.5,0.091
"89(1,A12)",1,Erlotinib,0,182,11,23,0.0925
"90(1,B12)",1,Erlotinib,0,165,10,21,0.0975
"91(1,C12)",1,Erlotinib,0,130,9,20,0.0944
"92(1,D12)",1,R428,0,126,10,17,0.0928
"93(1,E12)",1,R428,0,164,10.5,18,0.0906
"94(1,F12)",1,R428,0,229.5,11,18,0.0929
"1(1,A1)",2,U0126,20,454,17,30,0.0949
"2(1,B1)",2,U0126,20,446,23,36,0.0968
"3(1,C1)",2,U0126,20,635,22,35,0.0906
"4(1,D1)",2,JNK-IN-7,5,60,23,23,0.0958
"5(1,E1)",2,JNK-IN-7,5,66,22,23,0.0956
"6(1,F1)",2,JNK-IN-7,5,71,17,19,0.1038
"7(1,G1)",2,buffer,0,18,19.5,19.5,0.0574
"9(1,A2)",2,U0126,13.333,945.5,18,29,0.0934
"10(1,B2)",2,U0126,13.333,417,23,32,0.0961
"11(1,C2)",2,U0126,13.333,481,16,29,0.1001
"12(1,D2)",2,JNK-IN-7,3.333,108,20,21,0.095
"13(1,E2)",2,JNK-IN-7,3.333,114,23,21,0.0981
"14(1,F2)",2,JNK-IN-7,3.333,105,21,18.5,0.0977
"15(1,G2)",2,buffer,0,19,19,18,0.0585
"17(1,A3)",2,U0126,8.889,441,20.5,33,0.0931
"18(1,B3)",2,U0126,8.889,378.5,23,33,0.0949
"19(1,C3)",2,U0126,8.889,446,19,29.5,0.0908
"20(1,D3)",2,JNK-IN-7,2.222,131,23,23,0.0921
"21(1,E3)",2,JNK-IN-7,2.222,183,21,22,0.0964
"22(1,F3)",2,JNK-IN-7,2.222,164.5,20,21,0.1021
"23(1,G3)",2,buffer,0,19,18,20,0.0573
"25(1,A4)",2,U0126,5.926,339,22,31.5,0.0887
"26(1,B4)",2,U0126,5.926,310.5,21,32,0.0958
"27(1,C4)",2,U0126,5.926,457,21,32.5,0.0926
"28(1,D4)",2,JNK-IN-7,1.481,172,21.5,21,0.0946
"29(1,E4)",2,JNK-IN-7,1.481,188.5,20.5,23,0.0937
"30(1,F4)",2,JNK-IN-7,1.481,195,22,21,0.0953
"33(1,A5)",2,U0126,3.951,277,19,33.5,0.091
"34(1,B5)",2,U0126,3.951,274.5,20,32,0.0905
"35(1,C5)",2,U0126,3.951,465.5,18.5,35,0.0962
"36(1,D5)",2,JNK-IN-7,0.988,197,20,20.5,0.0943
"37(1,E5)",2,JNK-IN-7,0.988,231,19,20,0.0986
"38(1,F5)",2,JNK-IN-7,0.988,210,20,24,0.0994
"41(1,A6)",2,U0126,2.634,227,20,32,0.0932
"42(1,B6)",2,U0126,2.634,286,20.5,34,0.0932
"43(1,C6)",2,U0126,2.634,302,19,32,0.0938
