Date,Elapsed,Control,PIM447 2.5 uM,PIM447 5 uM,PIM447 10 uM,PIM447 20 uM,BYL719 10 uM,BYL719 20 uM,BYL719 30 uM,BYL719 1.25 uM,BYL719 2.5 uM,BYL719 5 uM
,0,4.750857,5.281239,3.411054,3.574526,3.595884,3.362653,3.024066,4.147096,3.531946,3.231466,3.326937
,3,5.528299,6.481097,4.171731,4.358439,4.222198,4.037745,3.670304,4.997063,4.157459,3.9308,4.031479
,6,6.394094,7.950635,5.037782,5.232138,4.713894,4.650161,4.056286,5.315145,4.720877,4.526418,4.791798
,9,7.336887,9.030081,5.722689,5.95657,5.335394,5.24957,4.429872,6.083216,5.62616,5.24146,5.503937
,12,8.39468,10.84036,6.66386,6.864618,5.898386,6.029932,4.939955,6.960842,6.404235,6.05602,6.27911
,15,9.481501,12.59313,7.211623,7.536381,6.342671,6.782773,5.480718,7.902849,7.285633,6.909298,7.169695
,18,10.67598,13.97369,8.071954,8.429338,6.768637,7.499214,6.267926,8.524808,8.087831,7.332105,7.921561
,21,14.34454,18.15273,10.78306,11.1402,8.468641,9.241643,8.24637,10.49437,10.23721,8.404788,10.13827
,24,16.42031,19.97106,12.06524,11.89409,9.005204,9.823913,8.516734,10.83035,11.27224,9.1704,10.86438
,27,18.3627,21.97866,12.87203,13.24932,9.5361,10.49772,8.578299,11.29333,12.29509,9.60034,11.30412
,30,20.40536,25.06507,14.75376,14.26259,10.12577,10.94278,8.858925,11.72562,13.4768,10.60456,11.99734
,33,21.75856,28.17113,16.4832,15.53366,10.79108,11.63002,9.135998,11.57846,14.4352,11.24023,12.86867
,36,24.20347,30.15832,17.5509,16.46773,10.76035,12.069,9.002028,11.56219,15.75424,12.1292,13.4853
,39,27.50566,34.01447,19.92271,17.79561,11.28828,12.56752,9.2286,11.38901,17.7291,12.75163,14.31315
,42,31.31343,37.37031,22.27938,18.36978,11.86151,13.50427,9.543167,11.60962,19.60342,14.39697,15.19157
,45,34.78194,39.33257,24.65284,19.80912,12.00591,14.74256,9.560598,11.30695,21.59991,15.68728,16.39208
,48,38.097,44.58375,28.7407,22.83763,12.98234,16.51591,10.41434,12.43983,24.40302,17.45513,18.42861
,51,39.57813,48.28306,30.5584,24.2112,13.39369,17.17811,10.31226,12.25058,25.95993,18.73168,19.75064
,54,41.74444,51.09491,34.55368,26.15712,13.50994,18.13885,10.30372,12.50313,27.69198,20.22578,21.06915
,57,46.05805,53.77177,36.53824,27.17842,13.46137,19.52073,10.99339,12.45768,30.23786,21.23648,22.85305
,60,48.97176,56.89183,39.26207,27.74089,13.49845,20.36877,10.97326,12.55603,32.48124,22.19479,24.10528
,63,52.29944,60.31487,41.29073,29.47304,13.58069,21.83813,11.14499,12.85199,34.74718,24.04515,25.53296
,66,56.45353,63.8362,45.74224,31.53403,13.91082,23.71326,11.67252,13.11593,38.09406,26.68286,27.42558
,69,58.01514,65.67383,48.09937,32.56288,14.15985,24.99847,11.82081,13.15689,39.60814,28.19344,28.93722
,72,57.13505,62.55322,47.1552,30.07782,13.47557,24.05127,10.72786,12.26607,38.60019,30.83077,28.63849
,0,3.919874,4.301723,2.965062,3.297691,3.242307,3.10412,2.573447,3.276231,2.635814,2.738387,3.053516
,3,4.781042,5.321497,3.625334,3.866231,3.829149,3.736888,3.203074,3.788089,3.473797,3.338375,3.620929
,6,5.622251,6.225347,4.483071,4.460843,4.341879,4.274219,3.691338,4.498385,3.978467,3.850967,4.245997
,9,6.4378,7.108401,5.216739,5.236304,5.050638,4.864305,4.164219,4.793487,4.39016,4.44802,4.923275
,12,7.34445,8.325603,5.887203,5.853024,5.614175,5.652692,4.741074,5.424873,4.956191,5.184795,5.56405
,15,8.282377,9.425534,6.620308,6.396774,6.17488,6.344071,5.268162,6.391243,5.670704,5.581583,6.244519
,18,9.176066,10.58206,7.110193,7.027477,6.575406,6.923537,5.485687,6.739971,6.193779,6.308405,6.685389
,21,11.63646,13.26841,8.731322,8.903775,7.351552,8.559961,6.867659,7.787915,7.326404,7.619509,7.42073
,24,13.07451,14.87535,9.722123,9.60432,7.736406,9.269985,6.848487,8.043169,8.263598,8.340031,7.981725
,27,14.60468,16.32478,10.9888,10.45658,8.059287,9.912057,7.105805,8.141766,8.856535,9.08616,8.573226
,30,16.84068,18.35675,11.94905,11.06874,8.40612,10.16974,7.364186,8.288046,9.61861,9.855289,9.23683
,33,18.65294,20.4085,13.07146,11.93088,8.666804,10.39846,7.451683,8.587704,10.56775,10.32682,9.523412
,36,20.80848,22.20976,14.67626,12.62688,8.898226,11.07186,7.591202,8.515283,11.50013,11.3783,10.05408
,39,23.35509,24.55831,16.04052,13.45585,9.213644,11.66371,7.583809,8.521667,12.73067,12.49317,10.66923
,42,26.9842,27.90746,17.84948,14.53714,9.468592,12.39447,7.82392,8.452303,14.26618,13.16743,11.24269
,45,30.20702,30.19244,20.39885,15.79105,9.494749,13.20056,7.870306,8.723792,15.7801,14.72648,11.86306
,48,32.70965,33.95806,22.85472,17.06435,10.25319,14.41647,8.323437,9.317668,18.56116,16.91381,13.36477
,51,35.18789,36.95776,24.76491,18.38027,10.27567,14.57359,8.51035,9.267201,19.84122,18.16978,14.11054
,54,37.46425,39.01819,27.07968,19.62084,10.32711,15.71765,8.499336,9.378738,21.0842,19.32257,14.83496
