Date,Elapsed,Control,PIM447 2.5 uM,PIM447 5 uM,PIM447 10 uM,PIM447 20 uM,BYL749 10 uM,BYL749 20 uM,BYL749 30 uM,BYL749 1.25 uM,BYL749 2.5 uM,BYL749 5 uM
,66,0.188381,0.2360652,0.3189194,0.9862598,2.520419,0.3856739,0.8020617,0.7953862,0.1925638,0.1888761,0.2634158
,69,0.1888419,0.2296629,0.2962126,0.9068714,2.486274,0.3741156,0.7487947,0.7602676,0.1655717,0.1641888,0.2427748
,72,0.2203924,0.2789691,0.3561038,1.060936,3.174528,0.4296363,0.837573,0.8023348,0.2011684,0.2031147,0.289264
,0,0.9980742,1.12163,0.8626871,0.9420925,1.051888,1.149612,0.8016007,0.942178,0.8573433,0.7849889,0.801669
,3,0.9837501,1.290923,1.021566,1.209111,1.435223,1.358446,0.9660798,1.173394,0.9636042,0.9017496,0.9843135
,6,0.9222881,1.311257,1.1344,1.307672,1.585121,1.28937,0.9556142,1.1624,0.9386268,0.8753551,0.9799429
,9,0.9287587,1.32594,1.111676,1.367717,1.750181,1.130934,0.8565409,0.9397706,0.8760039,0.7890352,0.9166029
,12,0.8074225,1.246876,1.068158,1.391994,1.773605,0.9499289,0.7439119,0.837556,0.8698918,0.7170734,0.8175126
,15,0.742068,1.178397,1.068994,1.329354,1.791958,0.8166931,0.6429435,0.7440826,0.7235611,0.647536,0.7346072
,18,0.7401046,1.211518,1.004937,1.308867,1.825711,0.7265147,0.5306388,0.6349022,0.7034152,0.6016273,0.6575407
,21,0.8389559,1.397918,1.218706,1.59528,2.02874,0.8821159,0.6452653,0.6753817,0.811981,0.7518678,0.7714331
,24,0.6919423,1.180565,1.107579,1.501345,2.050935,0.7730721,0.6286023,0.6521457,0.7560676,0.7565457,0.7834694
,27,0.5921349,1.180633,1.087399,1.491853,2.120728,0.81012,0.6163441,0.6635332,0.7721844,0.6992153,0.8634042
,30,0.5196781,1.011084,0.9947108,1.416084,2.063756,0.7685137,0.6208855,0.6263487,0.6335022,0.6692355,0.7991081
,33,0.4332045,0.8575994,0.9260271,1.339461,2.102358,0.7675406,0.639546,0.6405874,0.5667818,0.6263317,0.7558457
,36,0.3842056,0.7142735,0.7910839,1.188401,2.11897,0.7307487,0.6814084,0.6353973,0.490091,0.5438531,0.7778866
,39,0.2923371,0.5153757,0.6805377,1.151319,2.002704,0.6236683,0.7375779,0.6683477,0.391103,0.4841667,0.7139832
,42,0.2434236,0.3968565,0.6200318,1.121562,2.054469,0.6242317,0.7336681,0.6647625,0.3070709,0.3831642,0.6238561
,45,0.1739032,0.3255436,0.5470799,1.076985,2.084568,0.5369386,0.7501605,0.6522481,0.2551526,0.368806,0.575506
,48,0.1627547,0.2530355,0.4942567,0.987711,2.163154,0.4177878,0.8750136,0.7017933,0.2318312,0.3291289,0.5280608
,51,0.1497111,0.2084756,0.4198024,0.9378073,2.114616,0.4113684,0.8558751,0.7075127,0.2030294,0.2642353,0.4524967
,54,0.1454088,0.2012197,0.3777009,0.9814965,2.152125,0.3746107,0.8692259,0.7021518,0.181347,0.2308922,0.4426628
,57,0.1313408,0.1816031,0.3647256,0.9836648,2.196566,0.3361629,0.8833793,0.7838792,0.1874249,0.2128804,0.4267168
,60,0.1413967,0.1667668,0.2943175,0.9041057,2.230216,0.2744106,0.9184297,0.7586457,0.1468258,0.2155437,0.3917176
,63,0.155311,0.180186,0.2582086,0.8855134,2.221663,0.2728229,0.9672749,0.8200905,0.1489941,0.1775739,0.3848032
,66,0.1833274,0.1871517,0.2902371,0.9968449,2.385595,0.2866518,1.073143,0.9058129,0.1756788,0.1943906,0.4279973
,69,0.1996148,0.2126584,0.2574745,0.9280075,2.370247,0.2668986,1.048217,0.8545263,0.1787348,0.1944076,0.3863397
,72,0.2645597,0.231319,0.3357531,1.07258,2.952309,0.3222827,1.1316,0.9768015,0.2302605,0.2358432,0.4125293
