Date Time,Elapsed,Control,Blank,DOX 6.25,NVB 2.5,DOX 12.5,NVB 5,DOX 25,NVB 10,DOX 50,NVB 20,DOX 100,NVB 40,DOX 200,NVB 80,DOX 400,NVB 160
10/11/2017 12:30,0,7.2652,0.2489,7.2445,7.6893,7.0389,7.9723,7.7334,7.6483,7.3454,8.7642,7.6101,7.8368,7.6972,8.3612,8.2955,9.2011
10/11/2017 15:30,3,7.981,0.2967,8.4679,8.64,8.0335,8.9069,8.8494,8.4004,8.332,10.0706,8.3779,8.5232,8.372,9.0853,9.4969,11.1834
10/11/2017 18:30,6,9.2582,0.2817,8.9694,9.4324,8.9463,10.1128,9.5176,10.0876,8.7253,10.7486,8.6762,9.3302,9.3666,10.1247,9.8695,12.1667
10/11/2017 21:28,8.9667,10.147,0.3239,10.0799,10.5273,9.6107,11.2662,10.3702,10.4735,10.3307,12.203,10.4606,9.7027,9.1413,10.5695,10.0729,12.8863
10/12/2017 0:30,12,11.733,0.4277,11.2849,11.5281,10.8712,12.3119,11.5135,11.9147,11.1554,13.211,10.5253,10.4944,9.7267,11.2017,10.4676,13.5872
10/12/2017 3:30,15,13.0151,0.2119,12.477,12.7066,12.1256,14.2386,12.5349,13.4409,11.3131,15.563,11.194,11.2921,9.9956,11.6605,10.3161,13.9093
10/12/2017 6:30,18,13.361,0.3008,13.4856,14.781,13.5777,15.9581,14.0212,15.1156,12.506,16.1335,11.3157,12.8192,10.6684,12.2737,11.3273,14.6835
10/12/2017 9:30,21,14.0555,0.3195,14.4856,15.269,14.5209,16.3074,14.9795,16.1555,13.5735,18.7502,12.4587,14.0459,10.5598,13.1422,10.6684,14.4976
10/12/2017 12:30,24,15.3819,0.2294,15.5699,16.3913,15.372,17.7295,16.2965,16.9666,14.1327,19.5928,12.7651,15.1314,11.6787,13.7374,11.9015,15.0017
10/12/2017 15:30,27,17.5552,0.2887,17.5207,18.6434,17.9769,19.5873,17.6615,18.5155,15.4369,21.9694,13.98,16.4571,11.9568,14.4532,11.3339,15.5322
10/12/2017 18:30,30,19.8435,0.246,18.6341,20.4538,19.2959,22.4647,18.7279,21.6705,17.4418,24.7047,13.3192,16.6301,12.5506,14.7959,11.7907,15.5929
10/12/2017 21:28,32.9667,21.9393,0.2408,21.4116,22.4304,21.0861,24.8248,21.0906,22.7634,18.0311,26.5767,13.8728,17.0332,12.2465,15.0225,12.0837,16.3614
10/13/2017 0:30,36,23.743,0.1973,23.9328,24.0939,25.0704,26.1382,23.3912,25.2053,19.6246,28.6831,14.7228,17.9123,12.9502,15.3229,11.7427,16.1681
10/13/2017 3:30,39,26.3066,0.3193,25.2384,27.565,26.2177,29.9626,25.8971,27.2834,21.2241,32.5864,16.1135,18.8411,12.6824,16.0319,11.7645,16.7403
