Date,Elapsed,Control,OSI-906 2.5 uM,OSI-906 5 uM,OSI-906 10 uM,OSI-906 20 uM,Binimetinib 5 uM,Binimetinib 10 uM,Binimetinib 20 uM,Binimetinib 0.625 uM,Binimetinib 1.25 uM,Binimetinib 2.5 uM
,0,0.07972983,0.1117925,0.09161249,0.06190586,0.09446363,0.06774475,0.03733815,0.1094535,0.03593818,0.0440136,0.06571309
,3,0.07645187,0.1111437,0.08799306,0.07177392,0.1283872,0.0773738,0.04862325,0.113551,0.04375751,0.04295509,0.07911522
,6,0.070852,0.1113315,0.08099322,0.07940546,0.1066195,0.07481288,0.04756474,0.1155314,0.04155513,0.03955761,0.08025909
,9,0.0677789,0.1055097,0.09137347,0.08403218,0.1136022,0.07715185,0.04305753,0.11379,0.04387702,0.03834544,0.07218368
,12,0.06666917,0.09782697,0.08836866,0.08871011,0.1380333,0.07418118,0.04413311,0.1173582,0.04396239,0.03737229,0.07457387
,15,0.0664643,0.09349049,0.08503947,0.08992229,0.1324164,0.06987885,0.04715499,0.1146095,0.04681354,0.03552843,0.07250806
,18,0.06794962,0.09004179,0.0821371,0.09294416,0.1306579,0.07071541,0.04811107,0.1105803,0.06697648,0.04578917,0.07273
,21,0.06552529,0.09405389,0.08427119,0.1018049,0.1405772,0.07996885,0.05154269,0.1131413,0.06344242,0.04203316,0.08065177
,24,0.06397167,0.09446364,0.07967862,0.106739,0.1496087,0.07792012,0.06197416,0.1271409,0.07279829,0.04934031,0.09605141
,27,0.06566188,0.08964912,0.08435656,0.1062609,0.1591524,0.08592726,0.06124002,0.1255532,0.08707113,0.05459872,0.0991928
,30,0.06354485,0.09709284,0.08990521,0.1138412,0.1704887,0.08920523,0.06514969,0.110512,0.09678554,0.05552065,0.1059707
,33,0.05804742,0.09405389,0.08439071,0.114968,0.1802714,0.09260271,0.06629357,0.1319384,0.09294416,0.06101808,0.1182972
,36,0.05777425,0.09893671,0.08148833,0.1185533,0.1878346,0.1062268,0.07568359,0.1368724,0.1010879,0.06579845,0.1312384
,39,0.05748402,0.09671725,0.1014293,0.1205167,0.2064098,0.1245459,0.08353707,0.1511282,0.118707,0.07785183,0.1445722
,42,0.05381338,0.1098633,0.1173582,0.1146266,0.2278703,0.1415503,0.1101706,0.1601767,0.1191679,0.09132225,0.1601084
,45,0.05915715,0.09666603,0.1232825,0.1182631,0.2430821,0.1602621,0.1230435,0.1805616,0.1508038,0.1114169,0.1791446
,48,0.06287901,0.1044512,0.1216947,0.1232825,0.2646621,0.1861444,0.1410723,0.2089195,0.1660327,0.1162314,0.1924272
,51,0.06555944,0.107695,0.1241361,0.1322286,0.2884274,0.2275459,0.1612865,0.245165,0.1794007,0.1313238,0.2236021
,54,0.06460337,0.1063463,0.1087877,0.1376065,0.2912785,0.2646962,0.1909931,0.2754521,0.1948345,0.1696009,0.2711839
,57,0.08268343,0.1034439,0.1203118,0.1391089,0.3073099,0.2957175,0.2401114,0.2991149,0.1991709,0.1788543,0.3291459
,60,0.1025391,0.1130217,0.123163,0.1505648,0.3137804,0.3260899,0.2712863,0.3561209,0.240709,0.22688,0.4066051
,63,0.1024195,0.1127656,0.130197,0.1461429,0.3200291,0.377257,0.3157097,0.3733303,0.2541111,0.2838348,0.4460091
,66,0.151316,0.1299579,0.1597499,0.162345,0.3616013,0.481418,0.4182999,0.4801717,0.378674,0.4216462,0.6199635
,69,0.1538086,0.1413625,0.15485,0.1684741,0.3818154,0.5346509,0.4458554,0.4939323,0.3907616,0.4583697,0.6717794
,72,0.1432064,0.1424552,0.1594085,0.1639157,0.3444261,0.535129,0.4390604,0.4836716,0.4412116,0.4579942,0.6967739
,0,0.06788134,0.1137047,0.05789377,0.0794396,0.09564166,0.0294676,0.04718914,0.03750888,0.01710692,0.04698427,0.07281537
,3,0.06171807,0.1073707,0.06187172,0.09193687,0.1316311,0.04394531,0.05534992,0.042699,0.02538721,0.06007908,0.07124466
,6,0.0637668,0.1096584,0.05958397,0.08937595,0.1146607,0.04293802,0.05376216,0.03564794,0.03284801,0.06398875,0.07646894
,9,0.06176928,0.1038878,0.05599869,0.09750259,0.1168973,0.04406482,0.05319875,0.03105537,0.02962125,0.07059591,0.07163735
,12,0.05944739,0.1064487,0.06238391,0.094549,0.1155656,0.04450871,0.05145733,0.04193072,0.03592111,0.06970812,0.069913
,15,0.05823522,0.109573,0.07308853,0.09943181,0.119407,0.04657452,0.05459872,0.04428677,0.03370165,0.0788762,0.07138126
,18,0.05866204,0.1073194,0.07663967,0.103461,0.1279604,0.05864497,0.04930616,0.05055247,0.04136732,0.07163735,0.07870547
,21,0.06016444,0.1094535,0.07056177,0.1073707,0.1623621,0.06883741,0.05507676,0.05854253,0.04853788,0.07252513,0.09557337
,24,0.05756938,0.1064317,0.08295659,0.1235898,0.1566768,0.07602505,0.06559359,0.06393753,0.0522939,0.07406168,0.08500532
,27,0.05502554,0.1021635,0.07954204,0.1259458,0.1568305,0.08053226,0.07471044,0.06514969,0.06024981,0.08493703,0.1124583
,30,0.05113295,0.1092316,0.07814207,0.1348237,0.173852,0.0875321,0.07771525,0.07372022,0.070852,0.08676382,0.1202265
,33,0.05355728,0.1040927,0.0810103,0.1612352,0.1861444,0.09277344,0.08821501,0.08174442,0.08165906,0.09806599,0.1377773
,36,0.05468408,0.1104267,0.08512484,0.165879,0.1978051,0.1209264,0.09903914,0.1083609,0.08410047,0.1095048,0.1546622
,39,0.05541821,0.1119803,0.07996885,0.1615938,0.2050952,0.1329969,0.1072853,0.1207216,0.08613213,0.1415674,0.1698228
,42,0.05277193,0.1111437,0.0813176,0.1666644,0.222168,0.1419259,0.1252288,0.1575646,0.09683675,0.1524086,0.198949
,45,0.05446214,0.1082072,0.08701991,0.1655376,0.240248,0.1613718,0.1386309,0.1865883,0.1032561,0.1669546,0.2211777
,48,0.05369386,0.1207045,0.08048104,0.1592548,0.2425528,0.1939979,0.1815689,0.2093463,0.1289336,0.2011514,0.2446357
,51,0.0599425,0.117307,0.09092958,0.1669376,0.2625109,0.2556135,0.2077415,0.2426041,0.1423186,0.2284166,0.2761008
,54,0.06678867,0.1221898,0.09033203,0.1756617,0.2765618,0.2867201,0.2453187,0.2988759,0.1833957,0.2695961,0.3084708
,57,0.05685233,0.122941,0.09284173,0.189337,0.2931736,0.3296752,0.3086586,0.3370506,0.2093463,0.2975613,0.3479772
,60,0.07158613,0.1370602,0.0966831,0.1996661,0.3059441,0.3970102,0.3528259,0.4088416,0.2679059,0.3533039,0.4178048
,63,0.09613678,0.1456478,0.1017366,0.1980612,0.3259021,0.4397775,0.4026271,0.4511992,0.2999515,0.3756522,0.4570552
,66,0.1234191,0.1737667,0.1230947,0.2520624,0.3876031,0.5614722,0.5383557,0.5780499,0.4342801,0.5744987,0.667955
,69,0.1341066,0.2047367,0.1250068,0.2556818,0.3946542,0.6072443,0.5505627,0.5884984,0.460316,0.5973079,0.7411802
,72,0.148977,0.2049757,0.1194752,0.2414261,0.3949102,0.6649161,0.5690354,0.5540456,0.4685622,0.6702257,0.684823
,0,0.04058198,0.07336169,0.07172271,0.08340049,0.0943612,0.05289144,0.02629207,0.05261828,0.034487,0.06670332,0.03952346
,3,0.04490139,0.1353017,0.08674674,0.09951718,0.126697,0.06950325,0.02439699,0.04679646,0.05115002,0.07138126,0.05084271
,6,0.03735522,0.1186045,0.08268343,0.0912881,0.1009854,0.05784255,0.02074342,0.04128196,0.0568694,0.07682747,0.05482067
,9,0.03732108,0.1154802,0.08234197,0.09388316,0.100883,0.0614449,0.02139218,0.04454286,0.05509383,0.07611042,0.05821815
,12,0.03848203,0.1203972,0.08635408,0.09320025,0.104861,0.0601303,0.02412383,0.04107708,0.05550358,0.08836866,0.05929373
,15,0.03919908,0.1144729,0.08428827,0.0890345,0.1235215,0.06462044,0.02704327,0.04717207,0.05007444,0.09051983,0.06168392
,18,0.04537943,0.1244946,0.08126639,0.09029789,0.1365992,0.07109102,0.03274557,0.0476501,0.06219611,0.1039902,0.06707892
,21,0.04635257,0.1256214,0.08845402,0.08544922,0.1439235,0.07961033,0.03972834,0.04894763,0.07035689,0.1207557,0.07206416
,24,0.05185001,0.1238117,0.08792477,0.08824915,0.1673985,0.09089543,0.0452087,0.06009615,0.07278122,0.1343286,0.08080542
,27,0.04983542,0.1209264,0.1066707,0.09174907,0.201066,0.09622214,0.05753524,0.06328876,0.07964447,0.1447259,0.08398096
,30,0.04860618,0.1168802,0.1026415,0.1043829,0.232258,0.09526606,0.07665674,0.07257634,0.0783128,0.1466551,0.1071316
,33,0.05540114,0.1112632,0.1003879,0.106978,0.2559721,0.1071829,0.08638822,0.09067348,0.1030171,0.1616621,0.1067219
,36,0.05007444,0.118485,0.1030683,0.1111096,0.271201,0.1256556,0.09110031,0.100183,0.1051341,0.1708472,0.1354724
,39,0.04850374,0.1166924,0.1024537,0.1167948,0.2848592,0.140065,0.1029659,0.1211825,0.1216606,0.1783934,0.1389041
,42,0.05784255,0.1109047,0.101583,0.1271068,0.3100586,0.1647522,0.1295311,0.1408162,0.1318701,0.1944759,0.1436503
,45,0.065457,0.1025732,0.109573,0.137009,0.3435895,0.182764,0.1575134,0.1586743,0.1586231,0.2149803,0.1625669
,48,0.07008372,0.1103413,0.1010879,0.1317847,0.3696084,0.2231582,0.1788373,0.1750471,0.1694985,0.2243533,0.1798616
,51,0.07843231,0.1092999,0.09840745,0.1490794,0.371623,0.2802837,0.2019709,0.2036099,0.2056074,0.2505258,0.210439
,54,0.07011787,0.1188606,0.1077633,0.1512818,0.373262,0.311322,0.2358091,0.2390017,0.2332482,0.2800788,0.2351262
,57,0.08782233,0.118468,0.1166582,0.1695668,0.4001687,0.3291801,0.3041856,0.2800446,0.2524721,0.3205754,0.2657035
,60,0.08712235,0.1207216,0.1300433,0.1659132,0.402832,0.4088246,0.3719645,0.3309215,0.2891957,0.3412847,0.3386896
,63,0.09646115,0.1268507,0.133253,0.1866737,0.4311216,0.4537772,0.3738083,0.3778034,0.377018,0.3725108,0.4344167
