Date Time,Elapsed,Control,R 1,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,Eto 8 uM,Gem 20 nM,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM
3/3/17 12:00,0,0.2378,0.0584,0.2096,0.0641,0.2860,0.0617,0.2740,0.0533,0.2962,0.0569,0.2584,0.0633,0.2892,0.0614,0.2922,0.0656,0.2640,0.1288,0.3669,0.0863
3/3/17 15:00,3,0.2898,0.0921,0.2498,0.1014,0.3353,0.0802,0.2920,0.0821,0.3597,0.0588,0.2888,0.0885,0.4060,0.1138,0.3101,0.1003,0.2835,0.1474,0.4151,0.1114
3/3/17 18:00,6,0.3252,0.1100,0.2832,0.1245,0.3924,0.0843,0.3830,0.0921,0.3442,0.0929,0.3210,0.1234,0.5106,0.1163,0.3365,0.1508,0.3047,0.2182,0.3778,0.1177
3/3/17 21:00,9,0.2899,0.0703,0.2512,0.1068,0.3266,0.0635,0.3429,0.0647,0.2844,0.0835,0.2889,0.1094,0.3951,0.1207,0.3078,0.1251,0.2624,0.1830,0.3204,0.0860
3/4/17 0:00,12,0.2828,0.0647,0.2682,0.1112,0.3170,0.0841,0.3355,0.0743,0.3233,0.0757,0.3048,0.1054,0.3719,0.1251,0.3232,0.1174,0.2250,0.1989,0.3034,0.1046
3/4/17 3:00,15,0.2384,0.0585,0.2624,0.1284,0.2902,0.0890,0.3484,0.0672,0.3026,0.0913,0.3074,0.0999,0.3764,0.1114,0.2913,0.1033,0.1901,0.1843,0.2430,0.0973
3/4/17 6:00,18,0.2080,0.0747,0.2603,0.1223,0.2572,0.0779,0.3604,0.0773,0.3039,0.0971,0.2802,0.0978,0.3469,0.1168,0.2607,0.1097,0.1895,0.1656,0.2341,0.1130
3/4/17 9:00,21,0.1847,0.0826,0.2244,0.1193,0.2512,0.0814,0.3619,0.0635,0.2820,0.0887,0.2734,0.0956,0.3297,0.1107,0.2295,0.1072,0.2111,0.1589,0.2300,0.0980
3/4/17 12:00,24,0.1349,0.0631,0.1715,0.1022,0.1852,0.0592,0.3011,0.0455,0.2020,0.0571,0.1913,0.0726,0.2141,0.0702,0.1634,0.0821,0.1656,0.1353,0.1763,0.0668
3/4/17 15:00,27,0.1423,0.0669,0.1728,0.1049,0.2116,0.0666,0.2921,0.0732,0.2498,0.0702,0.2269,0.1138,0.2125,0.0915,0.1957,0.0836,0.2285,0.1701,0.2593,0.0647
