Date,Elapsed,Control,OSI-906 2.5 uM,OSI-906 5 uM,OSI-906 10 uM,OSI-906 20 uM,Binimetinib 5 uM,Binimetinib 10 uM,Binimetinib 20 uM,Binimetinib 0.625 uM,Binimetinib 1.25 uM,Binimetinib 2.5 uM
,0,9.423452,6.449034,7.636719,8.345904,8.441135,10.95466,10.63219,10.1992,12.61422,13.15807,14.22384
,3,10.3937,7.086822,8.668478,9.109604,8.622841,12.87345,12.38886,12.38879,14.95243,15.68134,16.49129
,6,11.43536,8.319799,9.576407,10.18225,9.139977,14.4949,14.41675,13.71469,16.75069,17.45192,18.74411
,9,12.85511,9.067108,10.62029,11.33833,9.72156,16.32585,15.46423,14.99576,17.98721,19.04831,20.03773
,12,14.46641,9.66831,11.76282,12.62796,10.52048,17.62313,16.92365,16.31197,20.12449,20.77643,21.97134
,15,16.40379,10.69701,13.69581,13.52,11.24088,18.68756,18.74483,17.23809,21.98959,22.00176,24.68875
,18,18.77386,11.80941,14.92257,14.72017,11.95424,20.79566,19.45589,19.0198,23.94004,24.07843,26.85494
,21,20.409,13.37814,16.74525,15.97141,12.47632,22.61224,21.8599,20.9465,27.0307,26.93752,28.94267
,24,23.38922,15.10517,18.00524,16.77784,13.0198,25.08838,24.05386,23.16746,29.54115,29.70689,31.51235
,27,25.61933,16.57641,20.07814,18.24545,13.73929,26.43069,25.80787,24.19609,33.4362,32.71101,33.63239
,30,28.26874,17.89081,21.92644,19.11879,14.28175,28.05692,27.72995,25.50177,35.53885,34.60583,35.90095
,33,32.61456,19.77836,23.87401,20.80221,13.92964,30.37673,29.10608,26.74156,38.56258,37.52209,39.34845
,36,36.28498,22.30215,26.30579,21.98992,14.75726,32.09926,30.90597,28.50594,42.63933,39.81194,43.18564
,39,39.61697,24.23255,28.98004,22.80797,14.94219,34.05558,31.97038,30.03776,45.75,41.73456,44.49733
,42,43.24893,27.84115,31.43105,24.08737,14.91267,35.53056,33.37535,30.85519,49.39771,45.21446,47.88097
,45,46.97931,30.60139,34.30444,25.12964,15.36348,37.03841,34.21195,31.70623,51.02559,48.22866,51.04668
,48,50.08283,33.61968,37.43308,26.12846,15.32735,38.65536,35.2418,33.89145,55.88239,51.81078,52.54775
,51,53.52786,36.23718,40.15097,28.0144,15.64612,39.8508,36.13109,35.21884,58.61942,53.08506,53.93979
,54,56.30807,38.40589,42.68512,29.20815,16.0175,41.34373,37.55146,36.0359,60.85717,56.39273,55.76002
,57,58.66379,42.13462,46.36383,31.8162,16.35768,41.75185,38.54027,37.63543,63.73818,57.81026,58.00877
,60,62.06158,45.2067,48.86238,32.08127,16.71648,43.44109,40.18605,37.78695,66.11464,59.15694,60.0955
,63,65.49209,47.97992,51.05968,35.06855,16.97445,44.53902,40.88183,38.49409,67.37115,61.01918,61.78303
,66,67.81139,50.68995,53.31452,37.76253,18.55667,47.23343,42.80867,41.15475,72.58829,66.13454,66.40032
,69,69.88905,53.51625,54.45374,39.21645,18.77407,47.76051,42.93575,41.76136,72.08475,65.88636,66.21933
,72,70.56645,54.33937,55.72787,39.78857,18.429,47.69959,42.903,40.94448,72.74584,66.37355,66.63059
,0,9.862684,10.65334,9.027652,10.06786,8.179734,12.46971,10.94631,11.32225,15.25874,15.79207,15.65689
,3,10.93089,12.03857,10.1584,10.25775,8.720583,15.30036,13.11836,13.09314,18.102,18.57179,18.94727
,6,12.35924,13.92692,11.25272,11.9569,9.592199,17.66555,15.12673,15.33681,20.3503,20.61918,21.38658
,9,13.56782,15.15497,12.54792,13.22293,10.40123,18.67529,16.60122,17.06826,22.71689,22.14294,23.38942
,12,14.84766,16.74077,14.04502,14.71082,11.18965,20.49272,18.13321,18.12969,24.86716,24.69764,25.70363
,15,16.52923,18.53098,15.8274,16.15303,11.9844,22.8152,19.34261,19.77075,26.95101,27.13297,27.61135
,18,18.32692,20.35452,17.13123,17.07257,13.14154,24.06236,20.79913,21.7168,29.9,29.64909,29.57809
,21,20.90754,22.79804,18.88912,18.5006,13.58145,26.73452,23.68818,22.89513,32.56792,33.02568,32.64546
,24,24.38053,24.9774,20.46837,19.8444,13.69427,29.16775,25.04371,24.31731,35.76469,35.91135,34.97108
,27,27.74847,27.1995,22.53213,20.63331,14.29844,31.11739,27.07002,26.20839,39.14784,38.32552,38.71018
,30,30.36734,30.12659,25.04445,21.519,14.4493,34.2439,28.54379,27.29921,42.28414,42.27805,41.52562
,33,33.75135,33.03199,27.16774,22.82059,15.32744,36.01698,31.33354,28.68416,45.29005,44.80924,44.05665
,36,37.51313,36.1078,29.36549,23.8777,15.49784,38.32768,33.33432,30.64701,48.6393,48.4711,47.14838
,39,40.76056,39.73328,31.20433,25.13492,15.61948,40.4029,34.28581,31.94053,51.50044,52.14958,49.9778
,42,46.01458,43.43878,34.6215,26.04654,16.27066,42.12527,36.31385,33.51875,55.40824,53.97703,51.42945
,45,50.10833,47.10038,36.87491,27.69257,16.36352,43.91498,37.1441,33.77882,58.32476,57.98716,54.03676
,48,52.58944,49.49345,39.62881,28.88521,16.72298,43.56414,39.05245,35.29887,60.47197,60.20517,56.6248
,51,56.86749,53.24722,41.86366,30.26907,17.36229,46.06843,38.94697,36.43925,65.50904,62.40877,58.13891
,54,59.97883,55.47151,44.78141,32.30992,17.55127,46.70066,40.97103,36.82151,68.06007,65.10043,59.52218
,57,61.70966,58.46068,47.14511,33.87979,17.54382,48.05686,41.92591,38.25678,69.85779,67.77184,62.60101
,60,65.75045,60.52686,50.07583,35.89828,17.7991,48.95543,42.76847,39.67133,72.48912,69.30854,63.45447
,63,68.78046,64.80658,53.04069,37.95061,18.80291,50.29498,44.28876,40.34138,73.38366,70.4453,64.55103
,66,71.9396,67.74181,55.60842,42.46607,20.42134,53.87994,49.3007,44.33399,77.46533,75.62164,69.82025
,69,73.67999,69.65124,57.77247,43.22468,20.14905,54.63432,49.54124,44.53266,77.93031,75.61012,69.99023
,72,74.71713,70.95769,58.9229,44.72591,19.32822,55.3741,48.37828,44.38724,78.52644,75.97202,69.67924
,0,10.1561,9.78548,9.617451,9.119931,9.269558,11.69548,10.89736,10.94658,16.26253,15.33442,16.09657
,3,10.95457,10.72691,10.87592,10.24969,9.781844,13.70105,13.14469,13.01082,18.06219,18.1207,18.81973
,6,12.02452,12.49099,12.1315,11.66429,10.452,15.76479,14.49101,14.92292,20.32026,20.09274,20.95843
,9,13.43651,13.72442,13.66095,12.94698,11.40393,17.44933,15.88492,16.16364,22.63221,21.53126,23.34891
,12,15.15642,15.01588,15.08343,13.94096,12.65275,19.00102,17.26441,17.73108,25.29865,23.78309,25.17776
,15,17.1785,16.63009,16.28648,15.21968,13.10987,20.96603,18.12604,19.30357,27.18453,26.49224,27.53496
,18,19.71924,18.45239,18.01537,16.55432,13.78854,22.4004,19.88416,21.28908,30.39459,28.46731,29.88286
,21,21.2548,20.00799,19.38898,18.15737,14.5704,25.38431,22.56938,22.38206,32.71891,30.93717,32.96605
,24,23.98439,22.57464,21.61528,19.23447,14.99442,28.15089,24.00407,24.11025,36.72868,34.47674,35.7409
,27,27.61438,24.90029,23.74937,20.97398,15.48389,30.20796,25.72673,26.54602,40.30116,36.98584,39.30835
,30,30.47991,27.6005,25.66802,21.70123,15.44751,31.83679,27.40895,26.87671,43.56841,39.7324,42.37203
,33,33.34224,30.23678,28.05182,22.70144,15.89154,34.11668,28.99047,29.42899,46.68607,42.94688,44.80264
,36,37.04098,32.55621,30.7856,24.24938,16.20815,37.05075,30.93694,31.79498,50.77083,44.27182,47.23788
,39,40.54025,34.88601,32.62447,25.09542,17.01955,38.11947,31.75512,32.97009,53.17355,47.46574,49.74698
,42,43.23456,38.37545,35.14336,26.49515,17.27447,40.21884,32.95936,34.5147,56.822,50.24219,52.61346
,45,47.90977,41.08957,38.25758,28.50524,17.51528,42.02922,34.79735,35.50046,60.41669,54.35386,55.27184
,48,51.54733,44.0352,41.49478,29.83518,17.96592,43.4143,35.35653,36.62732,62.86082,56.78745,56.65565
,51,55.8837,47.32504,44.4494,31.43737,18.3278,44.7766,36.8967,37.7531,65.75248,58.63383,58.80991
,54,58.73177,51.07567,47.17739,33.69533,18.49739,46.26512,37.62277,39.18173,69.48206,61.35379,61.37456
,57,60.88097,53.18816,50.15594,35.71019,19.28277,48.04294,38.57481,39.76064,71.07413,63.88348,61.80717
,60,64.18156,55.84392,53.06978,37.66273,19.91562,49.23534,39.53012,40.98374,73.92514,65.63927,64.81371
,63,67.16341,59.63885,54.99628,40.02501,19.52809,50.59262,40.2934,42.53249,75.00946,67.46653,65.47952
,66,69.42354,62.57696,57.40477,44.01208,22.26138,56.07836,44.22086,46.11924,79.70621,71.32968,70.18264
,69,71.63696,63.83859,58.81804,46.22916,21.7875,55.52458,45.04836,46.52221,79.96115,72.04102,70.30623
,72,73.14268,65.60049,60.34091,46.14105,21.40224,54.82272,44.18981,46.03638,81.10069,71.87952,70.57973
