Date,Elapsed,Control,OSI-906 2.5 uM,OSI-906 5 uM,OSI-906 10 uM,OSI-906 20 uM,Binimetinib 5 uM,Binimetinib 10 uM,Binimetinib 20 uM,Binimetinib 0.625 uM,Binimetinib 1.25 uM,Binimetinib 2.5 uM
,0,1.038246,0.8785136,1.105189,1.162929,1.051273,1.058102,0.9541459,0.9950864,1.063207,1.095526,1.161956
,3,0.9413755,0.870882,1.033551,1.105718,1.013627,0.8718552,0.8097786,0.8387681,0.825588,0.8466899,0.8843012
,6,0.9554605,0.8365316,0.9920133,1.049668,0.9489558,0.7470362,0.6796328,0.7395924,0.687418,0.7170905,0.7253025
,9,0.8879889,0.8380852,0.9773991,0.9497582,0.8652139,0.6162758,0.5767865,0.6422606,0.5925959,0.6025322,0.6016444
,12,0.8304708,0.7792695,0.9505948,0.8716844,0.7891206,0.5630941,0.4786522,0.5652624,0.500898,0.4815204,0.4881617
,15,0.695852,0.7770671,0.8883133,0.7816939,0.6587358,0.4399312,0.3519893,0.5060881,0.3758571,0.3637866,0.3617208
,18,0.5875252,0.7180124,0.8583847,0.7307488,0.6291999,0.3438797,0.2915346,0.4120172,0.2834934,0.3291801,0.2909371
,21,0.5260974,0.6660941,0.8096932,0.7229635,0.5845888,0.3165804,0.221929,0.3374604,0.2253264,0.1985905,0.2125731
,24,0.420895,0.682962,0.8056811,0.7266341,0.5231268,0.2470601,0.1913175,0.2887518,0.1818762,0.1411406,0.1664424
,27,0.3796472,0.6371046,0.7586969,0.7052079,0.4780888,0.2143998,0.1502404,0.2391212,0.1411918,0.1139778,0.149677
,30,0.3033319,0.6016273,0.7119858,0.6758256,0.4682037,0.1910955,0.1388358,0.2504746,0.1305896,0.107695,0.133031
,33,0.2381993,0.5681306,0.6434215,0.6529652,0.4663427,0.186981,0.1222752,0.2356213,0.1224971,0.08801013,0.1260483
,36,0.2239777,0.5416507,0.6353802,0.6657014,0.4628428,0.1901224,0.1462966,0.246104,0.1237434,0.09007594,0.1317676
,39,0.1798275,0.4943421,0.5861082,0.5953958,0.4357825,0.1955174,0.1354554,0.2493649,0.1255702,0.08766868,0.1230605
,42,0.1757813,0.4617331,0.5472847,0.6185977,0.4374727,0.1998026,0.1478843,0.2557501,0.126919,0.09046861,0.1336457
,45,0.1578036,0.4115562,0.5134295,0.5482408,0.4498504,0.225702,0.1619523,0.2722936,0.1345676,0.1001318,0.1528525
,48,0.1435137,0.3990077,0.4589673,0.5215731,0.4494065,0.2340165,0.1669717,0.2829983,0.1551403,0.103461,0.1606889
,51,0.1360017,0.3340971,0.4455822,0.5044833,0.4650793,0.255716,0.1861786,0.3112195,0.1637791,0.1291043,0.1915223
,54,0.1458185,0.3064221,0.4050344,0.5045516,0.4597355,0.2960248,0.2201363,0.3471748,0.1835323,0.1436503,0.2099268
,57,0.1429503,0.2948297,0.3993833,0.4876666,0.4721645,0.319295,0.2436114,0.3733132,0.1988465,0.1736472,0.2570135
,60,0.1420284,0.3061318,0.3624037,0.4960323,0.5092124,0.355899,0.2968613,0.415022,0.2342726,0.2120267,0.3161706
,63,0.1501721,0.2776374,0.3498381,0.4714987,0.4938811,0.4081758,0.3378018,0.478601,0.2513965,0.245865,0.3614135
,66,0.2667279,0.4739572,0.6234293,0.7409582,0.7194807,0.6557651,0.5904959,0.7129418,0.5113807,0.5315949,0.7157418
,69,0.2583281,0.3740473,0.4850715,0.5844522,0.6650527,0.66956,0.5629063,0.7304927,0.4908763,0.5056955,0.6990275
,72,0.221485,0.306644,0.3717084,0.4742133,0.5724841,0.6316242,0.5261145,0.6977983,0.4662232,0.471328,0.6279365
,0,1.047107,1.422315,1.185038,1.321279,1.105633,1.076216,1.046424,1.005979,1.223503,1.320869,1.415298
,3,1.018681,1.344686,1.127998,1.273134,1.069473,0.8538434,0.8516752,0.8548166,0.9629043,0.995462,1.075465
,6,0.996179,1.270573,1.058956,1.195384,0.9997302,0.7062835,0.7328658,0.7234928,0.8147467,0.8200905,0.8812622
,9,0.9424682,1.194206,1.014191,1.100477,0.9292197,0.5951397,0.5580918,0.6056224,0.6715062,0.7047469,0.7295195
,12,0.8717527,1.148127,0.9193004,1.02213,0.842729,0.4677427,0.4756132,0.522734,0.5623771,0.6056054,0.5977177
,15,0.7642114,1.039868,0.8445729,0.9165176,0.7372534,0.3579307,0.398615,0.3996565,0.4484505,0.452565,0.463816
,18,0.6550139,0.9869086,0.8188612,0.8534336,0.6412532,0.2924395,0.3351385,0.3325946,0.3415066,0.3504698,0.3632744
,21,0.5286071,0.9350244,0.7901449,0.7964789,0.5911276,0.2204095,0.2636036,0.280113,0.276135,0.2472991,0.3017783
,24,0.4306777,0.8422851,0.7469849,0.774916,0.5563162,0.1823201,0.2239606,0.2417675,0.1677229,0.1861444,0.2092951
,27,0.3838471,0.7961887,0.6925057,0.7898718,0.5235194,0.1519647,0.1867249,0.197532,0.1484648,0.1565232,0.2071098
