Date,Elapsed,Control,OSI-906 2.5 uM,OSI-906 5 uM,OSI-906 10 uM,OSI-906 20 uM,Binimetinib 5 uM,Binimetinib 10 uM,Binimetinib 20 uM,Binimetinib 0.625 uM,Binimetinib 1.25 uM,Binimetinib 2.5 uM
,30,0.3146341,0.7176368,0.6565505,0.7804988,0.5132587,0.127397,0.1611499,0.1838908,0.1210289,0.1288141,0.17573
,33,0.2613158,0.6680233,0.6507457,0.7423753,0.5296144,0.1242898,0.1641205,0.1721277,0.09801477,0.1089243,0.1715813
,36,0.2257191,0.6223537,0.5981616,0.7743014,0.5169122,0.1330481,0.1575817,0.1700789,0.09048568,0.1053561,0.1711204
,39,0.2056244,0.5433239,0.5563333,0.7162539,0.5055076,0.1305896,0.1531598,0.1706082,0.09022959,0.1080194,0.1753886
,42,0.1615255,0.4994298,0.5027931,0.702886,0.5024346,0.1485843,0.1678424,0.1959783,0.09944889,0.116368,0.1859225
,45,0.1360529,0.4590014,0.4765181,0.6482019,0.5110222,0.1563866,0.1861956,0.2052659,0.09707578,0.1274824,0.2063074
,48,0.1220532,0.4165927,0.4466578,0.5952592,0.4855838,0.1796226,0.1942198,0.2221338,0.1143022,0.139365,0.2115145
,51,0.121285,0.3945346,0.4255729,0.5642721,0.4790107,0.2094146,0.214912,0.2511575,0.1202094,0.1622596,0.2432528
,54,0.118946,0.3877909,0.3984955,0.5651087,0.4987639,0.2521136,0.2479478,0.2806422,0.1423869,0.1928882,0.2706546
,57,0.1192874,0.3848715,0.3821569,0.5550187,0.5096051,0.2914834,0.278952,0.3302045,0.1778812,0.2080829,0.3119024
,60,0.1355236,0.3909152,0.3717254,0.5534651,0.535607,0.3460992,0.3206437,0.3771887,0.2152364,0.2565354,0.3580843
,63,0.1417552,0.3747815,0.3527405,0.5180562,0.5202244,0.4004589,0.3721693,0.4323167,0.2334701,0.2907834,0.3942103
,66,0.2094829,0.586057,0.6006713,0.8147297,0.8512142,0.6527432,0.6323071,0.698669,0.5386288,0.6054175,0.7931497
,69,0.2053854,0.4797961,0.4751864,0.6527603,0.7914595,0.6445653,0.6411508,0.6748695,0.5032882,0.5647843,0.7551798
,72,0.1916248,0.3699669,0.3592965,0.5114661,0.6817157,0.6212098,0.5946788,0.6428239,0.455143,0.5289486,0.6799573
,0,1.056566,1.276582,1.287645,1.265946,1.23402,1.029266,0.9533435,1.065512,1.352778,1.30267,1.356158
,3,1.02411,1.240507,1.237195,1.189716,1.209657,0.7841353,0.789001,0.9060178,1.060407,1.025066,1.060543
,6,1.012962,1.18666,1.210528,1.126666,1.16969,0.6915155,0.6494653,0.7904863,0.9102177,0.9103714,0.9157664
,9,0.9672578,1.130234,1.103311,1.071555,1.04301,0.5564528,0.5627868,0.6636869,0.7618041,0.7822061,0.7262586
,12,0.8711381,1.088218,1.090694,1.039339,0.9555288,0.4394873,0.4824253,0.5617454,0.6464434,0.6979349,0.6226781
,15,0.7897693,1.040756,1.049856,0.9324635,0.8659309,0.3411652,0.3843251,0.4459749,0.491986,0.5057638,0.4914739
,18,0.678267,1.00463,0.9482046,0.9013398,0.7485727,0.2910395,0.3004978,0.4007662,0.3921786,0.3880812,0.3543795
,21,0.6056907,0.9519265,0.9323782,0.8341926,0.6759793,0.2194875,0.2622207,0.3577087,0.3351043,0.3361629,0.2618451
,24,0.4772181,0.8652822,0.8739381,0.8294464,0.6287559,0.178547,0.2128121,0.2661816,0.2388481,0.2202729,0.2113438
,27,0.3925884,0.7989545,0.8372145,0.8199369,0.5923739,0.1505648,0.1749447,0.2316775,0.2083732,0.1952101,0.1544915
,30,0.3145829,0.753814,0.8098127,0.8448973,0.587474,0.1383065,0.1570354,0.2035587,0.1704204,0.1515721,0.1217971
,33,0.2562111,0.6471434,0.7530457,0.7951813,0.5810376,0.1327237,0.1543208,0.1961149,0.1486014,0.1391943,0.1133973
,36,0.2282629,0.5961641,0.7375437,0.777972,0.5782377,0.1316652,0.1575134,0.2125219,0.1438552,0.1544232,0.1254678
,39,0.1677741,0.5154952,0.7133687,0.724022,0.5445019,0.1422162,0.1766349,0.2071781,0.1378285,0.1424552,0.1157875
,42,0.1351993,0.4829204,0.6276633,0.6966886,0.5448946,0.1399967,0.1779495,0.2237728,0.1362236,0.1849664,0.127619
,45,0.1289336,0.4233364,0.5703671,0.666521,0.539363,0.1699082,0.1898834,0.2277849,0.1440088,0.2048391,0.1434625
,48,0.1250068,0.3729376,0.5131904,0.5973592,0.5463116,0.1957393,0.2197607,0.2506966,0.1461088,0.1841128,0.1638132
,51,0.1168973,0.361294,0.4936933,0.6005688,0.5669013,0.2189754,0.2373627,0.2605134,0.1704545,0.1950564,0.1851542
,54,0.1328944,0.3555234,0.4854642,0.5889423,0.5612161,0.2476235,0.2611963,0.2822641,0.1937589,0.225224,0.2007416
,57,0.1331335,0.3198925,0.4880764,0.5597649,0.5695305,0.280352,0.2957858,0.3116976,0.2192144,0.2452503,0.2446699
,60,0.1314433,0.3030246,0.4614258,0.5321241,0.5951226,0.3393896,0.3501455,0.364111,0.2526941,0.2811202,0.2910737
,63,0.1496087,0.2973394,0.4429872,0.5021614,0.6194513,0.3725961,0.3806033,0.4086538,0.2804715,0.318834,0.3465943
,66,0.2104219,0.5086149,0.6714379,0.7646211,0.8881938,0.6164978,0.5986055,0.6537335,0.5920325,0.5660818,0.6525725
,69,0.1945271,0.4072539,0.576667,0.6314194,0.829361,0.613271,0.6077394,0.6546042,0.5607722,0.5547796,0.6438654
,72,0.2071781,0.3147365,0.4863349,0.5321411,0.7311072,0.5870814,0.5880545,0.6281072,0.5042101,0.4845935,0.5950543
