Date,Elapsed,Control,Erlotinib 1.37 nM,Erlotinib 4.12 nM,Erlotinib 12.3 nM,Erlotinib 37.0 nM,Erlotinib 111 nM,Erlotinib 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,0,0.3037587,0.2538209,0.4852594,0.3914104,0.3991955,0.5482067,0.2900322,0.3597915,0.2814105,0.2030635,0.3395603
,3,0.5078637,0.6347144,0.9575093,0.7008543,0.7123784,0.7218879,0.6760646,0.8482094,0.6732135,0.7307487,0.8494216
,6,0.5474554,0.6033688,0.9854232,0.7173125,0.6521969,0.8322464,0.7225367,0.8837378,0.7702892,0.9764088,1.100938
,9,0.5662013,0.5761036,0.8028811,0.5714939,0.6475189,0.7566993,0.6021054,0.8164198,0.6260926,1.04079,1.319315
,12,0.5004883,0.4796936,0.7287171,0.4761937,0.4551942,0.7397631,0.5373996,0.7141882,0.5234853,0.9894183,1.415111
,15,0.4913543,0.4287655,0.6386753,0.3489845,0.3964639,0.7165613,0.4902617,0.73599,0.537724,0.9204613,1.70306
,18,0.482835,0.3498894,0.5162976,0.3519039,0.3318434,0.6878619,0.4844569,0.6042395,0.5105783,0.7120711,1.567161
,21,0.3960541,0.3207632,0.4603673,0.3216339,0.327985,0.660187,0.3944151,0.4954347,0.4000833,0.6241463,1.252544
,24,0.3782302,0.279652,0.3738424,0.2636036,0.338075,0.6636869,0.3622159,0.4308996,0.3750888,0.5284023,1.131634
,27,0.3635817,0.2380627,0.3463894,0.2877957,0.3133878,0.666999,0.3739449,0.4650964,0.3275923,0.4710377,0.9307392
,30,0.3277631,0.2669157,0.3437944,0.2702107,0.2819056,0.6252731,0.3848885,0.4377117,0.3050392,0.4346215,0.8546629
,33,0.3322361,0.2265386,0.362011,0.2474698,0.2835104,0.6522481,0.3719645,0.4184707,0.3195169,0.4205024,0.7765037
,36,0.2905957,0.1983514,0.3490186,0.2277678,0.2847738,0.7020494,0.3821398,0.3955932,0.256894,0.4054613,0.6703624
,39,0.2807446,0.1683375,0.3430944,0.1953125,0.2734375,0.6706184,0.3560185,0.3885592,0.2481356,0.3840349,0.6367972
,42,0.2943516,0.1783763,0.3589038,0.2091414,0.271679,0.6434727,0.3990077,0.3768302,0.2344091,0.3718279,0.6185806
,45,0.2755374,0.1586231,0.2937199,0.2079805,0.2824349,0.6905765,0.4559454,0.3607988,0.2376359,0.3738254,0.6011664
,48,0.3145658,0.1427625,0.341114,0.2115316,0.3208657,0.6892619,0.4641916,0.3512893,0.2352628,0.3702913,0.5924081
,51,0.313678,0.1850176,0.3330727,0.2359969,0.3382286,0.7451411,0.5291364,0.3839837,0.243526,0.3642988,0.5818571
,54,0.3290776,0.2066317,0.33338,0.2142291,0.4118123,0.8346365,0.5844863,0.386869,0.2195046,0.357094,0.6023615
,57,0.3305971,0.2085268,0.3250826,0.2275971,0.4404604,0.8591701,0.6055541,0.3529966,0.2351091,0.3703254,0.6142612
,60,0.3737229,0.2344091,0.3190559,0.2209729,0.4941714,0.8668358,0.6311632,0.3348653,0.2446016,0.3561038,0.5877301
,63,0.4126318,0.2434406,0.3627793,0.2470601,0.4883495,0.8552604,0.6728379,0.3630695,0.2565525,0.3384506,0.6008932
,66,0.4262047,0.2798569,0.3718279,0.2776374,0.4977054,0.8746722,0.7335486,0.3773594,0.2509527,0.3625062,0.6161904
,69,0.3863056,0.3169731,0.3935615,0.3048685,0.5260803,0.9240125,0.7817451,0.3549941,0.2907322,0.3608159,0.613749
,72,0.4255217,0.3982736,0.4050856,0.3175706,0.6108979,0.9307392,0.7946863,0.3805691,0.3035026,0.384991,0.6174197
,0,0.2854567,0.3992467,0.6606821,0.3681402,0.5617283,0.5119441,0.3506747,0.2964004,0.3352068,0.2887518,0.1847444
,3,0.3632232,0.752175,0.9830843,0.7309194,0.8626529,0.7694015,0.5803376,0.7066932,0.6989763,0.7661747,0.7341291
,6,0.5049613,0.8475948,1.109235,0.7161344,0.8916767,0.7327292,0.8061079,0.7729526,0.8512483,0.9560581,1.167624
,9,0.5702135,0.7220075,0.9163468,0.5618307,0.7512702,0.4895105,0.6657869,0.6906447,0.7712795,0.999918,1.561134
,12,0.4314289,0.6727525,0.7714502,0.4806839,0.6541432,0.4339727,0.5410019,0.6249658,0.7058908,0.8993082,1.668266
,15,0.4845935,0.5666453,0.7986642,0.4193243,0.6232244,0.3652719,0.4857545,0.618427,0.6397338,0.960497,1.585053
,18,0.4010906,0.4496797,0.662526,0.3834544,0.5491798,0.4044369,0.4601965,0.5169123,0.5516725,0.8249221,1.316396
,21,0.2889737,0.3771716,0.5036808,0.2844494,0.5084271,0.4090636,0.4088928,0.3860666,0.4289363,0.693513,1.186848
,24,0.2916371,0.3014539,0.4803253,0.2624938,0.5327216,0.3998272,0.3794935,0.3273192,0.37514,0.5564187,1.054329
,27,0.3102635,0.2615036,0.3547893,0.2737789,0.4617672,0.3952517,0.333158,0.2998832,0.3561209,0.5367508,0.9118567
,30,0.2917566,0.2515502,0.3415579,0.3061318,0.4515918,0.4141342,0.3241607,0.2852519,0.3224363,0.5244755,0.8053567
,33,0.2531209,0.2288093,0.3489845,0.2789178,0.4429701,0.3902835,0.3499576,0.263706,0.3222827,0.4946153,0.7242782
,36,0.24047,0.2534965,0.3674402,0.2503722,0.4438579,0.3589379,0.3461675,0.2629719,0.315317,0.4528382,0.6638064
,39,0.2298849,0.2488356,0.4145781,0.2314897,0.4826472,0.4175317,0.3908299,0.2518916,0.2866518,0.4327435,0.6150124
,42,0.2690839,0.2156291,0.3809789,0.2450625,0.4894593,0.4884178,0.39462,0.2418187,0.2698693,0.4139122,0.5916569
,45,0.2440894,0.2172169,0.449287,0.2535648,0.5357777,0.4801034,0.4298582,0.2366286,0.2828616,0.3969761,0.5641527
,48,0.2322238,0.2125219,0.3398677,0.2748545,0.5640332,0.4999078,0.4752718,0.262545,0.2562793,0.3940054,0.5634356
,51,0.2696986,0.2270508,0.3578624,0.2846031,0.5718866,0.5784255,0.5108002,0.2469576,0.2873176,0.3980516,0.5314071
,54,0.3061489,0.2550843,0.3883714,0.2750936,0.5951909,0.6790524,0.5474725,0.2409992,0.3103318,0.3993492,0.5311851
,57,0.2718838,0.2606671,0.4165073,0.3065928,0.6311462,0.7470703,0.5705037,0.2376018,0.3054831,0.4012272,0.5469945
,60,0.2478454,0.2998491,0.3731595,0.2997637,0.6999665,0.7199758,0.5817376,0.231097,0.2895371,0.4006638,0.5526797
,63,0.3083001,0.3232046,0.4210145,0.308744,0.8022495,0.7647406,0.6395972,0.232258,0.3468845,0.4069978,0.5502042
,66,0.3529966,0.3253046,0.3943298,0.325168,0.8557726,0.8204491,0.6556286,0.2462235,0.3264826,0.4327264,0.5608746
,69,0.3899762,0.3508283,0.499498,0.3504016,0.9117543,0.8238466,0.701503,0.2920127,0.3630866,0.435663,0.5642039
