Date,Elapsed,Control,LCL161 5 uM,LCL161 10 uM,LCL161 20 uM,LCL161 40 uM,Paclitaxel 2 nM,Paclitaxel 4 nM,Paclitaxel 8 nM,Paclitaxel 0.25 nM,Paclitaxel 0.5 nM,Paclitaxel 1 nM
,36,43.10843,41.26924,26.20757,36.52952,27.00258,21.45315,19.05769,11.81637,25.78212,34.59297,37.33108
,39,49.34459,46.30229,28.77012,39.89457,28.63587,22.98405,21.60539,11.86105,30.02081,40.48681,41.56662
,42,48.36406,47.92055,31.17087,42.66333,29.52493,24.29226,22.07693,11.58696,31.8254,41.16095,41.75706
,45,53.01521,52.85409,34.78815,45.49441,29.74396,26.13797,22.82377,11.99313,36.81318,45.08304,47.26212
,48,58.85322,59.81379,40.19334,50.6568,34.27249,29.4394,25.34321,14.68071,40.56509,51.88923,51.32008
,51,61.91407,62.1194,42.86456,52.60372,34.45943,31.23923,26.42398,14.89514,43.5719,53.15639,52.84584
,54,65.13105,65.10697,46.13759,55.27839,35.54803,34.48076,25.93805,14.89287,46.3352,55.34596,55.68393
,57,69.29597,68.57087,48.39751,57.80212,37.459,39.15867,26.70608,15.06981,49.65431,59.80544,57.68544
,60,73.79365,71.01431,51.67883,61.38832,38.69359,40.86069,28.3694,16.00243,53.27038,63.08556,62.6907
,63,77.56188,75.10287,56.0799,63.09523,38.62919,43.47722,29.7481,16.08699,58.51273,67.89935,65.72088
,66,81.17809,79.08191,61.23707,67.55145,43.60413,49.78936,33.6696,18.74152,62.96946,73.75145,72.03661
,69,84.07445,79.79473,63.07388,70.26694,43.37351,49.7892,35.07121,18.24852,66.3711,77.5595,76.52431
,72,85.80197,81.99268,65.67918,72.58691,42.66945,52.92712,35.66848,20.03549,68.83448,79.0622,76.21071
