Date,Elapsed,Control,LCL161 5 uM,LCL161 10 uM,LCL161 20 uM,LCL161 40 uM,Paclitaxel 2 nM,Paclitaxel 4 nM,Paclitaxel 8 nM,Paclitaxel 0.25 nM,Paclitaxel 0.5 nM,Paclitaxel 1 nM
,0,1.282268,1.670178,1.351959,1.779,1.740688,1.046458,1.244673,1.628981,1.320425,1.536174,1.196716
,3,1.257649,1.039663,0.9308416,1.385148,1.619882,0.9439364,1.148776,1.786682,1.107237,1.295687,1.07975
,6,1.172558,0.8018227,0.7662601,1.076831,1.455471,0.8161467,1.101296,1.580153,1.052605,1.217442,1.035054
,9,1.356893,0.9016984,0.8290367,1.223981,1.692031,0.8792136,1.31235,2.156854,1.078197,1.230981,1.066195
,12,1.211211,0.8293098,0.7992618,1.114715,1.77789,0.8403218,1.298487,2.108624,1.020918,1.160948,0.988411
,15,1.151558,0.8631992,0.7971106,1.098496,1.880514,0.8014812,1.347281,2.406697,1.02341,1.097421,0.9516703
,18,1.083028,0.9394804,0.8468948,1.225893,2.039479,0.8561141,1.473261,2.784057,1.030956,1.037785,0.9281441
,21,1.210596,1.099316,0.9720894,1.593282,2.703524,0.9392756,1.936479,4.052547,1.08687,1.108023,1.023991
,24,1.191987,1.169929,0.9833574,1.706116,2.978191,0.9465997,2.085234,4.473134,1.10483,1.131822,1.068738
,27,1.014174,1.203767,0.964031,1.759725,3.023605,0.8948693,2.116511,4.859474,0.9979376,1.019808,0.9602409
,30,0.8630285,1.189272,0.9247295,1.702155,3.149482,0.8531263,2.229072,5.240504,0.9341367,0.9547776,0.8994789
,33,1.044854,1.334357,1.12274,1.988056,3.959722,0.9095177,2.640099,6.107306,1.01933,0.9904597,0.8923767
,36,0.9787478,1.468941,1.199533,2.101982,4.337645,0.9549654,2.835531,6.305623,1.030581,0.9807111,0.8755429
,39,0.9313879,1.598045,1.230127,2.177325,4.749884,1.04569,3.171148,6.523864,1.135459,0.9865159,0.9153054
,42,0.9103031,1.671885,1.246893,2.183915,4.766666,1.062899,3.275923,6.51316,1.134588,1.015113,0.9014081
,45,0.9119079,1.730957,1.31655,2.273513,4.97719,1.141912,3.624583,6.627923,1.231391,1.081748,0.9917743
,48,1.192072,2.116136,1.616826,2.724097,5.966216,1.249983,4.372968,7.436541,1.426515,1.183092,1.2283
,51,1.287526,2.262022,1.641564,2.905632,6.032168,1.310147,4.543269,7.491668,1.545752,1.187821,1.298726
,54,1.382468,2.515639,1.703897,3.220915,6.312657,1.422196,4.851057,7.598834,1.730428,1.336713,1.370192
,57,1.586692,2.808181,1.74342,3.534132,6.59388,1.515908,5.10807,7.788922,2.016636,1.435086,1.467268
,60,1.774544,3.179803,1.785129,3.842483,6.911911,1.676358,5.483791,7.960281,2.424453,1.589731,1.495455
,63,2.065908,3.732398,1.930743,4.178663,7.300231,1.818506,5.750536,8.177004,2.884274,1.7734,1.635059
,66,2.855318,4.706758,2.219016,4.935943,8.091674,2.21888,6.630672,9.011025,4.142486,2.206109,2.095051
,69,3.495906,5.746404,2.620363,5.600637,8.80243,2.630385,7.117945,9.420567,5.016885,2.767052,2.591766
,72,4.426816,6.46766,2.838228,5.950612,8.933805,2.777552,7.364937,9.360607,5.545168,3.215998,2.913024
,0,1.41494,1.822194,1.301184,1.610577,1.618379,1.152412,1.225057,1.118454,1.339786,1.303455,1.522208
,3,1.386309,1.572692,0.8695333,1.176211,1.552734,0.9973229,1.142117,1.111164,1.170373,1.084377,1.301065
,6,1.224647,1.19214,0.6804353,0.8834646,1.444561,0.970109,1.170902,1.081987,1.139505,1.038417,1.213584
,9,1.348868,1.402648,0.7640918,0.9374658,1.60916,1.082772,1.405516,1.605267,1.193745,1.061346,1.307757
,12,1.21495,1.132437,0.7134199,0.888467,1.692731,1.029198,1.457058,1.764624,1.150773,1.030017,1.2451
,15,1.156356,1.070121,0.7822573,0.9151176,1.831447,1.003828,1.589014,2.219716,1.140171,1.000789,1.204262
,18,1.164329,1.067936,0.8152248,0.9762722,2.087334,1.020918,1.678117,2.807088,1.082772,0.9783551,1.178294
,21,1.437783,1.602962,0.9428779,1.22941,2.599927,1.212645,2.059335,3.961446,1.088133,0.9856793,1.214011
,24,1.361912,1.384516,1.02061,1.264529,2.908483,1.238766,2.320855,4.421113,1.103635,1.012979,1.303404
,27,1.285597,1.339478,0.9781331,1.334647,3.036836,1.203903,2.396095,4.75335,0.9750088,0.9227492,1.179831
,30,1.179114,1.356722,1.065238,1.354707,3.188852,1.143671,2.505497,5.165059,0.9651066,0.8835842,1.130491
,33,1.294987,1.567963,1.167726,1.646993,3.704433,1.236803,2.910566,5.941307,0.9592677,0.9265734,1.146846
,36,1.275507,1.578241,1.201599,1.722455,3.964895,1.246005,3.241249,6.391875,0.9503729,0.8864524,1.221591
,39,1.228608,1.660549,1.274568,1.812087,4.167241,1.291094,3.478184,6.547766,0.9845867,0.9513972,1.226696
,42,1.192584,1.660344,1.272792,1.839676,4.160002,1.312094,3.495581,6.646771,0.9601726,0.9513801,1.190638
,45,1.192499,1.729881,1.297787,1.961286,4.350364,1.388648,3.716298,6.748542,1.019398,1.043061,1.277948
,48,1.474746,2.235218,1.490453,2.322836,5.392588,1.570951,4.622999,7.63117,1.12081,1.164517,1.342739
,51,1.486799,2.233033,1.559341,2.478864,5.316034,1.594221,4.828555,7.625212,1.148195,1.167504,1.372685
,54,1.61983,2.523782,1.634257,2.666664,5.573781,1.683324,5.040223,7.82935,1.199072,1.250922,1.541159
,57,1.825216,2.716278,1.696675,2.880723,5.756119,1.72435,5.342411,7.981571,1.249573,1.389758,1.708728
,60,1.961986,3.060499,1.769456,3.257638,5.998996,1.873549,5.739268,8.150677,1.369134,1.582065,1.849988
,63,2.254254,3.502018,1.95041,3.570872,6.282985,1.989951,6.010332,8.357121,1.594187,1.876161,2.070722
,66,3.154741,4.329723,2.348172,4.332284,7.378783,2.35775,6.851457,9.052444,2.093071,2.574642,2.615941
,69,3.658883,5.00128,2.802154,5.053233,7.876318,2.669771,7.364066,9.485767,2.671564,3.128039,3.098776
,72,4.436257,5.870182,2.935731,5.350128,8.080201,3.014488,7.512138,9.392653,3.159931,3.375816,3.350514
,0,1.238903,1.486099,1.378336,1.697051,1.86141,1.177219,1.311103,1.144968,1.337976,1.472031,1.589065
,3,1.13819,0.8830549,1.056105,1.441266,1.828818,1.056002,1.185482,1.018203,1.259578,1.258502,1.363414
,6,1.00393,0.640963,0.8622944,1.058136,1.615511,0.9972205,1.200523,1.063873,1.13143,1.231288,1.297445
,9,1.139129,0.6604943,0.9013911,1.253688,1.943718,1.097352,1.49496,1.510309,1.230298,1.251878,1.397423
,12,1.061346,0.61211,0.8781209,1.11912,1.92673,1.06068,1.435205,1.62992,1.164175,1.210016,1.355356
,15,1.012723,0.5941666,1.005979,1.135971,2.085046,1.069882,1.579095,2.013648,1.15021,1.180189,1.321023
,18,0.9867378,0.666777,0.9896744,1.258502,2.398349,1.074953,1.70726,2.561974,1.116935,1.225398,1.329064
,21,1.144132,0.7619236,1.212047,1.603304,3.115422,1.252356,2.121241,3.771512,1.255702,1.243325,1.429691
,24,1.130388,0.7812158,1.26178,1.641598,3.403406,1.278068,2.288246,4.201404,1.210972,1.250819,1.452278
,27,0.9963669,0.7764525,1.252185,1.468788,3.445456,1.238442,2.375556,4.490617,1.094877,1.193318,1.329047
,30,0.8924961,0.8038714,1.230332,1.538888,3.621322,1.215974,2.54555,4.728236,0.9997814,1.154734,1.280594
,33,0.888706,1.07118,1.339495,1.787621,4.242515,1.288123,2.9071,5.44997,1.003145,1.213908,1.328176
,36,0.8856841,1.131498,1.453337,1.825711,4.633584,1.301782,3.100569,5.712379,0.9338806,1.227874,1.361041
,39,0.9180712,1.216247,1.517291,1.937879,4.900739,1.401999,3.308156,5.951943,0.9434072,1.261763,1.374238
,42,0.902552,1.218535,1.488148,1.882171,4.787068,1.414513,3.437312,5.924747,0.9107981,1.258912,1.274312
,45,0.9892305,1.366897,1.576005,1.94312,4.973025,1.43483,3.681658,6.230093,0.9762723,1.312708,1.353615
,48,1.269122,1.660788,1.849971,2.654833,5.962375,1.611516,4.436957,7.113199,1.020935,1.352898,1.392558
,51,1.35621,1.763156,1.876468,2.710336,5.998347,1.695224,4.729533,7.196053,0.9899646,1.344276,1.508362
,54,1.504931,1.889307,1.989353,2.948997,6.075174,1.803226,5.049135,7.346669,1.008386,1.407343,1.52342
,57,1.655205,2.139406,2.205017,3.219002,6.448386,1.946911,5.282008,7.490217,1.010708,1.468787,1.66451
,60,1.932313,2.445965,2.298012,3.647512,6.764163,2.104526,5.5346,7.699769,1.042498,1.541415,1.761261
,63,2.28659,2.840789,2.418938,4.139413,7.164264,2.256901,5.794635,7.935816,1.123969,1.670007,2.015321
,66,3.042112,3.850149,2.821566,4.95042,8.458909,2.654355,6.731998,8.628151,1.426498,2.093702,2.830273
,69,3.490186,4.539752,3.073884,5.589693,9.291018,2.926563,7.252445,8.928683,1.748627,2.473383,3.444039
,72,4.278078,5.343026,3.448461,5.882969,9.430913,3.336122,7.400175,8.919669,1.981158,2.702124,3.881289
