Date Time,Elapsed,Control,Blank,DOX 6.25,NVB 2.5,DOX 12.5,NVB 5,DOX 25,NVB 10,DOX 50,NVB 20,DOX 100,NVB 40,DOX 200,NVB 80,DOX 400,NVB 160
10/11/2017 12:30,0,0.1611,0.0207,0.2562,0.173,0.0872,0.1107,0.0806,0.1384,0.1587,0.2312,0.2243,0.2,0.158,0.2248,0.1658,0.174
10/11/2017 15:30,3,0.1536,0.0189,0.2572,0.1825,0.0881,0.1244,0.0911,0.1555,0.1452,0.2455,0.2356,0.2152,0.1647,0.1876,0.1749,0.1561
10/11/2017 18:30,6,0.1165,0.0169,0.1711,0.1185,0.0583,0.0959,0.0674,0.0927,0.0776,0.1504,0.1425,0.1512,0.1013,0.1355,0.109,0.1125
10/11/2017 21:28,8.9667,0.0971,0.0179,0.1405,0.0944,0.0432,0.0642,0.0629,0.0607,0.0643,0.1204,0.1237,0.1411,0.0864,0.1457,0.1037,0.1795
10/12/2017 0:30,12,0.095,0.011,0.1178,0.089,0.0481,0.0521,0.0615,0.0623,0.0594,0.1095,0.1048,0.1639,0.0858,0.1731,0.1067,0.2845
10/12/2017 3:30,15,0.0829,0.0059,0.1074,0.0884,0.0365,0.0471,0.0531,0.0547,0.0577,0.1112,0.094,0.1939,0.074,0.2424,0.1187,0.3807
10/12/2017 6:30,18,0.0964,0.0084,0.1175,0.0815,0.0286,0.0636,0.0547,0.0482,0.0711,0.1201,0.1002,0.2367,0.0691,0.309,0.1131,0.4227
10/12/2017 9:30,21,0.0785,0.0058,0.1071,0.0689,0.0354,0.0471,0.0511,0.0433,0.0566,0.11,0.1097,0.2583,0.0771,0.3283,0.1155,0.4557
10/12/2017 12:30,24,0.0682,0.0038,0.1043,0.065,0.0317,0.0456,0.0536,0.0441,0.057,0.1192,0.1085,0.2818,0.072,0.391,0.1068,0.5051
10/12/2017 15:30,27,0.0717,0.0051,0.1028,0.0686,0.0418,0.0505,0.0411,0.0507,0.0736,0.117,0.1376,0.2855,0.077,0.3678,0.1177,0.5269
10/12/2017 18:30,30,0.0682,0.0041,0.1054,0.0649,0.034,0.044,0.0437,0.0472,0.0852,0.1211,0.1402,0.2649,0.0777,0.3528,0.1218,0.5458
10/12/2017 21:28,32.9667,0.0794,0.0043,0.1111,0.0673,0.0268,0.0365,0.0428,0.0471,0.0753,0.1119,0.1485,0.2632,0.0858,0.3581,0.1152,0.5104
10/13/2017 0:30,36,0.0797,0.003,0.0974,0.0652,0.0346,0.0352,0.0416,0.0484,0.0928,0.1279,0.1518,0.278,0.0825,0.4069,0.1331,0.506
10/13/2017 3:30,39,0.074,0.0041,0.1045,0.0617,0.0247,0.0363,0.0364,0.0504,0.0927,0.1172,0.1719,0.2958,0.0851,0.376,0.1169,0.5403
10/13/2017 6:30,42,0.0808,0.0052,0.1117,0.06,0.039,0.0427,0.043,0.0607,0.0969,0.1238,0.1913,0.3134,0.0854,0.4009,0.1341,0.5327
10/13/2017 9:30,45,0.0797,0.0045,0.1145,0.063,0.0359,0.0514,0.0391,0.0729,0.1127,0.122,0.2024,0.3259,0.0994,0.4245,0.1169,0.5209
10/13/2017 12:30,48,0.0739,0.0066,0.1139,0.0606,0.0348,0.0652,0.0467,0.0796,0.1277,0.1277,0.2085,0.3353,0.1086,0.4179,0.1224,0.4954
10/13/2017 15:30,51,0.0857,0.0026,0.104,0.0627,0.0384,0.0597,0.0593,0.0732,0.107,0.1198,0.2059,0.3483,0.1083,0.3991,0.1329,0.4811
10/13/2017 18:30,54,0.1065,0.0054,0.113,0.0725,0.0391,0.059,0.0627,0.0746,0.1168,0.1233,0.2142,0.3582,0.099,0.4189,0.1387,0.5152
10/13/2017 21:28,56.9667,0.0982,0.0039,0.1189,0.0716,0.0436,0.0589,0.0563,0.0699,0.135,0.1155,0.2232,0.3714,0.1105,0.4349,0.1307,0.5182
10/14/2017 0:30,60,0.0998,0.0056,0.1253,0.0642,0.0475,0.073,0.0637,0.0707,0.1615,0.1329,0.2406,0.3857,0.1213,0.4304,0.1327,0.5218
10/14/2017 3:30,63,0.0969,0.0089,0.1209,0.0602,0.0428,0.0723,0.0604,0.0805,0.1887,0.1405,0.2585,0.4132,0.1443,0.4528,0.1695,0.5499
10/14/2017 6:30,66,0.1079,0.0042,0.1281,0.0788,0.0472,0.0775,0.0727,0.0861,0.2173,0.1471,0.2881,0.4607,0.1557,0.4677,0.1775,0.5655
10/14/2017 9:30,69,0.1163,0.0048,0.1258,0.0743,0.0709,0.1057,0.0908,0.1042,0.2369,0.143,0.3277,0.4607,0.1455,0.4911,0.1848,0.593
10/14/2017 12:30,72,0.1437,0.0049,0.1402,0.0673,0.0789,0.1087,0.1104,0.1191,0.2483,0.1474,0.3717,0.4743,0.1924,0.5249,0.2016,0.6122
10/11/2017 12:30,0,0.194,0.033,0.1951,0.2622,0.138,0.1627,0.1323,0.1493,0.1528,0.1209,0.1415,0.1329,0.1515,0.1981,0.196,0.1209
10/11/2017 15:30,3,0.1932,0.0332,0.2139,0.2466,0.1599,0.1654,0.1152,0.1734,0.1536,0.1603,0.1509,0.1458,0.1422,0.1964,0.1855,0.1214
10/11/2017 18:30,6,0.1001,0.0411,0.1446,0.1615,0.0957,0.1027,0.0684,0.1207,0.1135,0.1058,0.1016,0.1279,0.1106,0.1438,0.1369,0.11
10/11/2017 21:28,8.9667,0.0835,0.0331,0.095,0.1338,0.0928,0.0855,0.0582,0.0911,0.0807,0.0933,0.0803,0.1442,0.0829,0.1455,0.1201,0.2012
10/12/2017 0:30,12,0.0671,0.0325,0.0966,0.1104,0.0703,0.0699,0.0559,0.0773,0.0914,0.1053,0.0703,0.1636,0.0842,0.1781,0.1148,0.2809
10/12/2017 3:30,15,0.0635,0.03,0.0964,0.1042,0.06,0.0707,0.0537,0.0699,0.0723,0.1195,0.0639,0.1945,0.0778,0.2308,0.1131,0.3401
10/12/2017 6:30,18,0.0595,0.0317,0.1051,0.0985,0.0572,0.0814,0.0481,0.0723,0.0838,0.1264,0.0642,0.2492,0.0791,0.2873,0.1089,0.4077
10/12/2017 9:30,21,0.0505,0.0262,0.0955,0.0898,0.057,0.0797,0.0471,0.0748,0.0788,0.1285,0.0564,0.2376,0.0736,0.3152,0.101,0.459
10/12/2017 12:30,24,0.0446,0.028,0.0978,0.0838,0.0555,0.0687,0.0506,0.0789,0.0749,0.1209,0.0585,0.2682,0.0746,0.3433,0.0959,0.4602
10/12/2017 15:30,27,0.055,0.0272,0.0954,0.0978,0.0583,0.0606,0.0617,0.0896,0.072,0.1305,0.0712,0.2931,0.07,0.3455,0.102,0.4964
10/12/2017 18:30,30,0.0412,0.0273,0.0918,0.1019,0.0565,0.0548,0.0651,0.0808,0.1,0.1139,0.0787,0.2749,0.0708,0.3578,0.0947,0.5074
10/12/2017 21:28,32.9667,0.047,0.0272,0.0872,0.0931,0.0618,0.0583,0.0694,0.073,0.1049,0.1093,0.0777,0.2747,0.0709,0.3274,0.095,0.5137
10/13/2017 0:30,36,0.0453,0.0243,0.0843,0.0858,0.0617,0.056,0.0772,0.0722,0.1059,0.1191,0.0876,0.2796,0.0736,0.3094,0.0966,0.5205
10/13/2017 3:30,39,0.0444,0.0245,0.0928,0.0952,0.0578,0.057,0.0689,0.0733,0.1089,0.1313,0.0982,0.2802,0.0748,0.3234,0.0987,0.5435
10/13/2017 6:30,42,0.0433,0.0252,0.0898,0.0908,0.0649,0.0544,0.0724,0.0779,0.1118,0.1353,0.0971,0.3204,0.0778,0.3407,0.0978,0.5403
10/13/2017 9:30,45,0.0428,0.0261,0.0762,0.0998,0.0711,0.0649,0.0748,0.0846,0.1145,0.1365,0.1272,0.3211,0.0879,0.3377,0.1069,0.5395
10/13/2017 12:30,48,0.0522,0.0224,0.0829,0.11,0.0678,0.0611,0.0719,0.0892,0.1154,0.1291,0.1211,0.3254,0.0867,0.342,0.1082,0.5444
10/13/2017 15:30,51,0.0431,0.0264,0.0837,0.1084,0.0734,0.0684,0.0724,0.093,0.1291,0.1197,0.1314,0.3224,0.0881,0.3544,0.1153,0.5384
10/13/2017 18:30,54,0.0452,0.0243,0.089,0.111,0.0775,0.0755,0.0804,0.0875,0.1541,0.1295,0.1838,0.3495,0.1203,0.3646,0.1149,0.5384
10/13/2017 21:28,56.9667,0.0505,0.023,0.0844,0.1239,0.0757,0.0775,0.0844,0.0819,0.1591,0.1411,0.2495,0.3461,0.122,0.3725,0.1217,0.5287
10/14/2017 0:30,60,0.0534,0.0232,0.0832,0.1215,0.0779,0.0794,0.0925,0.0916,0.1743,0.1427,0.2691,0.3604,0.1281,0.403,0.1337,0.5305
10/14/2017 3:30,63,0.0723,0.0285,0.1022,0.1289,0.1019,0.0896,0.0836,0.1019,0.2037,0.1293,0.2784,0.3742,0.1402,0.4177,0.1323,0.5356
10/14/2017 6:30,66,0.0657,0.0248,0.1053,0.1296,0.0952,0.095,0.0872,0.094,0.2349,0.1498,0.286,0.3708,0.1506,0.4287,0.1426,0.5484
10/14/2017 9:30,69,0.0698,0.0252,0.0936,0.1224,0.0988,0.1061,0.0838,0.0953,0.2516,0.1577,0.3,0.3837,0.1571,0.4401,0.1572,0.559
10/14/2017 12:30,72,0.0771,0.0255,0.1076,0.1273,0.0996,0.1273,0.0919,0.1055,0.2706,0.1719,0.3151,0.4051,0.1729,0.4715,0.176,0.5842
10/11/2017 12:30,0,0.2313,0.0137,0.2444,0.2298,0.1192,0.2253,0.1407,0.235,0.1869,0.218,0.2117,0.3117,0.2386,0.2842,0.1366,0.1449
10/11/2017 15:30,3,0.2417,0.0173,0.261,0.2353,0.1327,0.2089,0.1541,0.2143,0.1509,0.1972,0.2061,0.2796,0.265,0.2648,0.1737,0.1734
10/11/2017 18:30,6,0.1444,0.0209,0.1578,0.1547,0.0924,0.1193,0.08,0.1097,0.0861,0.1499,0.1358,0.1802,0.1667,0.1642,0.1171,0.1529
10/11/2017 21:28,8.9667,0.1101,0.0176,0.1091,0.1087,0.0609,0.0862,0.0543,0.0793,0.0697,0.1235,0.1135,0.147,0.1085,0.1552,0.1201,0.2064
10/12/2017 0:30,12,0.093,0.0148,0.0946,0.0855,0.0637,0.0799,0.0529,0.0748,0.0662,0.1227,0.1136,0.1573,0.1101,0.1683,0.1208,0.291
10/12/2017 3:30,15,0.0719,0.0091,0.0853,0.0855,0.0636,0.0757,0.0496,0.0718,0.0605,0.1304,0.1005,0.1946,0.1032,0.2153,0.1073,0.3625
10/12/2017 6:30,18,0.0743,0.012,0.0864,0.081,0.0659,0.0719,0.0462,0.0655,0.0614,0.12,0.1079,0.2369,0.1088,0.3377,0.0993,0.4106
10/12/2017 9:30,21,0.0729,0.0114,0.0726,0.0819,0.0647,0.0646,0.0502,0.0759,0.0674,0.1275,0.1088,0.2551,0.0972,0.3638,0.0868,0.4177
10/12/2017 12:30,24,0.0684,0.0095,0.0685,0.073,0.044,0.0591,0.0393,0.066,0.0931,0.1332,0.101,0.2598,0.0926,0.3569,0.0863,0.4263
10/12/2017 15:30,27,0.0673,0.0091,0.074,0.0728,0.0422,0.0681,0.0457,0.0806,0.0895,0.1383,0.1305,0.2688,0.0972,0.3893,0.0933,0.444
10/12/2017 18:30,30,0.0754,0.0089,0.0644,0.0844,0.0484,0.0637,0.0521,0.0863,0.0913,0.1275,0.1275,0.2726,0.1069,0.3967,0.0929,0.4337
10/12/2017 21:28,32.9667,0.0796,0.0059,0.0738,0.0792,0.0465,0.0539,0.05,0.0768,0.1026,0.1165,0.1442,0.2535,0.0941,0.3668,0.0897,0.447
10/13/2017 0:30,36,0.0745,0.0084,0.0772,0.0789,0.0438,0.0568,0.0476,0.0956,0.1112,0.1266,0.1485,0.2726,0.0949,0.3637,0.088,0.4125
10/13/2017 3:30,39,0.0765,0.0077,0.0782,0.0783,0.042,0.0606,0.0577,0.0993,0.1123,0.1168,0.194,0.2934,0.0887,0.3626,0.0894,0.4112
10/13/2017 6:30,42,0.081,0.0084,0.077,0.0739,0.0503,0.0602,0.0589,0.1097,0.1129,0.1229,0.169,0.2839,0.0935,0.3728,0.0893,0.3942
10/13/2017 9:30,45,0.0729,0.0075,0.082,0.085,0.0509,0.0675,0.0738,0.0998,0.1358,0.1234,0.1728,0.299,0.1072,0.3677,0.0968,0.4017
10/13/2017 12:30,48,0.0787,0.0117,0.0783,0.0872,0.0452,0.0723,0.0716,0.0936,0.1493,0.1198,0.172,0.2817,0.1081,0.3777,0.101,0.4042
10/13/2017 15:30,51,0.0755,0.0064,0.0655,0.0847,0.0469,0.0778,0.072,0.0976,0.1584,0.1263,0.2076,0.3011,0.1148,0.3854,0.1025,0.407
10/13/2017 18:30,54,0.0744,0.0102,0.0751,0.0884,0.0581,0.0782,0.0668,0.1126,0.1819,0.1362,0.2315,0.3232,0.1133,0.4371,0.1116,0.4128
10/13/2017 21:28,56.9667,0.0749,0.0133,0.0653,0.0821,0.0601,0.0832,0.0677,0.1084,0.1754,0.1349,0.2299,0.3358,0.1136,0.4515,0.1116,0.4178
10/14/2017 0:30,60,0.0778,0.0103,0.0879,0.0822,0.0465,0.0889,0.0903,0.1042,0.1862,0.1338,0.2622,0.3278,0.1471,0.4648,0.1187,0.4247
10/14/2017 3:30,63,0.0852,0.0074,0.0958,0.0932,0.0554,0.0912,0.0976,0.1001,0.2437,0.1426,0.3082,0.338,0.1459,0.4678,0.136,0.4382
10/14/2017 6:30,66,0.073,0.0088,0.1123,0.0944,0.0625,0.104,0.1029,0.1042,0.2638,0.1472,0.3203,0.3444,0.1559,0.4926,0.1466,0.442
10/14/2017 9:30,69,0.0785,0.0078,0.1224,0.1014,0.0798,0.0971,0.1212,0.1098,0.3169,0.1487,0.3536,0.3691,0.1769,0.5263,0.1692,0.4663
10/14/2017 12:30,72,0.0851,0.0083,0.12,0.1009,0.0818,0.0904,0.1351,0.1226,0.3687,0.1692,0.3599,0.3773,0.2376,0.5475,0.1823,0.5099
