Date Time,Elapsed,Blank,Control,JNK-IN-7 0.125,U0126 3.13,JNK-IN-7 0.25,U0126 6.25,JNK-IN-7 0.5,U0126 13,JNK-IN-7 1,U0126 25,JNK-IN-7 2,U0126 50,JNK-IN-7 4,U0126 100,JNK-IN-7 8,U0126 200,JNK-IN-7 10,Blank,Control,R428 0.13,Erlotinib 0.0005,R428 0.25,Erlotinib 0.001,R428 0.5,Erlotinib 0.004,R428 1,Erlotinib 0.012,R428 2,Erlotinib 0.037,R428 3,Erlotinib 0.111,R428 6,Erlotinib 0.333
11/17/2017 13:10,0,0.0258,0.0344,0.0577,0.0345,0.0674,0.0353,0.0921,0.0472,0.0508,0.0582,0.0444,0.038,0.0549,0.0441,0.0526,0.0562,0.0766,0.0219,0.0422,0.0436,0.0334,0.0197,0.0565,0.0332,0.0261,0.0187,0.0317,0.0477,0.0567,0.0333,0.0418,0.0321,0.0495
11/17/2017 16:10,3,0.0226,0.0316,0.084,0.0379,0.0817,0.0388,0.0947,0.05,0.0694,0.0531,0.0862,0.0425,0.0636,0.0479,0.0926,0.0801,0.1521,0.0221,0.0668,0.0518,0.0671,0.0401,0.093,0.0461,0.0671,0.0359,0.0778,0.121,0.0661,0.0656,0.098,0.0799,0.0646
11/17/2017 19:10,6,0.0192,0.0319,0.0842,0.0448,0.0895,0.0624,0.0971,0.0814,0.0565,0.0647,0.1045,0.0394,0.1371,0.0574,0.1167,0.0914,0.2839,0.0178,0.0688,0.0462,0.0901,0.0506,0.1069,0.0553,0.0937,0.0857,0.146,0.1615,0.1358,0.0794,0.172,0.1238,0.0644
11/17/2017 22:10,9,0.0252,0.0324,0.0867,0.0565,0.0763,0.0951,0.0911,0.0663,0.0351,0.0644,0.1301,0.0375,0.2111,0.0549,0.1784,0.0639,0.34,0.016,0.0492,0.0434,0.0889,0.0407,0.1003,0.0709,0.1,0.0825,0.1683,0.1806,0.1476,0.1201,0.1303,0.1267,0.0599
11/18/2017 1:10,12,0.0216,0.0301,0.0643,0.0505,0.0668,0.0717,0.098,0.0536,0.0377,0.0592,0.0934,0.0565,0.2362,0.0502,0.1699,0.0658,0.3343,0.0114,0.0373,0.077,0.0939,0.0378,0.1215,0.0614,0.1055,0.0886,0.1439,0.1749,0.1613,0.217,0.1459,0.1587,0.0999
11/18/2017 4:10,15,0.0191,0.0278,0.0585,0.0434,0.0661,0.0716,0.0971,0.0505,0.0339,0.0509,0.1088,0.0403,0.2557,0.0452,0.1822,0.07,0.3347,0.0107,0.0552,0.0591,0.0741,0.0526,0.1038,0.0554,0.0886,0.066,0.1086,0.1438,0.1517,0.2519,0.1331,0.1606,0.1489
11/18/2017 7:10,18,0.0193,0.0327,0.0534,0.0413,0.0866,0.0622,0.1139,0.0507,0.034,0.0506,0.1211,0.0396,0.2622,0.0433,0.1699,0.0908,0.3084,0.0108,0.0419,0.0464,0.0631,0.0489,0.0902,0.0466,0.0687,0.0615,0.1239,0.1557,0.1264,0.2362,0.1159,0.1169,0.1332
11/18/2017 10:10,21,0.0217,0.04,0.0504,0.0427,0.0958,0.0466,0.0996,0.046,0.0457,0.0587,0.1454,0.0441,0.2325,0.0472,0.1642,0.1074,0.2826,0.008,0.0389,0.0388,0.0509,0.0421,0.0854,0.0397,0.0542,0.0548,0.1138,0.1335,0.1004,0.2119,0.1231,0.1243,0.1079
11/18/2017 13:10,24,0.0283,0.0324,0.0477,0.0395,0.0907,0.0469,0.0924,0.052,0.0364,0.0587,0.1457,0.0453,0.2051,0.0553,0.1532,0.1438,0.268,0.0077,0.0383,0.0522,0.0553,0.0515,0.0763,0.0491,0.0926,0.0508,0.1291,0.1415,0.1222,0.164,0.1167,0.1302,0.0959
11/18/2017 16:10,27,0.0215,0.0393,0.0462,0.0433,0.0879,0.0507,0.0775,0.0609,0.0589,0.067,0.1358,0.0568,0.1904,0.0655,0.1559,0.1882,0.2743,0.0111,0.037,0.0543,0.0539,0.0519,0.0856,0.049,0.0843,0.0495,0.1122,0.134,0.1259,0.1295,0.1159,0.1187,0.0965
