Date,Elapsed,Control,Erl 1.37 nM,Erl 4.12 nM,Erl 12.3 nM,Erl 37.0 nM,Erl 111 nM,Erl 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,0,1.211535,1.208855,0.3545673,0.2480503,0.3759083,0.4577551,0.3143438,0.5200878,0.1686107,0.327985,0.2806763
,3,0.1504453,0.3868178,0.4791644,0.04735987,0.9114127,0.9653115,0.7566311,0.8368731,0.5942519,0.6755012,0.6316754
,6,3.680445,2.153201,0.888706,0.8586579,0.8878353,0.9863622,0.7544116,0.8580604,0.6514116,0.7719112,0.8575653
,9,3.108371,1.618635,0.703125,0.6288413,0.663021,0.7151101,0.5236902,0.7507238,0.5568626,0.7444752,1.100784
,12,2.245684,1.283787,0.6431313,0.5190805,0.6335876,0.5343606,0.4612892,0.6234976,0.496203,0.6293877,1.063429
,15,1.847547,1.231817,0.5533968,0.4527186,0.5426239,0.4988663,0.3909323,0.6054004,0.4116074,0.5645453,1.141844
,18,1.534227,1.055661,0.5109197,0.402115,0.568472,0.4993103,0.3911372,0.5748914,0.3991955,0.5374849,1.068585
,21,1.540561,1.025852,0.4627916,0.4313265,0.4986444,0.5350265,0.4015857,0.5778279,0.3892762,0.5433751,1.069473
,24,1.265383,0.8935035,0.3956444,0.3686694,0.4593087,0.4543747,0.4466408,0.4758011,0.3069172,0.4321289,0.8669041
,27,1.214489,0.852102,0.3433505,0.3564795,0.4267851,0.4249583,0.3672865,0.4193926,0.2719522,0.3771887,0.7883864
,30,1.129483,0.7868157,0.3244851,0.3207803,0.4108562,0.4260168,0.3296923,0.3710084,0.2266752,0.3489333,0.6969105
,33,1.093016,0.7898546,0.3170413,0.3100074,0.4569698,0.4059393,0.2805398,0.3478748,0.2006733,0.2945736,0.6261097
,36,1.03898,0.7897351,0.2903737,0.296776,0.461494,0.3955761,0.289281,0.3309044,0.2000929,0.3138658,0.5893862
,39,0.9807282,0.7818133,0.2902883,0.2833568,0.4868813,0.4118123,0.2995759,0.3028368,0.1983514,0.3077196,0.5527992
,42,0.991228,0.7501093,0.2885298,0.2664547,0.4899032,0.4149366,0.3306996,0.3139853,0.1809372,0.3246046,0.5157514
,45,0.9382853,0.7100394,0.2715424,0.2693912,0.4771839,0.4324704,0.3325264,0.3282923,0.1809201,0.3221632,0.5035784
,48,0.9279563,0.2169949,0.2849445,0.271918,0.5027931,0.4477334,0.3388433,0.3277631,0.1663571,0.3071392,0.4721304
,51,0.8840622,0.6362851,0.2869079,0.2784398,0.4814351,0.4562186,0.3572307,0.2682132,0.1497794,0.308522,0.4590697
,54,0.8846939,0.6831157,0.3133195,0.2695791,0.4544089,0.4612038,0.3625403,0.2769374,0.1463307,0.2790886,0.4669232
,57,0.9125225,0.6819718,0.2927809,0.3058075,0.4756645,0.4733084,0.3978126,0.2763399,0.1777105,0.2670693,0.441058
,60,0.895757,0.6557993,0.2751448,0.3368287,0.5030662,0.4716524,0.3891226,0.3112707,0.1496599,0.281291,0.4472724
,63,0.9288441,0.6690477,0.2871982,0.3165633,0.5347363,0.4747084,0.4416043,0.2896225,0.165401,0.2811714,0.464294
,66,0.9060007,0.6778914,0.3114415,0.3220095,0.5789889,0.497381,0.441075,0.3122268,0.1866737,0.2869591,0.440836
,69,0.9499972,0.6828425,0.3544478,0.3370848,0.6218756,0.5055248,0.467589,0.3576916,0.2298849,0.2682986,0.4427652
,72,0.960258,0.7122589,0.295376,0.3423261,0.622422,0.5252267,0.4754254,0.3300849,0.2305848,0.2857128,0.4511821
