Date,Elapsed,Control,Erl 1.37 nM,Erl 4.12 nM,Erl 12.3 nM,Erl 37.0 nM,Erl 111 nM,Erl 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,0,1.670127,0.557665,0.4742815,0.6849937,1.287304,1.046919,0.3876202,0.2573379,0.1900882,0.3146512,0.3455017
,3,2.424726,1.143022,1.139351,1.058443,2.954631,2.291524,0.9713553,0.6777549,0.522017,0.6654454,0.8437192
,6,2.5834,1.151797,1.162963,0.9736431,3.058075,2.411631,0.9652091,0.7811817,0.5963007,0.7870889,1.139095
,9,1.92306,0.7486239,0.9368854,0.7071713,2.097117,1.596133,0.7356827,0.6342876,0.5304509,0.7797135,1.244383
,12,1.422606,0.6781988,0.8469801,0.6594528,1.695155,1.350388,0.6318462,0.5361704,0.5084612,0.6163782,1.287236
,15,1.260824,0.6359607,0.744646,0.5827278,1.454378,1.156424,0.5141124,0.4861301,0.4675208,0.5789718,1.25741
,18,1.107015,0.5565382,0.6531188,0.5669355,1.405994,0.985372,0.5622917,0.3928274,0.4547674,0.5839058,1.245322
,21,1.087433,0.5196781,0.6519237,0.5651941,1.216042,0.9199663,0.5206171,0.4550747,0.4644306,0.5899667,1.230315
,24,0.9465315,0.4595819,0.6064931,0.4465383,1.070292,0.8297879,0.4733938,0.3839837,0.3991272,0.5219829,1.12361
,27,0.8784111,0.4361069,0.5975299,0.4053929,0.9718162,0.7614797,0.4631842,0.339492,0.3747132,0.4712597,0.9484607
,30,0.8216953,0.4046417,0.543119,0.3823788,0.911703,0.7099882,0.4583185,0.3230168,0.3502991,0.4207926,0.8262709
,33,0.7778867,0.3942444,0.5229219,0.3498723,0.8787013,0.6748183,0.5290852,0.2983296,0.3532356,0.3599794,0.7665504
,36,0.7620261,0.3843763,0.4679988,0.3643329,0.8405266,0.6462897,0.4817424,0.2960589,0.3131487,0.3541576,0.7051567
,39,0.7184051,0.3784521,0.4673671,0.3631037,0.763204,0.645402,0.4539991,0.2750765,0.2940614,0.3295728,0.6753817
,42,0.7073932,0.3591769,0.4559624,0.3582209,0.7477532,0.6150295,0.4689549,0.2506283,0.2788154,0.3266875,0.6484409
,45,0.6849083,0.3336361,0.4663086,0.3623525,0.7308512,0.6179148,0.49692,0.2442772,0.2610939,0.3169389,0.6019517
,48,0.6596236,0.3107586,0.4475797,0.3980175,0.6728038,0.6169245,0.5353338,0.2471796,0.2707912,0.3048855,0.5887033
,51,0.6478604,0.3036734,0.4943762,0.3656646,0.7429729,0.6104369,0.5028614,0.2454723,0.2534453,0.3052782,0.5911447
,54,0.6360461,0.319295,0.4780376,0.3403798,0.7203856,0.6234293,0.5402508,0.2388993,0.2423309,0.3148048,0.5810888
,57,0.6328193,0.3590574,0.4558088,0.3789643,0.7161856,0.6136807,0.5662184,0.222407,0.2345628,0.3382287,0.577845
,60,0.6278682,0.3452968,0.472984,0.3955078,0.6596919,0.6474677,0.5246804,0.2559891,0.2493649,0.336419,0.5721427
,63,0.6577285,0.3645037,0.4630648,0.3897372,0.6640795,0.667716,0.5855277,0.2605134,0.2813934,0.3514088,0.5682842
,66,0.6471092,0.3558477,0.475784,0.4345874,0.6459483,0.6685697,0.6479287,0.274257,0.2692547,0.3471748,0.5638965
,69,0.6532212,0.3749351,0.4924641,0.4582844,0.6290292,0.6625259,0.7049518,0.2865835,0.2887859,0.3516308,0.5897959
,72,0.6640283,0.4347581,0.518039,0.4338874,0.6515823,0.666299,0.6478263,0.3176901,0.285747,0.3435554,0.5814132
,0,2.526155,0.5480018,0.5758646,0.2520453,2.479666,0.6634649,0.3654256,0.2719863,0.2409651,0.305466,0.1955686
,3,2.923149,1.169621,1.092418,0.7309195,3.187981,1.69886,0.8485509,0.7596188,0.6350729,0.7233391,0.6292682
,6,3.644354,1.331625,1.051409,0.7401387,4.002131,1.990378,0.7976228,0.880477,0.7131296,0.8754063,0.9098762
,9,2.927178,1.087348,0.8036494,0.5402507,2.603,1.676017,0.4702182,0.6949471,0.5130367,0.7926375,1.105598
,12,2.345082,0.8908913,0.6505579,0.4714646,1.823218,1.370346,0.3840349,0.6176246,0.472284,0.601303,1.198099
,15,2.052164,0.8133468,0.6262975,0.396959,1.597619,1.16327,0.3701889,0.6551676,0.4415189,0.587696,1.215547
,18,1.776644,0.7073078,0.5044321,0.3312971,1.372992,1.077753,0.3501625,0.5650916,0.4211511,0.533046,1.010042
,21,1.679909,0.7332072,0.5250902,0.3360263,1.294389,1.039612,0.3872617,0.6016103,0.4475456,0.5276511,0.9408462
,24,1.470631,0.6458629,0.4771327,0.3045782,1.104301,0.912403,0.3862544,0.4638672,0.3256972,0.4488431,0.8080542
,27,1.336234,0.6180342,0.4282363,0.2773301,1.007328,0.8406803,0.3312459,0.4380531,0.3238875,0.3998955,0.7291951
,30,1.283924,0.5548992,0.4092684,0.3156414,0.9187199,0.7719624,0.3025978,0.3991272,0.2888201,0.357794,0.6391875
,33,1.226371,0.5326363,0.3879275,0.2551526,0.8955863,0.723527,0.3124829,0.3831642,0.2609743,0.3428895,0.6012688
,36,1.1505,0.4935226,0.383591,0.2472479,0.8865036,0.6995568,0.3051075,0.3568209,0.2457455,0.3171608,0.5855448
,39,1.034371,0.4609306,0.363411,0.2415285,0.8602969,0.6740842,0.3193974,0.3303069,0.2364749,0.3062172,0.5551382
,42,1.061482,0.4359532,0.3663304,0.2707058,0.8330146,0.649636,0.3180145,0.3212925,0.2064439,0.2921663,0.5416507
,45,0.9440218,0.4392653,0.3497699,0.3084025,0.7877206,0.6518896,0.3377506,0.288803,0.2139389,0.3060636,0.521778
,48,0.9129664,0.4530089,0.3435383,0.2643206,0.8129712,0.6579504,0.3499406,0.274957,0.2043611,0.2853543,0.5153586
,51,0.8819622,0.4064002,0.3436237,0.3197559,0.7777159,0.6586674,0.3803301,0.2833056,0.1979076,0.2937199,0.5128319
,54,0.9019545,0.4149196,0.3392872,0.2945907,0.7730721,0.6804694,0.4124611,0.3061831,0.2042757,0.2858152,0.5146245
,57,0.9736259,0.3891226,0.4018418,0.3691133,0.7574335,0.6822279,0.4257095,0.3117146,0.2043269,0.2789349,0.5125075
,60,0.9187882,0.3949786,0.3827374,0.3082318,0.6967056,0.6697477,0.4405116,0.3048343,0.1987441,0.28013,0.5093661
,63,0.9082031,0.3980858,0.400254,0.3699669,0.7101589,0.6904057,0.4740938,0.3270119,0.1923931,0.2806251,0.5243047
,66,0.8557897,0.454904,0.3719474,0.34207,0.7061127,0.681545,0.488691,0.3024441,0.22828,0.2765618,0.5190464
,69,0.9166541,0.4294826,0.3897713,0.349104,0.7016738,0.7114223,0.5294266,0.3073611,0.2037635,0.2865152,0.5153245
,72,0.9133078,0.4986444,0.3950127,0.3763351,0.7059761,0.7053444,0.5462092,0.3342507,0.2287751,0.3096318,0.515205
