Date,Elapsed,Control,Erl 1.37 nM,Erl 4.12 nM,Erl 12.3 nM,Erl 37.0 nM,Erl 111 nM,Erl 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,45,42.13601,52.03885,46.83295,33.33538,24.81723,25.42074,23.26501,47.18211,44.90892,17.59052,7.735929
,48,46.42291,54.81756,49.37486,36.1492,25.99707,25.30803,23.19993,51.49749,49.11741,18.60042,7.927656
,51,50.6194,58.00049,53.0426,39.04028,26.92319,25.66825,23.64138,55.77348,52.6652,20.44283,7.632721
,54,54.50453,61.58151,57.44505,42.70059,27.53804,26.03824,23.2342,58.25063,56.35741,21.84145,7.58999
,57,57.3779,65.32198,62.03723,47.54475,28.35341,26.59332,23.95699,63.38378,60.65435,23.05173,7.937643
,60,61.42853,68.42333,66.22607,51.65349,29.76112,26.08886,22.90911,68.11924,64.6323,24.91832,8.198071
,63,64.43421,72.21272,71.08215,56.25145,29.12107,27.07851,23.12998,71.07564,67.51221,27.12164,7.740809
,66,67.50534,75.51515,72.84421,57.11398,29.76199,26.14041,22.76734,74.57016,70.79369,28.45372,7.969809
,69,71.16966,78.0969,75.24711,60.47404,29.81264,26.62972,23.47337,76.66026,74.26086,29.84214,8.125495
,72,71.96158,78.82189,75.86147,62.68042,30.26166,26.11866,22.92662,78.29388,76.40278,31.92975,8.208742
,0,6.85161,7.91772,9.078856,8.633955,10.24303,10.02626,7.472889,9.711862,7.718514,6.976942,6.52774
,3,8.336873,11.42312,11.52265,10.16596,12.08337,12.06826,9.040372,11.1115,9.665527,8.327773,7.0446
,6,9.487476,13.16806,13.31577,11.85275,13.22158,13.50026,9.481653,13.45674,10.90571,8.84646,6.747039
,9,10.87276,15.18401,15.23669,13.76639,14.26472,14.11659,10.90755,14.94385,12.50369,9.817032,6.835392
,12,11.86708,16.54176,16.54326,14.57554,15.17349,13.79055,11.06915,17.18163,14.02678,10.25452,6.930212
,15,13.76186,18.67505,18.78801,16.42691,16.10837,15.05861,11.64937,18.50934,15.86144,11.10439,6.989063
,18,15.41661,20.40295,19.79013,17.94644,17.7108,15.49005,12.50953,20.17327,17.33557,11.4572,7.184033
,21,16.98488,22.49708,22.39929,19.15527,18.95699,17.92939,14.0212,23.13202,19.48162,12.19938,7.447757
,24,19.47226,25.84502,25.39903,20.57632,20.62854,20.20975,15.81503,25.94974,22.0476,12.32744,7.388122
,27,21.78569,28.879,28.57781,22.15743,22.56425,23.28906,17.13099,28.94799,25.22353,13.5459,7.43234
,30,25.41283,31.37371,30.66718,23.40704,23.34433,24.09364,18.47911,31.69881,28.38736,14.07515,7.439852
,33,27.83262,34.74957,34.28299,24.95948,26.06529,26.2437,19.59626,35.39595,30.47662,14.76254,7.697839
,36,31.7953,39.37418,37.14098,27.66268,28.08071,27.16393,20.41016,39.49811,34.24416,15.86219,7.52496
,39,34.47865,43.27894,40.993,30.18465,29.15218,28.24381,21.79321,43.46706,38.25834,16.5413,7.447945
,42,38.94136,46.94164,44.74364,33.21011,32.48211,28.77214,22.14782,47.65723,41.75611,17.93694,7.395445
,45,43.71633,51.00905,48.68814,35.57117,34.60595,29.68154,22.65162,51.93456,45.83114,18.37594,7.470498
,48,46.38025,53.77287,52.06429,38.07479,35.33829,29.81114,22.91293,56.47828,49.55711,20.14133,7.589836
,51,49.6127,56.78761,55.70061,41.93621,36.71648,29.5978,22.79747,59.71323,53.07328,20.88696,7.713957
,54,52.02901,60.28305,58.92781,46.4173,36.42487,30.03806,23.10571,64.11826,56.08117,22.26674,7.936978
,57,56.93063,64.52547,64.16801,51.12642,38.32495,29.5711,22.96173,69.17667,60.46148,24.24968,7.797271
,60,61.07081,68.69078,68.00294,55.693,38.26487,29.5613,22.55202,73.23237,64.05022,25.67604,7.673937
,63,64.4493,71.79453,73.19896,59.72733,38.2129,28.94436,23.08573,75.51135,68.67361,26.68251,7.548316
,66,67.70338,74.14732,75.78375,62.11948,39.5292,29.57091,22.54329,78.4428,72.02621,28.98887,7.474219
,69,69.35178,76.71603,77.69243,65.20306,39.62868,29.31862,22.54051,80.27799,73.69463,29.91428,7.420237
,72,71.1732,77.05771,80.03899,68.28036,39.74667,29.39892,22.18961,82.55385,76.59186,31.82955,7.518456
,0,6.675778,8.191977,10.27728,9.656717,9.499735,9.561877,8.874017,9.976166,8.244356,7.654986,5.617419
,3,8.12435,11.50201,12.39364,11.76934,11.44772,11.33541,10.45118,12.16221,9.896437,8.777111,6.176468
,6,9.37483,13.76917,14.30206,13.66503,12.71737,12.61085,11.63965,13.69163,11.56453,9.034313,5.943014
,9,10.97101,15.29635,16.71429,15.2077,13.76528,13.3036,12.28162,15.50113,12.94025,10.22695,6.049906
,12,12.2749,16.93393,18.20558,16.70665,14.04849,13.43567,11.98254,17.49121,14.27528,10.4184,6.105291
,15,13.71531,18.85083,19.99906,18.02902,14.22588,13.49036,13.11551,18.69636,15.86562,11.13525,6.297871
,18,15.16856,21.34593,22.00415,19.66833,16.16931,15.08239,14.42697,20.50706,17.19346,10.9747,6.530796
,21,17.10125,23.46604,24.93543,20.915,17.17961,16.62458,15.62811,22.74993,18.97608,11.64532,6.649333
,24,19.64871,26.36147,27.40602,22.72674,18.98924,19.14386,16.51657,25.26584,21.96291,12.90568,6.629664
,27,22.32592,29.17516,30.75546,23.89157,20.6336,20.72752,18.34566,28.99383,24.02757,13.73752,6.925604
,30,25.50033,32.92982,32.11599,25.43354,22.13339,22.82392,19.85951,31.24934,26.54662,14.19845,7.1567
,33,27.83768,35.75733,35.35528,26.68154,24.59572,23.64565,22.15697,34.26559,30.24797,15.14527,7.026862
,36,32.37516,39.29772,38.79665,28.06597,25.53774,25.66623,22.7346,37.60162,32.55081,15.9838,7.036098
,39,35.16418,43.81151,43.55618,31.18182,28.08928,26.03773,24.46504,43.01623,36.00739,16.41856,6.99321
,42,39.98077,46.90286,47.07361,33.91397,29.65176,27.04047,23.88073,46.41422,40.91248,17.52102,7.100206
,45,43.46455,49.89405,51.71352,38.11134,31.97476,27.58611,25.15959,50.66791,44.07377,18.74369,6.993622
,48,48.06075,55.27239,54.75203,42.46227,32.97332,27.85387,25.17177,55.14339,47.28157,19.64506,7.02874
,51,50.38721,56.56083,58.42261,44.66758,33.63862,27.56009,24.23526,58.26742,50.68698,21.1155,7.250089
,54,53.65569,61.50776,62.76092,49.36997,34.85714,27.86409,24.57004,62.72954,54.08987,22.22083,6.985187
,57,57.13766,64.92986,66.84332,54.91078,35.36587,28.16191,24.87773,67.53906,57.56819,23.76641,7.015371
,60,60.20972,69.01994,69.8897,57.42353,37.0733,27.19172,24.61588,70.15923,61.26645,25.97468,6.990361
,63,63.13868,71.60628,73.49995,60.42489,36.95515,27.4162,24.58518,74.40501,66.86481,27.23039,6.914984
,66,65.89921,74.6562,75.80218,64.02025,37.94846,27.53252,24.14002,77.53595,70.73753,29.04117,7.109613
,69,67.70946,76.86729,78.45718,68.21561,38.59959,27.76019,24.34258,79.8327,73.80007,31.14805,6.906909
,72,70.59749,78.88625,79.54189,70.1573,39.55275,27.58742,23.99831,81.73811,75.42155,33.09581,6.910973
