Date Time,Elapsed,Blank,Control,JNK-IN-7 0.125,U0126 3.13,JNK-IN-7 0.25,U0126 6.25,JNK-IN-7 0.5,U0126 13,JNK-IN-7 1,U0126 25,JNK-IN-7 2,U0126 50,JNK-IN-7 4,U0126 100,JNK-IN-7 8,U0126 200,JNK-IN-7 10,Blank,Control,R428 0.13,Erlotinib 0.0005,R428 0.25,Erlotinib 0.001,R428 0.5,Erlotinib 0.004,R428 1,Erlotinib 0.012,R428 2,Erlotinib 0.037,R428 3,Erlotinib 0.111,R428 6,Erlotinib 0.333
11/17/2017 13:10,0,0.0316,2.8762,3.1578,3.167,3.3061,2.6292,2.5882,3.1155,3.4278,3.7255,3.188,2.6759,2.4787,3.1786,2.7243,3.5528,4.0993,0.003,3.9711,3.7611,3.8054,3.4084,3.3422,3.8089,4.0599,3.7863,3.9868,4.3403,3.3815,4.4133,3.8076,3.8086,3.3728
11/17/2017 16:10,3,0.0174,3.173,3.5924,3.793,3.6436,3.1892,2.9303,3.764,3.9844,4.5004,3.5102,3.2148,2.5178,3.5974,2.5667,4.0109,3.872,0,4.4176,4.2232,4.4383,3.8851,3.7897,4.2328,4.6539,4.0083,4.5273,4.4668,3.8108,4.5674,4.4422,4.0462,3.7787
11/17/2017 19:10,6,0.0347,3.6477,4.0142,4.5039,4.0628,3.9006,3.3095,4.5852,4.5979,5.4814,3.8995,3.6533,2.6434,3.8996,2.5999,4.3127,4.0359,0.0311,4.8781,4.7777,5.0697,4.403,4.3753,4.7375,5.2278,4.5584,5.3167,4.5158,4.6204,4.5859,5.287,3.6222,4.4279
11/17/2017 22:10,9,0.0072,3.95,4.5157,5.0733,4.6723,4.2824,3.5897,5.1954,4.8684,5.9728,4.4174,4.195,2.9177,4.2146,2.8668,4.8168,4.3359,0,5.413,5.4092,5.6659,4.9155,4.8423,5.4564,6.211,5.2347,6.1851,5.2502,5.1546,4.8836,6.2392,3.6423,4.9607
11/18/2017 1:10,12,0.0069,4.556,4.9486,5.8657,5.0686,4.9676,3.9912,6.2246,5.3128,6.8561,4.9234,4.6875,3.2683,4.5558,3.0522,5.1909,4.9713,0.0026,6.1749,5.8383,6.4201,5.7433,5.5096,6.3707,7.1998,5.9065,7.0732,5.7763,6.3133,5.6172,7.083,3.8648,5.8422
11/18/2017 4:10,15,0.0265,5.1722,5.6221,6.8832,5.7211,5.9193,4.6264,6.8413,6.172,7.3949,5.3021,5.1016,3.9058,4.8464,3.2847,5.4448,5.4594,0,7.3353,6.6741,7.6029,6.5532,6.5775,7.4778,8.543,6.7663,8.0822,6.5406,7.4336,6.3678,8.0458,4.2243,6.6372
11/18/2017 7:10,18,0.0164,6.3152,6.4523,7.8906,6.5866,6.8399,5.2396,7.9047,7.1464,8.4427,5.8493,5.7708,4.4819,5.0589,3.4888,5.4361,5.9817,0.0261,8.2261,7.7909,8.8094,7.4052,7.4349,8.098,9.9773,7.3562,9.2153,7.1236,8.517,7.1189,9.1699,4.285,7.5646
11/18/2017 10:10,21,0.032,6.7809,6.9239,8.5024,7.6674,7.3566,5.9059,8.6459,8.0021,9.4952,6.6368,6.3184,4.9716,5.2718,3.3754,5.441,6.3767,0.0023,9.3491,8.8858,9.5045,8.2911,8.2549,9.1082,11.0165,8.0407,10.0588,7.557,9.1537,8.3078,9.9264,4.216,8.4388
11/18/2017 13:10,24,0.011,8.0422,7.7718,9.3664,8.3979,7.9402,6.5379,9.498,8.9248,10.2835,7.1332,6.2612,5.4432,5.2429,3.5821,5.2135,6.4623,0.0024,10.2306,9.5245,10.5463,9.4577,8.7716,9.7495,12.1435,9.0157,11.0397,8.3599,9.9829,8.3253,10.9383,4.1283,9.086
11/18/2017 16:10,27,0.011,8.8053,8.8582,10.176,9.3412,8.8115,7.1106,10.4251,9.988,11.0397,7.4668,6.7264,5.3809,5.5999,3.704,5.123,7.0736,0.007,11.5429,10.687,12.0659,10.7419,9.7315,11.1667,13.5428,9.4215,12.2104,8.572,10.7664,8.8752,11.9304,4.1185,9.961
11/18/2017 19:10,30,0.03,10.3701,10.349,11.7541,10.5595,9.7686,8.0517,11.6115,11.1562,12.1337,8.026,7.0778,5.3954,5.7741,3.3689,5.147,6.8478,0.0242,13.3303,12.4284,13.4899,12.3856,11.0524,12.6092,14.7733,11.1856,13.3897,8.902,11.305,8.843,12.767,4.0371,10.6755
11/18/2017 22:10,33,0.0107,12.5816,11.8251,13.6453,11.9525,11.1652,9.6835,13.0281,12.7209,12.6273,8.5184,7.4267,5.667,5.6439,3.4892,5.1125,6.7747,0.0387,15.0468,14.3421,15.5358,13.9862,12.8022,14.499,15.8003,12.375,14.8847,9.6178,12.3651,9.0307,13.4933,3.9067,10.8934
11/19/2017 1:10,36,0.0267,14.3704,13.7301,16.0838,13.9821,12.5141,11.0739,14.7344,14.6926,13.889,8.497,8.0833,6.1162,5.7135,3.2903,5.0886,6.7593,0.0059,16.8924,16.3197,17.2654,15.6376,14.4433,16.5095,18.1165,13.1595,15.9079,9.5146,13.6679,9.2177,14.3137,3.9718,11.8248
11/19/2017 4:10,39,0.0363,16.163,15.7266,17.0678,15.8229,14.2334,12.9905,16.2676,16.8779,15.3563,9.1106,8.2396,5.9773,5.5039,3.3561,5.0168,7.3013,0.0263,19.8,17.7938,19.5605,17.9459,15.6442,18.2133,19.5702,14.7527,18.3146,10.5466,14.5138,9.0692,15.3491,3.8256,12.2846
11/19/2017 7:10,42,0.0248,17.9077,17.7903,18.7954,18.2687,15.4654,14.8714,18.6072,18.7841,16.5939,9.7593,8.5,6.6028,5.7527,3.3934,4.9793,6.9772,0.0025,21.6713,20.3989,20.8468,20.1699,17.048,20.0725,21.6491,15.826,18.8871,10.869,15.0555,9.5329,15.6672,3.897,12.4385
