Date,Elapsed,Control,Paclitaxel 0.8 nM,Paclitaxel 1.5 nM,Paclitaxel 3 nM,Paclitaxel 6 nM,Erlotinib 37.04 nM,Erlotinib 111.11 nM,Erlotinib 333.33 nM,Erlotinib 1.37 nM,Erlotinib 4.12 nM,Erlotinib 12.35 nM
,0,8.994944,9.591858,8.384131,7.887619,8.799783,8.632077,8.990554,9.365524,10.64508,10.83438,11.89888
,3,10.68819,10.81056,9.51252,8.552196,9.456811,10.17752,10.92207,10.92869,12.72184,13.10591,14.40208
,6,12.49638,12.4314,10.79552,9.269677,9.739845,11.85991,13.33897,13.30561,15.2754,15.81809,17.92131
,9,14.7787,14.44292,12.67387,10.08074,10.21488,15.27398,16.03633,15.92896,17.71766,18.80579,21.34912
,12,16.77805,16.39058,14.16176,11.21596,10.62804,17.62393,18.72219,18.48571,20.48713,21.06587,23.61685
,15,19.70352,18.96395,16.21643,12.50423,11.20457,19.82536,21.35556,21.15286,24.22879,24.71572,28.38578
,18,22.31667,21.27901,18.42396,14.3504,12.12617,22.26955,22.37834,23.53278,27.23088,28.36029,31.05139
,21,24.10563,24.14498,20.38867,16.34704,13.38169,24.29045,24.44421,25.9278,31.14657,31.04921,34.9969
,24,28.22064,26.65213,22.86493,17.78226,14.51001,27.15459,27.34003,27.68727,35.19714,34.03801,38.82198
,27,32.12394,29.6375,24.82198,19.70206,15.38473,28.88919,28.71875,28.9436,39.19348,38.7966,41.56093
,30,36.46212,33.63059,27.29477,20.67634,16.66608,30.19309,29.83564,30.07592,43.59657,42.50473,45.25219
,33,40.66624,38.271,30.25349,21.44433,17.67252,32.75892,30.99855,30.98186,48.69945,48.02823,48.94378
,36,44.66167,42.58944,33.55607,22.81363,17.95572,35.23762,32.05911,31.33148,53.7291,52.82191,51.40661
,39,48.71987,47.01717,37.28719,23.39447,18.70397,38.06261,32.36779,32.04197,58.07174,57.28265,58.61768
,42,52.30371,51.5868,41.59835,24.84361,19.26892,39.74933,32.53894,32.45916,61.68471,59.46793,61.88677
,45,56.11548,55.0539,46.38866,27.48055,19.94091,42.31594,33.61084,32.97352,65.27868,63.47986,65.86463
,48,60.9018,58.63444,49.89357,29.87026,20.72393,44.13827,33.67677,33.75076,68.6476,66.15791,69.83116
,51,64.36332,62.95236,52.47906,32.27406,21.11053,46.21242,34.26556,34.34676,72.55985,70.48421,74.2004
,54,67.06382,66.14754,54.88622,34.67195,21.87525,48.43116,34.57156,34.2468,75.38662,74.4935,77.77253
,57,70.26245,69.17147,57.58487,35.34742,22.87321,50.17407,34.88701,33.6676,78.38243,78.59138,80.13067
,60,73.11755,72.3272,60.18414,36.26623,23.2708,51.99897,35.74545,35.54649,81.64351,80.97745,81.84328
,63,75.20461,74.7495,62.64184,37.81826,24.56491,53.37091,35.31765,35.77163,83.93927,83.54877,86.49873
,66,78.0938,77.10478,66.50764,39.0729,25.25586,54.90403,35.71012,35.52019,85.47277,86.69837,88.1378
,69,80.20803,79.4437,69.15449,41.64109,25.19605,56.11932,36.57053,35.70013,87.03705,87.87002,90.64235
,72,82.43186,80.7578,71.7874,42.78737,25.69107,56.71285,38.608,36.45325,88.52605,89.88803,91.51044
,0,8.541864,10.49069,9.557748,9.080495,9.611543,9.105846,9.425244,9.485664,12.35621,11.23849,12.04793
,3,10.16629,12.12272,10.33222,10.25688,10.41002,10.85832,11.16319,10.96999,14.80829,13.67295,14.85845
,6,11.36995,13.89746,11.66569,11.36676,10.83976,13.30807,13.2223,13.23008,17.28709,16.09682,18.87236
,9,13.44938,15.78017,12.99936,12.33446,10.85669,17.02959,15.89895,15.65127,20.13539,18.52718,22.59721
,12,15.11536,17.47168,15.18452,13.86592,11.32857,19.82999,18.38339,17.79425,22.56691,21.42426,26.05178
,15,17.47383,20.35703,17.71865,15.4505,11.95987,22.70026,20.33237,20.98877,26.46721,24.97884,29.59826
,18,20.21344,23.33798,20.40807,17.22889,13.04483,25.0047,22.54686,22.74969,30.19097,27.9794,32.40036
,21,22.49226,26.10005,23.06094,19.09333,14.05364,27.49747,24.82723,24.90827,32.99688,31.58802,36.24184
,24,25.4449,28.85743,26.02921,21.57378,15.13843,29.38157,27.14629,26.70632,36.93141,34.92008,39.28093
,27,28.32567,32.04808,28.26586,23.46617,16.29308,31.54358,28.89653,28.56662,40.4514,37.77333,42.80628
,30,32.09913,36.12714,30.75989,24.80433,17.76635,33.334,30.34299,29.44484,44.88974,41.37679,46.54163
,33,36.53511,39.77122,33.23607,25.42724,18.57536,35.87763,31.36698,29.52098,49.73529,46.18945,50.10131
,36,40.54414,44.11636,37.18369,26.62594,19.62254,37.8932,31.91857,30.585,54.91409,51.10723,53.25356
,39,45.07828,48.47658,41.26894,28.34411,20.30535,40.35101,32.46613,31.10139,58.49394,56.62831,58.05788
,42,49.26394,53.67952,45.69353,30.40233,20.95264,43.56916,32.74603,31.36008,61.1218,60.26239,62.02138
,45,53.69967,57.2179,49.71689,32.73477,21.86094,45.36456,33.47406,31.59893,65.08203,63.25713,67.2272
,48,57.56776,61.48857,52.47608,34.68101,21.74774,47.12564,33.55945,32.94056,68.5406,66.09686,71.59751
,51,60.75393,63.12547,53.79469,36.50768,22.61705,50.13313,34.27791,33.08707,72.57185,70.57704,75.74911
,54,64.73759,67.04731,56.96227,39.2993,22.68819,51.17048,34.16168,34.01593,75.17969,72.41355,78.43314
,57,68.10017,69.96809,60.74899,39.69519,22.64066,53.14212,34.52698,34.50574,77.66464,75.57742,81.89071
,60,70.91542,72.85085,63.41467,42.85278,24.16492,55.4092,34.91453,34.38297,79.06513,78.47539,84.23099
,63,72.54771,75.61386,66.64832,44.27499,25.30634,56.57158,35.31915,35.33752,81.59503,82.076,86.3301
,66,75.65811,78.98978,70.1506,46.80889,25.20242,57.39369,35.57074,36.13488,83.40863,84.1669,88.55045
,69,77.38335,81.57312,72.09503,48.10815,26.20753,59.06254,36.79504,36.27145,85.69736,86.66126,90.08881
,72,79.71136,82.24848,74.18467,49.80536,27.2414,59.43535,36.71765,37.02196,87.45956,88.91123,91.9354
,0,9.461028,9.299979,8.580878,8.612565,8.52073,9.918204,8.093517,8.847094,13.36624,12.77397,11.65247
,3,11.41379,10.41999,9.563159,9.26973,9.344524,12.33035,9.533962,10.34716,16.0224,15.50665,14.16309
,6,13.39779,11.70891,10.99889,10.46808,9.62112,14.56148,11.63663,12.47613,18.943,18.88708,17.68262
,9,15.52471,13.56391,12.42997,11.28717,9.96285,17.991,14.14469,15.28085,21.86532,21.91192,20.63098
