Date,Elapsed,Control,Paclitaxel 0.8 nM,Paclitaxel 1.5 nM,Paclitaxel 3 nM,Paclitaxel 6 nM,Erlotinib 37.04 nM,Erlotinib 111.11 nM,Erlotinib 333.33 nM,Erlotinib 1.37 nM,Erlotinib 4.12 nM,Erlotinib 12.35 nM
,12,17.82821,15.72588,14.44729,12.56078,10.73706,21.2851,17.1952,18.01571,24.88541,25.57139,24.15556
,15,20.43593,18.15643,16.89037,14.03791,11.51897,23.86018,19.02572,21.07791,29.16813,29.55545,27.30414
,18,22.98841,20.89671,18.86763,15.8512,12.64206,27.04056,20.61906,23.46851,32.90065,32.72736,30.80947
,21,26.34381,23.76888,21.15666,18.22216,13.60577,28.82788,22.34921,24.63744,36.49112,36.5743,33.66977
,24,29.5255,26.12153,23.83302,20.25047,15.08282,31.83769,24.96898,26.776,40.32498,40.52351,37.13998
,27,33.67472,29.14769,26.09684,21.43729,16.52882,34.1659,25.71673,27.8887,43.35394,44.64894,40.32528
,30,37.51133,32.75919,28.41624,22.48904,17.97182,37.10228,26.7985,28.9328,47.71404,48.88919,42.99503
,33,42.34051,36.66876,32.15531,23.73011,19.2532,39.61003,27.20689,29.87181,53.35209,52.75064,46.6565
,36,47.06841,40.37927,35.52305,24.77856,20.09286,41.88796,27.62098,29.81731,58.10381,57.00553,50.95296
,39,50.55047,44.48016,39.22042,26.18015,21.07796,43.9352,29.17015,30.53564,61.82292,61.49405,55.90551
,42,54.11031,48.96951,43.00658,28.50068,22.2576,47.19639,29.60909,31.05339,65.92917,64.93518,58.31264
,45,59.43657,53.60549,46.73745,30.60587,22.88921,49.29678,29.91608,31.88199,70.14738,69.34942,62.82771
,48,62.58158,57.39944,50.3298,32.32618,23.48651,51.83693,30.52942,31.76352,72.56697,72.62857,68.51251
,51,65.30589,60.65049,53.77526,34.29803,24.31194,54.75283,30.87788,31.88806,75.35602,76.01272,71.91627
,54,68.45522,63.36086,56.38826,35.9497,24.88163,55.98326,32.05416,32.67824,78.2164,77.82049,75.79492
,57,71.94226,66.55373,59.97581,38.21461,25.48188,57.87175,32.15221,32.8358,80.78069,80.802,79.21282
,60,74.67191,68.89708,63.03084,39.76999,25.94574,59.51075,32.70605,33.88488,83.17061,83.63239,82.90346
,63,77.22822,73.0349,64.55498,40.49787,27.08126,60.22852,32.71872,33.30179,85.50805,86.89451,85.61064
,66,79.09396,75.7435,68.39753,42.95103,28.33719,61.78041,33.37241,33.64618,87.44134,88.58162,87.57933
,69,81.69037,78.00027,70.79844,44.9726,28.19942,61.96225,33.36441,34.95921,88.72652,90.80146,89.46992
,72,82.92503,80.64994,73.31235,45.99329,28.39649,63.36264,33.4893,34.84521,89.99262,92.57329,90.38736
