Date,Elapsed,Control,LCL161 5 uM,LCL161 10 uM,LCL161 20 uM,LCL161 40 uM,Paclitaxel 2 nM,Paclitaxel 4 nM,Paclitaxel 8 nM,Paclitaxel 0.25 nM,Paclitaxel 0.5 nM,Paclitaxel 1 nM
,0,5.333278,5.654706,4.440645,5.575967,5.048026,3.926089,5.077459,5.014205,5.486386,5.230124,5.642192
,3,5.426529,6.149049,4.909497,6.179165,5.544724,4.089612,5.312073,5.345809,5.925703,5.481759,5.415158
,6,4.31965,5.082308,3.818752,4.957403,4.443547,3.013959,4.166473,3.994567,4.673534,4.288799,4.308792
,9,5.000512,5.942707,4.372815,5.554694,5.186025,3.379316,4.671759,4.523806,4.759889,4.732094,4.538693
,12,4.247483,5.251465,3.588953,4.715517,4.340889,2.588659,3.898413,3.565614,4.023301,4.04232,3.847144
,15,4.06921,4.937223,3.49174,4.550884,4.225033,2.454808,3.649236,3.26737,3.670543,3.776753,3.537649
,18,3.843951,4.85553,3.361594,4.507877,4.150066,2.356094,3.380511,3.035522,3.379811,3.646932,3.306415
,21,4.420055,5.472711,4.060144,5.311595,4.88889,2.81308,3.817881,3.379828,3.420461,3.851924,3.603772
,24,4.173166,5.3167,4.020894,5.272976,4.870486,2.749536,3.740695,3.238961,3.249631,3.731169,3.524076
,27,3.394818,4.603177,3.641042,4.923906,4.46861,2.463498,3.322703,2.994615,2.578518,3.129354,2.936295
,30,2.576947,3.858975,3.366033,4.526674,4.161539,2.165288,3.030007,2.761572,2.002499,2.586081,2.478198
,33,2.593934,4.171919,3.816908,5.190225,4.710873,2.245257,3.390618,2.948997,2.108794,2.459299,2.375915
,36,2.232196,3.742334,3.771392,5.261179,4.700799,2.015424,3.234197,2.910139,1.831908,2.134165,1.926082
,39,1.791668,3.437551,3.658234,5.291705,4.80409,1.816713,3.082403,2.915295,1.620991,1.892636,1.640437
,42,1.220515,2.675713,3.015734,4.674712,4.35161,1.358327,2.704651,2.687715,1.365463,1.423169,1.244537
,45,1.083301,2.347899,2.888935,4.698034,4.383843,1.159617,2.64476,2.696149,1.317198,1.373743,1.283719
,48,1.258588,2.757082,3.399632,5.381166,5.045977,1.233525,3.051792,3.076547,1.434898,1.313255,1.157551
,51,1.075072,2.47632,2.872562,4.985232,4.752103,0.9771942,2.698215,2.933273,1.390475,1.106111,1.007259
,54,1.024417,2.428107,2.860492,5.010415,4.88353,0.8527337,2.704088,2.914732,1.405874,1.092418,0.9558361
,57,1.026193,2.350852,2.801795,5.052243,5.031072,0.8475436,2.689917,2.939146,1.430596,1.066126,0.9740528
,60,1.035839,2.2975,2.721604,5.157855,5.119458,0.8287123,2.638819,2.932334,1.440976,1.062012,0.9641677
,63,1.042071,2.335418,2.76374,5.341797,5.296144,0.8252294,2.768094,2.96035,1.564993,1.140154,0.9955645
,66,1.366078,2.799405,3.159453,6.151285,5.981719,0.9981254,3.182433,3.320551,1.881727,1.276036,1.147888
,69,1.348629,3.63358,3.958014,7.027853,6.530967,1.197518,3.468128,3.535805,2.487656,1.687814,1.597414
,72,1.64293,3.284135,3.425156,6.574143,6.354826,1.212354,3.399786,3.465533,2.261288,1.535132,1.447481
,0,5.444182,5.192256,4.134547,5.258243,4.862359,3.811103,5.04637,4.727416,4.823809,5.24035,4.972922
