Date Time,Elapsed,Control,R 1,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,Eto 8 uM,Gem 20 nM,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,,
3/3/17 12:00,0,0.0632,0.0363,0.0704,0.0349,0.0804,0.0238,0.0761,0.0122,0.0730,0.0379,0.0517,0.0280,0.0813,0.0407,0.0583,0.0327,0.0660,0.0889,0.0669,0.0342,,
3/3/17 15:00,3,0.0743,0.0730,0.0675,0.0436,0.0702,0.0337,0.0733,0.0233,0.0660,0.0599,0.0483,0.0662,0.0818,0.0493,0.0501,0.0670,0.0686,0.0963,0.0641,0.0603,,
3/3/17 18:00,6,0.0832,0.1482,0.0649,0.0876,0.0539,0.0531,0.0616,0.0532,0.0632,0.1146,0.0635,0.1341,0.0855,0.0910,0.0453,0.1253,0.0620,0.1602,0.0758,0.1104,,
3/3/17 21:00,9,0.0730,0.1241,0.0591,0.0835,0.0575,0.0568,0.0556,0.0493,0.0554,0.1112,0.0519,0.1234,0.0882,0.0828,0.0392,0.1091,0.0614,0.1584,0.0687,0.1103,,
3/4/17 0:00,12,0.0681,0.1192,0.0644,0.0769,0.0596,0.0523,0.0582,0.0473,0.0547,0.1060,0.0590,0.1209,0.0873,0.0794,0.0388,0.1075,0.0678,0.1595,0.0612,0.1114,,
3/4/17 3:00,15,0.0699,0.1063,0.0710,0.0782,0.0592,0.0501,0.0503,0.0437,0.0579,0.1056,0.0562,0.1151,0.0869,0.0767,0.0473,0.1005,0.0682,0.1498,0.0582,0.1046,,
3/4/17 6:00,18,0.0661,0.0996,0.0763,0.0730,0.0544,0.0444,0.0502,0.0430,0.0587,0.0992,0.0566,0.1104,0.0875,0.0776,0.0466,0.0942,0.0752,0.1381,0.0614,0.1098,,
3/4/17 9:00,21,0.0615,0.0943,0.0770,0.0685,0.0529,0.0444,0.0525,0.0428,0.0580,0.0935,0.0554,0.0942,0.0850,0.0786,0.0418,0.0923,0.0763,0.1370,0.0586,0.1109,,
3/4/17 12:00,24,0.0577,0.0803,0.0528,0.0565,0.0431,0.0415,0.0475,0.0325,0.0484,0.0733,0.0417,0.0770,0.0693,0.0685,0.0304,0.0718,0.0604,0.1241,0.0449,0.0899,,
3/4/17 15:00,27,0.0571,0.1065,0.0611,0.0627,0.0463,0.0495,0.0454,0.0391,0.0515,0.0985,0.0500,0.1024,0.0734,0.0908,0.0385,0.0799,0.0628,0.1383,0.0474,0.1175,,
3/4/17 18:00,30,0.0629,0.0938,0.0531,0.0604,0.0407,0.0501,0.0457,0.0366,0.0508,0.1055,0.0473,0.1084,0.0666,0.0965,0.0350,0.0904,0.0563,0.1490,0.0479,0.1387,,
3/4/17 21:00,33,0.0577,0.0859,0.0516,0.0570,0.0356,0.0451,0.0421,0.0316,0.0439,0.0947,0.0438,0.0998,0.0580,0.0863,0.0354,0.0804,0.0545,0.1397,0.0467,0.1285,,
3/5/17 0:00,36,0.0591,0.0849,0.0487,0.0530,0.0350,0.0454,0.0403,0.0336,0.0428,0.0929,0.0411,0.0923,0.0551,0.0786,0.0322,0.0811,0.0547,0.1332,0.0457,0.1112,,
3/5/17 3:00,39,0.0594,0.0799,0.0465,0.0489,0.0314,0.0420,0.0392,0.0342,0.0427,0.0881,0.0393,0.0886,0.0555,0.0734,0.0344,0.0784,0.0495,0.1392,0.0410,0.1046,,
3/5/17 6:00,42,0.0541,0.0781,0.0434,0.0407,0.0303,0.0387,0.0391,0.0319,0.0414,0.0872,0.0412,0.0822,0.0524,0.0695,0.0326,0.0680,0.0483,0.1475,0.0383,0.1060,,
3/5/17 9:00,45,0.0514,0.0698,0.0431,0.0380,0.0289,0.0342,0.0418,0.0303,0.0414,0.0856,0.0384,0.0765,0.0533,0.0671,0.0271,0.0650,0.0516,0.1398,0.0436,0.1029,,
3/5/17 10:07,46.11666667,0.0581,0.0800,0.0544,0.0526,0.0368,0.0423,0.0529,0.0392,0.0544,0.1168,0.0485,0.1164,0.0659,0.0940,0.0425,0.0918,0.0674,0.1689,0.0642,0.1375,,
3/5/17 12:00,48,0.0550,0.0903,0.0546,0.0571,0.0364,0.0446,0.0533,0.0462,0.0508,0.1276,0.0457,0.1111,0.0636,0.1026,0.0391,0.0901,0.0649,0.1747,0.0648,0.1317,,
3/5/17 15:00,51,0.0565,0.0672,0.0672,0.0439,0.0400,0.0406,0.0493,0.0422,0.0448,0.1266,0.0481,0.0920,0.0604,0.1152,0.0403,0.1019,0.0716,0.1105,0.0796,0.1460,,
3/5/17 18:00,54,0.0552,0.0706,0.0636,0.0475,0.0380,0.0427,0.0438,0.0396,0.0470,0.1251,0.0467,0.1043,0.0599,0.1249,0.0403,0.0932,0.0654,0.1108,0.0831,0.1521,,
