Date Time,Elapsed,Control,no reagent_control,TXL 2.5 nM,Cis 2.5 uM,TXL 5 nM,Cis 5 uM,TXL 10 nM,Cis 10 uM,TXL 20 nM,Cis 50 uM,TXL 40 nM,Cis 100 uM,blank
2/18/17 12:00,0,23.0,22.7,24.8,23.1,23.3,25.7,24.6,26.3,22.5,22.5,24.2,23.2,0.2
2/18/17 15:00,3,25.3,23.8,24.2,23.6,23.8,27.4,22.1,26.2,22.0,22.5,21.4,24.4,0.2
2/18/17 18:00,6,27.4,25.3,24.0,24.1,24.4,29.9,24.4,26.6,22.1,23.2,22.3,23.5,0.2
2/18/17 21:00,9,30.1,28.1,27.6,25.9,27.3,31.2,27.4,28.7,24.9,24.3,24.1,23.3,0.2
2/19/17 0:00,12,31.0,29.1,30.1,26.1,30.2,30.3,27.8,29.2,26.3,24.1,25.7,25.3,0.3
2/19/17 3:00,15,35.8,33.4,32.7,29.6,31.3,34.1,30.9,29.8,30.2,25.3,29.2,24.8,0.2
2/19/17 6:00,18,37.5,38.2,36.7,32.1,34.6,36.1,34.3,32.2,33.1,24.9,31.8,24.9,0.2
2/19/17 9:00,21,39.4,39.6,39.1,34.2,39.9,35.7,36.2,33.1,37.7,26.1,36.0,26.6,0.2
2/19/17 12:00,24,44.1,46.4,41.5,33.3,40.8,41.5,39.6,33.2,39.4,28.2,38.5,27.3,0.2
2/19/17 15:00,27,49.3,46.9,44.6,35.1,43.0,41.4,41.1,32.1,40.9,27.0,39.0,28.0,0.2
2/19/17 18:00,30,53.8,50.7,51.3,38.3,46.6,41.2,45.9,35.4,43.6,27.1,42.9,26.3,0.2
2/19/17 21:00,33,56.9,57.1,53.2,37.6,54.3,42.6,50.8,38.8,45.9,28.4,44.5,27.7,0.2
2/20/17 0:00,36,64.9,61.2,62.3,43.0,54.2,46.8,55.1,38.1,47.2,28.0,45.9,27.6,0.2
2/20/17 3:00,39,70.7,66.8,69.5,49.1,64.5,50.7,58.3,39.7,52.6,28.9,47.5,27.8,0.2
2/20/17 6:00,42,77.7,70.4,74.4,52.8,72.5,56.1,66.0,44.9,57.6,29.6,51.6,28.7,0.2
2/20/17 9:00,45,74.8,76.0,72.3,52.9,76.1,52.5,69.6,46.1,58.6,29.6,51.0,27.6,0.2
2/20/17 12:00,48,81.2,74.9,75.9,51.3,79.4,56.2,72.5,49.2,64.5,30.1,53.5,27.1,0.2
2/20/17 15:00,51,82.9,81.4,82.4,54.6,81.3,58.3,75.8,48.7,65.7,29.0,55.2,28.3,0.2
2/20/17 18:00,54,90.9,90.2,90.3,67.9,88.3,68.1,86.5,58.8,77.3,34.8,62.2,30.6,0.2
2/20/17 21:00,57,91.9,90.3,90.2,68.1,90.6,66.8,86.5,63.0,74.9,37.5,64.9,29.8,0.2
2/21/17 0:00,60,90.7,92.6,90.9,65.4,88.1,63.7,84.2,60.8,77.6,32.0,64.3,29.1,0.2
2/21/17 3:00,63,89.7,92.4,90.7,68.4,90.8,65.1,86.7,63.3,77.6,31.7,64.6,29.1,0.2
2/21/17 6:00,66,93.3,90.6,92.5,69.5,90.9,68.0,88.1,63.1,79.6,31.4,63.7,27.6,0.2
2/21/17 9:00,69,92.4,94.5,93.4,73.8,93.3,71.1,91.0,64.6,80.7,33.5,64.4,28.1,0.2
2/21/17 12:00,72,92.6,95.8,95.6,74.8,94.3,72.6,91.6,65.6,83.8,33.1,64.5,29.3,0.3
2/18/17 12:00,0,25.1,25.7,24.2,22.6,24.8,24.8,26.2,25.1,22.2,23.4,23.2,22.8,0.1
2/18/17 15:00,3,27.0,25.0,24.3,22.6,23.1,24.9,24.1,25.4,21.8,24.4,22.2,22.7,0.1
2/18/17 18:00,6,30.0,26.6,24.9,24.8,24.5,26.3,26.0,26.0,21.8,25.6,21.5,22.5,0.1
2/18/17 21:00,9,32.0,31.6,26.9,25.7,26.0,27.6,28.7,27.1,23.2,26.4,21.5,22.0,0.1
2/19/17 0:00,12,35.7,33.3,30.6,30.0,31.9,27.8,29.7,29.2,25.6,24.4,25.1,23.1,0.2
2/19/17 3:00,15,37.8,37.0,33.9,30.2,33.9,30.3,32.3,29.4,27.9,25.2,27.6,23.2,0.2
2/19/17 6:00,18,42.4,40.8,36.7,33.2,33.9,31.1,37.4,31.1,32.0,25.4,30.5,24.1,0.2
2/19/17 9:00,21,47.1,42.0,40.1,34.9,39.8,35.0,40.6,30.6,35.2,26.5,36.4,25.5,0.2
2/19/17 12:00,24,51.6,47.1,43.8,36.4,40.5,37.2,43.5,33.6,37.6,27.5,39.1,26.5,0.2
2/19/17 15:00,27,58.8,48.8,46.0,36.4,43.8,34.3,45.0,34.2,40.0,29.4,40.7,25.6,0.2
2/19/17 18:00,30,57.7,56.5,49.4,34.6,49.4,37.5,51.1,33.9,44.0,27.6,42.5,25.7,0.3
2/19/17 21:00,33,59.2,59.1,60.9,40.5,49.3,36.9,53.9,37.8,45.0,30.2,45.5,25.7,0.2
2/20/17 0:00,36,65.4,62.3,68.8,40.6,60.8,41.6,56.8,39.8,45.9,29.3,45.8,25.1,0.2
2/20/17 3:00,39,74.9,74.0,73.5,47.5,64.5,46.1,62.7,42.1,52.6,30.1,47.5,25.8,0.2
2/20/17 6:00,42,79.3,77.5,76.2,52.3,71.8,47.5,73.9,41.3,58.5,30.7,50.6,27.1,0.2
2/20/17 9:00,45,82.2,77.1,76.6,48.7,79.3,49.6,76.5,45.4,55.5,30.4,50.7,26.8,0.2
2/20/17 12:00,48,80.4,83.7,83.7,52.0,77.5,49.3,77.7,46.2,58.0,30.5,52.3,26.2,0.2
2/20/17 15:00,51,84.4,82.2,84.1,58.5,80.0,49.7,78.3,50.9,60.9,32.4,54.1,27.4,0.2
2/20/17 18:00,54,95.0,93.0,91.4,65.8,90.7,57.9,87.6,60.2,72.2,36.0,64.2,28.9,0.2
2/20/17 21:00,57,92.9,94.5,95.0,69.5,92.3,62.6,90.9,60.7,71.3,36.7,63.1,27.6,0.3
2/21/17 0:00,60,93.3,93.5,91.2,65.0,90.7,58.2,89.2,60.1,74.1,34.8,60.8,26.3,0.2
2/21/17 3:00,63,93.5,95.2,93.4,69.6,93.9,61.4,90.1,59.6,75.1,34.5,62.6,26.4,0.3
2/21/17 6:00,66,92.8,95.2,93.5,70.2,94.7,62.1,91.8,64.7,74.1,33.5,61.4,25.8,0.2
2/21/17 9:00,69,96.1,94.3,96.6,73.6,94.7,64.5,93.6,63.3,76.4,33.6,63.2,27.1,0.2
2/21/17 12:00,72,97.1,96.2,96.6,76.8,95.2,69.1,92.9,67.4,79.5,34.3,61.7,26.5,0.2
2/18/17 12:00,0,22.4,22.5,22.0,22.9,23.2,23.4,26.5,23.2,21.5,24.4,24.1,21.5,0.2
2/18/17 15:00,3,25.5,22.1,23.6,22.8,25.3,23.3,24.0,23.6,19.3,25.6,22.4,21.6,0.2
