Date Time,Elapsed,Control,no reagent_control,TXL 2.5 nM,Cis 2.5 uM,TXL 5 nM,Cis 5 uM,TXL 10 nM,Cis 10 uM,TXL 20 nM,Cis 50 uM,TXL 40 nM,Cis 100 uM,blank
2/18/17 18:00,6,28.1,24.1,25.2,23.9,26.6,24.6,27.0,24.5,21.4,24.4,21.4,21.8,0.3
2/18/17 21:00,9,29.3,26.0,28.1,24.7,29.1,27.2,27.3,25.9,22.7,23.8,24.8,21.1,0.3
2/19/17 0:00,12,31.5,29.5,30.6,26.9,31.2,26.7,32.2,26.4,24.4,24.3,25.0,21.5,0.3
2/19/17 3:00,15,36.2,32.7,34.9,28.0,34.8,27.4,32.0,25.9,28.3,25.4,28.9,22.3,0.3
2/19/17 6:00,18,41.6,35.3,36.4,30.0,35.9,29.2,38.3,26.0,29.9,26.0,34.5,23.8,0.3
2/19/17 9:00,21,43.5,38.7,42.8,31.3,40.1,32.7,39.4,28.3,33.1,25.7,36.8,25.2,0.3
2/19/17 12:00,24,48.8,44.9,43.9,34.5,44.3,33.7,45.0,30.3,36.8,27.0,41.5,25.7,0.3
2/19/17 15:00,27,54.1,45.4,46.7,36.7,47.5,34.0,46.1,31.7,39.5,26.7,43.8,24.5,0.3
2/19/17 18:00,30,52.2,47.7,49.1,39.7,49.7,32.1,48.6,31.8,41.8,28.8,44.1,24.2,0.3
2/19/17 21:00,33,59.1,54.0,56.7,39.0,55.9,38.9,53.0,32.6,44.7,29.6,45.1,24.9,0.3
2/20/17 0:00,36,63.3,61.1,56.0,41.5,60.2,39.3,59.6,35.3,49.1,28.4,48.0,24.9,0.3
2/20/17 3:00,39,67.8,67.1,70.2,48.9,67.8,45.5,64.6,38.3,54.3,29.1,52.5,25.4,0.3
2/20/17 6:00,42,75.3,70.4,72.7,51.9,74.8,47.0,70.5,41.1,57.1,31.1,54.2,25.7,0.3
2/20/17 9:00,45,77.3,73.9,76.0,55.9,77.2,42.9,72.3,40.2,61.5,28.8,53.5,25.0,0.3
2/20/17 12:00,48,76.9,79.8,75.9,52.7,77.4,46.5,80.6,42.9,61.7,30.0,55.2,25.3,0.3
2/20/17 15:00,51,84.3,84.4,77.1,56.2,80.1,50.2,82.7,45.4,68.3,29.4,57.7,24.4,0.3
2/20/17 18:00,54,90.5,92.1,90.5,64.4,93.8,61.3,88.8,55.2,73.3,36.8,64.3,27.5,0.3
2/20/17 21:00,57,92.2,92.1,92.8,67.6,93.4,61.8,89.1,59.5,76.0,38.0,67.6,27.0,0.4
2/21/17 0:00,60,92.5,91.1,88.5,69.6,90.9,60.5,88.2,54.7,75.0,35.8,63.6,24.9,0.4
2/21/17 3:00,63,90.2,92.4,90.2,67.7,90.7,59.2,89.2,53.9,74.6,33.6,63.2,25.8,0.3
2/21/17 6:00,66,92.1,90.2,94.0,71.8,90.2,63.6,93.2,59.0,78.1,34.5,67.2,25.8,0.4
2/21/17 9:00,69,92.8,95.3,95.9,72.9,92.8,67.0,94.0,59.5,80.3,33.6,66.4,25.4,0.4
2/21/17 12:00,72,94.9,95.5,93.8,75.8,96.2,68.3,94.5,61.6,81.0,32.8,67.9,24.6,0.4
