Date Time,Elapsed,Control,no reagent_control,TXL 2.5 nM,Cis 2.5 uM,TXL 5 nM,Cis 5 uM,TXL 10 nM,Cis 10 uM,TXL 20 nM,Cis 50 uM,TXL 40 nM,Cis 100 uM,blank
2/18/17 12:00,0,0.0073,0.0054,0.0198,0.0028,0.0158,0.0060,0.0212,0.0071,0.0095,0.0121,0.0078,0.0068,0.0576
2/18/17 15:00,3,0.0332,0.0008,0.0676,0.0489,0.0673,0.1016,0.0529,0.0562,0.1051,0.0701,0.0345,0.0454,0.0238
2/18/17 18:00,6,0.0348,0.0023,0.0635,0.0496,0.0802,0.0861,0.0685,0.0501,0.1018,0.0759,0.0411,0.0788,0.0060
2/18/17 21:00,9,0.0319,0.0003,0.0556,0.0442,0.0892,0.0801,0.0895,0.0590,0.0995,0.1117,0.0802,0.3059,0.0140
2/19/17 0:00,12,0.0327,0.0012,0.0548,0.0513,0.1008,0.0765,0.1049,0.0785,0.1006,0.2095,0.1043,0.8924,0.0128
2/19/17 3:00,15,0.0541,0.0014,0.0529,0.0750,0.0917,0.0905,0.1150,0.1171,0.1701,0.4266,0.2049,1.1942,0.0091
2/19/17 6:00,18,0.0804,0.0009,0.0580,0.0988,0.0970,0.1225,0.1498,0.1603,0.2880,0.5317,0.3254,1.3300,0.0066
2/19/17 9:00,21,0.1258,0.0009,0.0651,0.1073,0.1105,0.1501,0.1962,0.1979,0.3416,0.6403,0.5013,1.4475,0.0054
2/19/17 12:00,24,0.1331,0.0020,0.0770,0.1080,0.1416,0.1418,0.2649,0.1970,0.4334,0.7288,0.7042,1.3794,0.0068
2/19/17 15:00,27,0.1183,0.0013,0.0816,0.1221,0.1500,0.1618,0.2681,0.1922,0.5205,0.7279,0.8236,1.2255,0.0045
2/19/17 18:00,30,0.1237,0.0014,0.0886,0.1564,0.1588,0.1551,0.2933,0.1964,0.5333,0.7681,0.8755,1.1677,0.0027
2/19/17 21:00,33,0.1223,0.0011,0.0983,0.1789,0.1479,0.1718,0.3214,0.2089,0.5612,0.8180,0.8990,1.0968,0.0007
2/20/17 0:00,36,0.1399,0.0006,0.0948,0.2080,0.1408,0.2068,0.3678,0.2787,0.5992,0.8072,0.8968,1.0035,0.0016
2/20/17 3:00,39,0.1632,0.0005,0.1023,0.2959,0.1725,0.2459,0.4351,0.2979,0.6717,0.8696,0.9435,1.0072,0.0030
2/20/17 6:00,42,0.1704,0.0000,0.1064,0.3645,0.2114,0.2977,0.5013,0.3115,0.7138,0.8587,0.9478,0.9668,0.0047
2/20/17 9:00,45,0.1489,0.0000,0.1003,0.4025,0.2478,0.3261,0.5382,0.3438,0.7406,0.7875,0.9467,0.8605,0.0009
2/20/17 12:00,48,0.1669,0.0000,0.1011,0.4795,0.2451,0.3497,0.5967,0.4314,0.7846,0.7529,0.9474,0.8858,0.0006
2/20/17 15:00,51,0.1929,0.0000,0.1162,0.5366,0.2339,0.3986,0.6269,0.4633,0.7977,0.7460,1.0040,0.8712,0.0021
2/20/17 18:00,54,0.2709,0.0000,0.1800,0.8687,0.3140,0.7315,0.7862,0.6573,1.0723,0.8864,1.2046,1.0871,0.0072
2/20/17 21:00,57,0.2671,0.0000,0.1784,0.9754,0.3656,0.7931,0.8315,0.7347,0.9743,0.8602,1.2497,1.0511,0.0163
2/21/17 0:00,60,0.2400,0.0000,0.1686,0.9949,0.3385,0.7584,0.7509,0.7253,0.9491,0.7364,1.1836,0.8643,0.0112
2/21/17 3:00,63,0.2612,0.0000,0.1576,1.1000,0.3283,0.8417,0.7222,0.7584,0.9159,0.7010,1.1662,0.8410,0.0113
2/21/17 6:00,66,0.2627,0.0000,0.1761,1.1038,0.3632,0.8382,0.7175,0.7873,0.8999,0.6958,1.1742,0.8090,0.0110
2/21/17 9:00,69,0.2375,0.0000,0.1846,1.0595,0.3865,0.8508,0.6803,0.8394,0.9088,0.6828,1.1494,0.7957,0.0069
2/21/17 12:00,72,0.2528,0.0000,0.1843,1.0668,0.3725,0.9101,0.6819,0.8833,0.9201,0.6566,1.1281,0.7856,0.0113
2/18/17 12:00,0,0.0058,0.0025,0.0247,0.0008,0.0134,0.0035,0.0066,0.0051,0.0196,0.0039,0.0069,0.0140,0.0025
2/18/17 15:00,3,0.0791,0.0019,0.0561,0.0759,0.0747,0.1161,0.0459,0.0669,0.0491,0.0453,0.0541,0.0830,0.0024
2/18/17 18:00,6,0.0995,0.0004,0.0556,0.0860,0.0847,0.0968,0.0584,0.0792,0.0763,0.0666,0.0567,0.0900,0.0017
2/18/17 21:00,9,0.0896,0.0007,0.0534,0.0618,0.1086,0.0865,0.0529,0.0636,0.0841,0.0956,0.0853,0.3399,0.0024
2/19/17 0:00,12,0.0935,0.0001,0.0553,0.0640,0.0863,0.0804,0.0723,0.0676,0.0923,0.2022,0.1142,0.8959,0.0008
