Date,Elapsed,Control,Paclitaxel 0.8 nM,Paclitaxel 1.5 nM,Paclitaxel 3 nM,Paclitaxel 6 nM,Erlotinib 37.04 nM,Erlotinib 111.11 nM,Erlotinib 333.33 nM,Erlotinib 1.37 nM,Erlotinib 4.12 nM,Erlotinib 12.35 nM
,0,0.02595061,0.07414704,0.03930152,0.05987421,0.03931859,0.08051518,0.05575967,0.1537744,0.03433334,0.04913544,0.04527698
,3,0.02787983,0.06603748,0.04160634,0.0584401,0.05451336,0.08012251,0.08830037,0.1432064,0.04223803,0.05367679,0.04065027
,6,0.03165292,0.07520556,0.05553772,0.06146197,0.06293023,0.09820257,0.1174265,0.1678424,0.0559304,0.06847888,0.06723257
,9,0.03090172,0.07243977,0.06687404,0.07508604,0.08140297,0.09830502,0.1229239,0.1729472,0.064518,0.08956375,0.07870547
,12,0.03455529,0.07402753,0.07172271,0.09004179,0.1497282,0.1071487,0.1362407,0.1913858,0.06555944,0.09205638,0.09451486
,15,0.0421356,0.07611041,0.08399803,0.1367358,0.2218948,0.1148485,0.1513672,0.2196753,0.06649844,0.1040927,0.09270515
,18,0.05171342,0.08083957,0.1229922,0.160467,0.3496504,0.1216093,0.1600572,0.2327531,0.06750573,0.1031195,0.1133803
,21,0.05774011,0.09456608,0.1215411,0.2155608,0.5573406,0.1271409,0.1818762,0.2584305,0.07051054,0.1151217,0.1376236
,24,0.06518383,0.1018903,0.126697,0.239292,0.7479069,0.1498648,0.223585,0.2838519,0.08051519,0.1243751,0.1359846
,27,0.05393288,0.118724,0.1474404,0.3159658,1.058836,0.1624474,0.2340848,0.3155389,0.1062609,0.144043,0.1437527
,30,0.0555548,0.1098974,0.1634376,0.368345,1.196084,0.1871517,0.2642182,0.3649476,0.1094365,0.1511452,0.154611
,33,0.06381802,0.1131413,0.1633693,0.4063832,1.407274,0.2091926,0.313678,0.4461286,0.1257409,0.1746886,0.1632328
,36,0.0771177,0.1312896,0.1842152,0.4886568,1.576329,0.242826,0.3957468,0.5386288,0.1244434,0.1820811,0.1816714
,39,0.08850525,0.1442478,0.198249,0.5536187,1.669871,0.2629719,0.4737352,0.6397679,0.1442478,0.1925126,0.1768398
,42,0.08804428,0.1630108,0.224746,0.6397338,1.762354,0.2890249,0.6010298,0.8179906,0.1585719,0.1868615,0.2166876
,45,0.1193216,0.1759861,0.2785593,0.6994885,1.920209,0.3243656,0.723766,1.030188,0.1619694,0.2016636,0.2241143
,48,0.1270556,0.1755764,0.3136439,0.7733282,2.125526,0.3339263,0.9603092,1.247285,0.1787348,0.2237728,0.2534623
,51,0.1437186,0.2040538,0.3921444,0.9067178,2.298746,0.3962078,1.182597,1.523967,0.215851,0.2355359,0.2971345
,54,0.1622767,0.2304483,0.4051198,0.9875915,2.436318,0.4688354,1.487226,1.729898,0.2345286,0.2659767,0.3420188
,57,0.2071781,0.2888542,0.4729157,1.117105,2.568496,0.569633,1.756191,2.000075,0.2755033,0.3199608,0.4043856
,60,0.2670181,0.3131487,0.5709476,1.204757,2.758806,0.6608528,1.98471,2.235082,0.3558478,0.3555063,0.4424067
,63,0.3664158,0.3876202,0.6837986,1.340554,2.922278,0.7929277,2.240733,2.440058,0.4224316,0.3953712,0.5373654
,66,0.501837,0.4724889,0.8129883,1.417979,3.098452,0.9517558,2.483234,2.677505,0.5620868,0.486813,0.6167709
,69,0.5871326,0.5580064,0.9615043,1.533767,3.2224,1.161085,2.749126,2.892469,0.6541091,0.5387484,0.7438948
,72,0.6827913,0.6593845,1.120384,1.67069,3.374211,1.373521,3.047387,3.097035,0.7870377,0.6277316,0.7835206
,0,0.03501625,0.04454286,0.06600333,0.08261514,0.08319561,0.058184,0.07073249,0.1453576,0.06441557,0.05656209,0.04619892
,3,0.03568209,0.0308505,0.0627595,0.08918815,0.1052366,0.06839351,0.08075421,0.1480551,0.06135954,0.06028396,0.06349363
,6,0.0522939,0.03351385,0.07319097,0.1021464,0.1194411,0.07979813,0.1002172,0.1710692,0.06422776,0.07621285,0.07843231
,9,0.05704013,0.03592111,0.08667846,0.1099999,0.1411918,0.1000806,0.1224118,0.2022953,0.06994714,0.08020788,0.09518069
,12,0.05878155,0.04025759,0.1013952,0.1466551,0.1968832,0.120824,0.1342261,0.2039343,0.07616163,0.09055398,0.1131413
,15,0.06156441,0.04601112,0.1178704,0.2075025,0.3029392,0.1475087,0.1543891,0.245165,0.08282001,0.0886589,0.1118096
,18,0.05838888,0.04795741,0.1275336,0.2287581,0.462894,0.1648888,0.1784275,0.2551526,0.09096372,0.08350292,0.1310506
,21,0.0623839,0.05791084,0.1412089,0.2756911,0.6701574,0.1667156,0.2136828,0.2949492,0.09736601,0.09555629,0.1489599
,24,0.05214024,0.06398875,0.1680644,0.3235973,0.9375854,0.1677741,0.244226,0.3245534,0.1109389,0.1051853,0.1770958
,27,0.06902521,0.07185929,0.1699082,0.3877738,1.252817,0.1698229,0.2731985,0.3733473,0.1342091,0.1295311,0.1913687
,30,0.06605455,0.07633236,0.1964564,0.4675549,1.478809,0.1873737,0.2913127,0.4325557,0.1239142,0.1402699,0.2126414
,33,0.07435191,0.08263221,0.2358603,0.5016492,1.710094,0.2124706,0.3464236,0.4948713,0.13537,0.14476,0.2289117
,36,0.08606383,0.1002684,0.2466674,0.5628722,1.858832,0.235775,0.4122562,0.5927495,0.1438552,0.1696009,0.2352457
,39,0.09388316,0.1017708,0.2535989,0.6147051,1.991727,0.2740863,0.5097417,0.7172271,0.1537403,0.174313,0.2553745
,42,0.1133461,0.1388187,0.2748716,0.7361608,2.099029,0.3149926,0.6182221,0.8752356,0.1689521,0.1850347,0.2840226
,45,0.1339017,0.1501379,0.329402,0.7890864,2.161925,0.3695913,0.7694697,1.163919,0.2020562,0.2132389,0.288342
,48,0.1292579,0.1659815,0.3867495,0.9168761,2.30298,0.4465212,0.9912622,1.437766,0.2328726,0.2379774,0.3165633
,51,0.162362,0.1805275,0.444575,1.085828,2.475023,0.5517237,1.329388,1.646822,0.2628012,0.2647645,0.3378872
,54,0.2026879,0.2095512,0.5067881,1.26038,2.639536,0.6308389,1.558727,1.885875,0.3127049,0.3300508,0.3710084
,57,0.2126926,0.2633987,0.5547284,1.445142,2.804834,0.7743526,1.849954,2.082263,0.3947566,0.3355482,0.4478017
,60,0.241648,0.3058075,0.6385217,1.544198,2.952992,0.9358268,2.09068,2.321111,0.4166097,0.3750376,0.4903983
,63,0.301471,0.389208,0.7997739,1.74704,3.111308,1.112154,2.441765,2.569759,0.5441775,0.4207755,0.5328923
,66,0.3647768,0.4404946,0.8899011,1.787792,3.243775,1.247524,2.718924,2.824178,0.6971495,0.4767742,0.6068687
,69,0.4543747,0.4820839,0.9988766,1.953381,3.408561,1.40345,2.903378,3.059116,0.7891206,0.5544212,0.7090834
,72,0.5502554,0.5631624,1.104113,2.08561,3.535105,1.646959,3.159163,3.20432,0.8276879,0.6368484,0.8268855
,0,0.03151634,0.08987106,0.0669594,0.05960105,0.06895692,0.04990371,0.04677939,0.04901592,0.05185001,0.09017837,0.0668399
,3,0.03733815,0.08290537,0.08206881,0.06366436,0.06407411,0.07800549,0.06197416,0.06286194,0.05010858,0.08795891,0.06231561
,6,0.0400015,0.09651238,0.1073707,0.08881255,0.08437363,0.1010367,0.06335706,0.07860304,0.05712549,0.08662724,0.07703234
,9,0.0413161,0.1117584,0.1482941,0.1119632,0.1142339,0.1154461,0.08848817,0.1047073,0.06368143,0.09523191,0.09965377
,12,0.0484013,0.1023683,0.1500697,0.1522208,0.1668351,0.1190655,0.0970587,0.1323993,0.06900814,0.1025049,0.1047756
,15,0.05832058,0.1250751,0.1662717,0.1850518,0.3093415,0.1303847,0.1070463,0.1479356,0.08285415,0.1119632,0.1196972
,18,0.07189343,0.132553,0.1659815,0.2419894,0.4725231,0.1492672,0.1299921,0.1884492,0.0995001,0.1243922,0.1153607
,21,0.07455679,0.1355407,0.1842664,0.2992857,0.7030396,0.1548671,0.1486526,0.2140413,0.1064999,0.1219849,0.1271409
,24,0.08789062,0.1378626,0.2033026,0.3673719,0.9989108,0.1641205,0.1786836,0.2546745,0.12598,0.1322115,0.1308628
,27,0.09400268,0.1318189,0.2104731,0.3960029,1.295226,0.1722813,0.198727,0.2800788,0.1406284,0.1569841,0.1498989
,30,0.1197484,0.161184,0.2216046,0.4877349,1.557856,0.1972076,0.2300556,0.3416603,0.1568988,0.1672961,0.1606718
,33,0.1204655,0.1917101,0.2323092,0.5273778,1.776439,0.2419553,0.2660621,0.4153634,0.1768568,0.177352,0.1706765
,36,0.127619,0.200366,0.235314,0.5849472,1.972963,0.271218,0.3159828,0.505832,0.2170632,0.2272215,0.1983002
,39,0.1420967,0.2519941,0.2681279,0.6660429,2.160218,0.307822,0.3954395,0.6300877,0.2213655,0.2607524,0.2058635
,42,0.1452893,0.2522502,0.333619,0.7728331,2.325328,0.3459114,0.5366484,0.857275,0.2551014,0.2636377,0.2168754
,45,0.1641718,0.2639962,0.3800057,0.934461,2.498395,0.3745424,0.7016738,1.064812,0.2900493,0.2951882,0.2358091
,48,0.1735447,0.2936858,0.4205536,1.062865,2.664633,0.3959688,0.8784111,1.32145,0.3145317,0.3028197,0.3029222
,51,0.2142121,0.3485065,0.4290387,1.147939,2.762681,0.4926348,1.114459,1.644227,0.3639402,0.3344727,0.3341653
,54,0.2598305,0.4053929,0.4660525,1.230417,2.97423,0.5718524,1.347639,1.894497,0.4064685,0.3460822,0.376557
,57,0.3108781,0.4444725,0.5252438,1.35148,3.171455,0.7051396,1.59149,2.193936,0.4643111,0.3765399,0.4174292
,60,0.329163,0.5035443,0.5935178,1.481507,3.300884,0.8403388,1.840018,2.55465,0.5533968,0.396737,0.4530772
,63,0.3759424,0.5891643,0.6699696,1.611072,3.46147,1.01711,2.053291,2.733419,0.6232244,0.4273314,0.4901763
,66,0.4591551,0.6634308,0.8308634,1.759947,3.663885,1.240422,2.283124,2.936875,0.7573652,0.4586941,0.5354533
,69,0.5460384,0.7171246,0.9887866,1.88369,3.862356,1.404047,2.484839,3.09922,0.9001276,0.5599186,0.6063223
,72,0.5951226,0.7810622,1.156595,1.94114,4.054185,1.628367,2.60201,3.314713,1.096089,0.6655136,0.7687527
