Date,Elapsed,Control,PIM447 2.5 µM,PIM447 5 µM,PIM447 10 µM,PIM447 20 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,0,0.9046178,0.945712,1.121835,1.035105,0.9768869,0.9401804,0.8869475,0.8624481,0.8067396,0.9182078,0.8813647
,3,1.24201,1.368963,1.505357,1.449888,1.372958,1.268592,1.171311,1.154205,1.275763,1.376646,1.277743
,6,1.178363,1.287304,1.478075,1.371148,1.287697,1.1428,1.14811,1.153778,1.109354,1.277026,1.199021
,9,1.26627,1.299665,1.479304,1.393155,1.309021,1.1589,1.147393,1.135322,1.188999,1.375178,1.233235
,12,1.189818,1.262753,1.408418,1.280065,1.215018,1.056446,0.9525411,1.003298,1.043829,1.238476,1.053783
,15,1.248583,1.251144,1.437852,1.316003,1.197621,0.9888719,0.8887913,0.9159029,1.111933,1.258724,1.086238
,18,1.110054,1.151695,1.348442,1.202674,1.141844,0.8609799,0.73809,0.7478557,0.9649359,1.138959,0.9950864
,21,1.024435,1.068414,1.297752,1.231425,1.132932,0.8369072,0.6838498,0.7116784,0.9895378,1.111215,0.9849793
,24,1.19366,1.180923,1.500577,1.570661,1.384824,1.064556,0.872982,0.8577019,1.216571,1.388699,1.256522
,27,0.7946009,0.8390925,1.222308,1.241617,1.045263,0.8261172,0.6472629,0.6420045,0.8425754,0.9952742,0.9178834
,30,0.651036,0.7162881,1.138617,1.173207,0.9310465,0.7272317,0.5921007,0.5838375,0.6414752,0.7860645,0.7549067
,33,0.5893862,0.6969105,1.192755,1.278119,0.9527801,0.7189173,0.6232586,0.5811571,0.6469385,0.7718941,0.7410948
,36,0.4651476,0.601764,1.154358,1.288414,0.8564214,0.6824157,0.5884984,0.5593552,0.547575,0.6572846,0.613288
,39,0.4512333,0.5780328,1.188914,1.427318,0.8894913,0.6895692,0.654331,0.6148417,0.5674477,0.7072225,0.7006494
,42,0.358494,0.4721304,1.133376,1.405465,0.8426778,0.6248463,0.5849131,0.5792791,0.4587624,0.5744304,0.5529017
,45,0.3315703,0.4640208,1.103311,1.53643,0.8882962,0.6552529,0.5997152,0.6441044,0.4661379,0.5933129,0.6124515
,48,0.3935786,0.5404898,1.287253,1.856766,1.074867,0.7935936,0.8287805,0.8139614,0.6416118,0.846229,0.8124249
,51,0.2798569,0.4187097,1.032271,1.639737,0.8624651,0.6049224,0.6777719,0.7102956,0.4125635,0.5324314,0.5472677
,54,0.2674108,0.3999467,1.002667,1.698758,0.8814842,0.6259219,0.7066078,0.7557945,0.4073734,0.5532602,0.5111758
,57,0.2432016,0.4088929,0.9273075,1.652678,0.8317171,0.5693257,0.6745793,0.7631016,0.3472089,0.472045,0.4432774
,60,0.2897249,0.4416896,0.9566556,1.768978,0.8798623,0.6158831,0.698208,0.8034617,0.3889006,0.5188757,0.5067198
,63,0.2745131,0.4060588,0.8768916,1.757932,0.8462631,0.5926641,0.6906618,0.8081737,0.3758229,0.4826472,0.4560308
,66,0.2999515,0.4224316,0.8613384,1.828425,0.9050447,0.6232756,0.7007348,0.853058,0.4017223,0.5341045,0.5139587
,69,0.2851323,0.4256071,0.7892571,1.742976,0.8430704,0.5723305,0.7090834,0.835234,0.3539698,0.4714304,0.4499187
,72,0.4681183,0.6070223,0.9712529,2.34095,1.245988,0.8566433,0.9459851,1.135442,0.5921007,0.7842718,0.7838963
,0,0.9150493,1.112189,1.088918,1.162485,1.198662,1.061431,1.089482,1.095423,0.7387388,0.8716332,0.9486656
,3,1.270214,1.544164,1.468019,1.573324,1.665705,1.3369,1.368451,1.368792,1.173053,1.390236,1.358737
,6,1.25449,1.524137,1.452039,1.53853,1.594016,1.233986,1.310028,1.370773,1.093528,1.280543,1.201138
,9,1.360205,1.54932,1.504862,1.569551,1.618806,1.26219,1.36449,1.407991,1.194565,1.318342,1.283241
,12,1.240832,1.4511,1.468531,1.470341,1.459056,1.067646,1.1274,1.199482,1.063156,1.145429,1.091991
,15,1.285255,1.500594,1.490436,1.488899,1.47239,1.007908,1.005228,1.137064,1.102901,1.197245,1.124088
,18,1.155297,1.320835,1.382126,1.385165,1.387641,0.8177515,0.8393486,0.9097567,0.9899305,1.023513,0.9662505
,21,1.052741,1.245356,1.319725,1.396057,1.386958,0.8161126,0.7848352,0.8435144,0.9624945,1.089414,0.9803526
,24,1.257068,1.407326,1.543191,1.82484,1.668232,0.9961108,0.966131,1.055627,1.243734,1.280287,1.289575
,27,0.8372999,1.034917,1.245732,1.461771,1.288158,0.7450386,0.7302707,0.7930985,0.8777282,0.9222028,0.9443632
,30,0.600603,0.8389047,1.127076,1.410672,1.156185,0.6699355,0.6673234,0.6971666,0.6947423,0.7174661,0.7739087
,33,0.5590308,0.7961887,1.178994,1.458015,1.156885,0.681084,0.6692184,0.6989422,0.6757744,0.7094761,0.7877206
,36,0.4287485,0.6546383,1.133205,1.462897,1.094143,0.6451117,0.6325803,0.6595382,0.5649039,0.6056224,0.6652746
,39,0.3932542,0.6161221,1.154546,1.618345,1.156219,0.7047298,0.6511555,0.6931033,0.6107442,0.6626967,0.6968934
,42,0.2994393,0.4913885,1.045246,1.552359,1.078487,0.6464093,0.6319315,0.6828084,0.4812302,0.5423507,0.5909569
,45,0.2934639,0.4646696,1.049771,1.657442,1.116132,0.6844645,0.6694233,0.6944008,0.5042955,0.5470287,0.6293365
,48,0.3352239,0.5277706,1.145788,2.08549,1.40205,0.9326513,0.8831744,0.9145883,0.6805207,0.732917,0.830044
,51,0.2324287,0.4140147,0.9404024,1.804199,1.16776,0.7329682,0.7538652,0.841312,0.4473578,0.4630477,0.5665428
,54,0.2333506,0.4020979,0.9070421,1.894446,1.18176,0.7468142,0.7768964,0.9126762,0.4489456,0.4919519,0.5604649
,57,0.2154754,0.3955932,0.8341585,1.829638,1.126325,0.7056688,0.7367584,0.8559604,0.4134854,0.4420994,0.4917129
,60,0.2261459,0.4067758,0.7996373,1.883246,1.159565,0.7330023,0.8008153,0.9314733,0.4443189,0.4913543,0.5491627
,63,0.2334018,0.3844788,0.7552823,1.866293,1.088714,0.7211709,0.7938839,0.9599848,0.4071002,0.4720109,0.5038517
,66,0.2535989,0.4191536,0.7276927,1.970249,1.199789,0.7504507,0.8612359,1.020269,0.4564064,0.4997883,0.531629
,69,0.2614524,0.3964297,0.6471434,1.894412,1.104523,0.7237489,0.815976,1.010828,0.3819691,0.4496114,0.5027077
,72,0.4208267,0.5620185,0.8219686,2.502407,1.556849,1.037632,1.117003,1.342551,0.625717,0.7682064,0.8103079
,0,0.9884964,0.9798917,1.032868,1.072272,1.231135,1.096994,1.183621,1.080416,0.7431606,0.9147932,0.925532
,3,1.367887,1.357558,1.473397,1.53404,1.642008,1.463102,1.443827,1.310233,1.217698,1.35119,1.419772
,6,1.335261,1.28937,1.379087,1.465066,1.577985,1.416425,1.499279,1.332188,1.14362,1.226354,1.272604
,9,1.387743,1.37656,1.470444,1.530335,1.604823,1.42223,1.531393,1.330464,1.219935,1.316345,1.316191
,12,1.360427,1.233081,1.359385,1.399779,1.482787,1.311086,1.296199,1.170065,1.124259,1.175221,1.157534
,15,1.347742,1.299631,1.406813,1.439986,1.493509,1.298948,1.168512,1.086545,1.182716,1.231374,1.164363
,18,1.243256,1.11953,1.317898,1.327357,1.364541,1.168051,0.9564337,0.9042081,1.059963,1.111574,0.9978693
,21,1.133291,1.015523,1.317386,1.304718,1.34839,1.132317,0.8907377,0.8404242,1.084667,1.125744,1.030512
,24,1.277248,1.20083,1.636493,1.671253,1.60006,1.373419,1.051648,1.016103,1.35708,1.346,1.211552
,27,0.8953131,0.8149687,1.229632,1.352966,1.292119,1.062285,0.8171881,0.7825987,0.9685383,0.9848086,0.9437827
,30,0.7115419,0.6377704,1.157414,1.248754,1.169485,0.9520801,0.746063,0.6800085,0.7323194,0.8427461,0.8035129
,33,0.6097711,0.6157978,1.18106,1.319281,1.141571,0.8975155,0.777272,0.67895,0.7547871,0.7989203,0.8034104
,36,0.4926518,0.5021955,1.104164,1.321859,1.081406,0.8276025,0.7040299,0.6589065,0.6471092,0.6693892,0.7029713
,39,0.4304216,0.4876666,1.164824,1.474575,1.134622,0.8447436,0.7353925,0.6886131,0.6602041,0.7215123,0.7572628
,42,0.3260046,0.3782985,1.08168,1.448778,1.022881,0.7732428,0.7452776,0.6270658,0.536324,0.6056736,0.6410484
,45,0.285764,0.3927591,1.103806,1.566768,1.051409,0.767882,0.7532677,0.7033128,0.5332509,0.6132027,0.6727695
,48,0.3220095,0.5206,1.307535,1.951332,1.303386,0.9303977,1.004562,0.9460193,0.6759622,0.808464,0.864292
,51,0.2346311,0.3946712,1.011169,1.662973,1.101484,0.722622,0.8683723,0.8305562,0.4599917,0.551348,0.5882764
,54,0.2387627,0.4093367,0.9996278,1.736847,1.115945,0.7190027,0.9227149,0.8872548,0.4949055,0.5254487,0.6067663
,57,0.2345628,0.4114538,0.8789403,1.724657,1.040227,0.6782841,0.928588,0.8586237,0.4153805,0.5022297,0.5426068
,60,0.2713205,0.4317192,0.8785818,1.827162,1.102969,0.7009226,0.960036,0.9350586,0.4438238,0.526473,0.5950543
,63,0.2641158,0.4296533,0.7790988,1.798599,1.07625,0.6687917,0.9464803,0.9409145,0.4156537,0.498798,0.5735597
,66,0.2738643,0.4792668,0.7864742,1.886695,1.11381,0.7150418,0.9706724,1.022642,0.4590868,0.5377752,0.6278511
,69,0.2893835,0.4285948,0.6662819,1.801894,1.062217,0.6655649,0.9395146,1.01052,0.4055295,0.4835521,0.5658258
,72,0.4187609,0.6421752,0.9222028,2.370503,1.401111,0.9339659,1.283292,1.310062,0.6778743,0.8040763,0.8747575
