Date,Elapsed,Control,LCL161 5 µM,LCL161 10 µM,LCL161 20 µM,LCL161 40 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,0,0.04949396,0.110512,0.06426191,0.0687179,0.06924716,0.08198344,0.09195394,0.08923937,0.08287123,0.06009615,0.07052761
,3,0.05430848,0.1028805,0.06649844,0.07240562,0.08140297,0.07489824,0.1114852,0.101344,0.07609334,0.05879862,0.08181272
,6,0.05692062,0.1181777,0.0630156,0.07629821,0.09543679,0.09741723,0.1517599,0.1387163,0.08678089,0.05796206,0.0823249
,9,0.0492208,0.1249215,0.06132539,0.08357121,0.1024708,0.1012927,0.1629255,0.1423186,0.08095908,0.05610112,0.07689576
,12,0.04491846,0.1194411,0.07506897,0.09388316,0.1219508,0.1127998,0.1531086,0.1236581,0.07725429,0.06516677,0.07622992
,15,0.04717207,0.1190996,0.07406168,0.1180924,0.1485502,0.131853,0.1732374,0.141004,0.0779372,0.07752745,0.07273
,18,0.06093272,0.1200728,0.08975156,0.1213874,0.1778471,0.1303335,0.1632669,0.1432576,0.06806914,0.08252978,0.06900813
,21,0.06902521,0.1336286,0.09613677,0.1404065,0.2150315,0.1428479,0.1761056,0.1607401,0.08833452,0.09405389,0.07344706
,24,0.0880955,0.1243239,0.1023854,0.1530915,0.2598646,0.191198,0.215612,0.1984368,0.08980277,0.1282507,0.08410047
,27,0.07296902,0.1362919,0.09033203,0.1656912,0.2837495,0.1837884,0.1894224,0.1836518,0.09202224,0.1260141,0.07870547
,30,0.07266171,0.1121339,0.1014464,0.1655717,0.3059953,0.175713,0.2046001,0.1834469,0.08628578,0.1350798,0.06810328
,33,0.06602041,0.1899687,0.1035293,0.1808006,0.3711791,0.2012367,0.21959,0.2176266,0.0915442,0.1443161,0.07322511
,36,0.07810792,0.113073,0.1109901,0.1788373,0.3813545,0.2041903,0.2245581,0.2145023,0.08423705,0.1315628,0.07006665
,39,0.06760817,0.1143534,0.1235556,0.198949,0.4934714,0.2385066,0.2781496,0.2512941,0.09504411,0.1357285,0.07378852
,42,0.0821371,0.1200045,0.1364968,0.1982149,0.5298534,0.2482381,0.2861226,0.2490746,0.09432705,0.1444527,0.07419826
,45,0.0774933,0.1169485,0.1507696,0.2183437,0.572911,0.2513624,0.3177413,0.2841592,0.1011732,0.1868103,0.07148369
,48,0.1038707,0.1808177,0.2429284,0.3315191,0.8294635,0.4088758,0.4093367,0.3774107,0.1453405,0.2799251,0.1294116
,51,0.09161249,0.1614913,0.2057952,0.2756228,0.7822231,0.3668938,0.3642817,0.3445797,0.1235556,0.2688279,0.1157534
,54,0.09313197,0.1737154,0.2265044,0.3248777,0.8358146,0.3947395,0.3767278,0.3681743,0.1319896,0.2963833,0.1324506
,57,0.1308628,0.1838737,0.2298678,0.3070879,0.8869134,0.3978297,0.3880982,0.3660231,0.1383236,0.3100586,0.1298043
,60,0.1321945,0.2099097,0.2865664,0.3366067,0.9930377,0.4335971,0.4204511,0.3906079,0.1664424,0.3328849,0.144282
,63,0.1142851,0.1995124,0.2836641,0.3429066,1.044546,0.4453773,0.4329143,0.3899762,0.1584353,0.3642988,0.1382211
,66,0.1318359,0.2392407,0.3172462,0.3783497,1.176024,0.5113978,0.4700304,0.4365678,0.1786665,0.4162,0.1493355
,69,0.1350627,0.2585159,0.3373409,0.4134513,1.198218,0.5422142,0.4497992,0.4236608,0.1644449,0.4548528,0.15765
,72,0.2307043,0.3934762,0.4962884,0.5802352,1.455983,0.6767305,0.5888911,0.5834107,0.2387115,0.5851692,0.2649182
,0,0.04635257,0.07114223,0.09845867,0.08406632,0.07472751,0.09681968,0.08297367,0.1217118,0.06390338,0.09847574,0.05552065
,3,0.04599404,0.07752745,0.09772454,0.08713942,0.08756624,0.09326854,0.0949929,0.1237605,0.06641307,0.1006952,0.06692526
,6,0.04237461,0.09118567,0.1075755,0.09907328,0.106978,0.107678,0.1308457,0.1301457,0.06234976,0.09869769,0.07783476
,9,0.04215267,0.09070763,0.1027951,0.1049122,0.1091633,0.1047414,0.12388,0.1268507,0.06315218,0.1055097,0.07582018
,12,0.03853324,0.09077592,0.09890256,0.1147973,0.1179046,0.1036829,0.1267995,0.1211996,0.06549115,0.1040244,0.07071541
,15,0.0430746,0.1021635,0.1005415,0.120824,0.1308969,0.111195,0.1333554,0.1186045,0.07204709,0.1090609,0.07044225
,18,0.042699,0.1000294,0.1149851,0.1392114,0.1508209,0.1223947,0.1483794,0.1104096,0.07687868,0.1068926,0.06994714
,21,0.04853788,0.0983733,0.1237605,0.141943,0.1715984,0.129736,0.1691912,0.1211142,0.08007129,0.1141144,0.07744209
,24,0.05219146,0.1195094,0.1573597,0.1639669,0.2409651,0.1439405,0.175969,0.1669205,0.08826622,0.1404406,0.09509533
,27,0.04995493,0.1093682,0.1571548,0.1624986,0.2169096,0.1471161,0.1474575,0.1551915,0.08428827,0.1404748,0.1052707
,30,0.05321582,0.1169826,0.1656912,0.1624303,0.2296288,0.1453405,0.1458697,0.1598011,0.08065176,0.1538257,0.09849282
,33,0.05425727,0.1169485,0.1828664,0.1605011,0.2583281,0.1548159,0.1684229,0.1687985,0.09174907,0.164701,0.09839038
,36,0.04886227,0.1265604,0.1823031,0.1735447,0.312039,0.1882614,0.1525281,0.1801519,0.08881255,0.1827469,0.105339
,39,0.05422312,0.1395016,0.1757642,0.1850347,0.3452968,0.1864176,0.1780178,0.2011855,0.09343927,0.1974978,0.1115876
,42,0.04761596,0.1392455,0.193093,0.1931613,0.3719645,0.196832,0.1648376,0.1965247,0.09378073,0.1930077,0.1032732
,45,0.04449164,0.1587085,0.2312165,0.2070244,0.395081,0.2181046,0.1863322,0.2231923,0.09564166,0.1981124,0.1101023
,48,0.09299538,0.2448406,0.3361629,0.3536454,0.6715745,0.3438798,0.2964516,0.3670133,0.1462624,0.2835958,0.1726057
,51,0.09086128,0.2188729,0.2862079,0.3280703,0.6293535,0.3090342,0.2566549,0.3326629,0.1102389,0.2508331,0.1423528
,54,0.1021293,0.2233289,0.2937199,0.3737059,0.6739135,0.3762497,0.2623914,0.3612086,0.1070975,0.2512258,0.1666985
,57,0.1051,0.2286556,0.3071392,0.3688914,0.6838157,0.3728693,0.2549818,0.3558136,0.1116901,0.2804032,0.1527842
,60,0.08404925,0.2450625,0.3215656,0.3916494,0.7489312,0.4331703,0.2717985,0.3924859,0.1195777,0.2888713,0.1666132
,63,0.09827086,0.2486137,0.3518015,0.4060076,0.7684283,0.4474944,0.286225,0.3987687,0.1158558,0.3208144,0.1645303
,66,0.09719528,0.2877274,0.3844276,0.4360044,0.8003886,0.5041077,0.3075148,0.4317704,0.1225825,0.3437773,0.1722301
,69,0.09847574,0.3035709,0.395559,0.4520187,0.8230612,0.5340021,0.3106049,0.4176853,0.1256556,0.3423944,0.1775056
,72,0.144743,0.4398458,0.5503749,0.5858009,1.065102,0.7197539,0.4251461,0.5606186,0.1879712,0.4767571,0.2647645
,0,0.05125246,0.1028976,0.1079682,0.1050146,0.1119291,0.07757867,0.08497118,0.1020781,0.07785183,0.07225196,0.07682747
,3,0.04643793,0.1027952,0.1148144,0.1318189,0.1118437,0.07894449,0.0944295,0.1107169,0.08273464,0.08741259,0.08681504
,6,0.04211853,0.1048097,0.1155827,0.1751837,0.1226337,0.08440778,0.09611969,0.1125437,0.08731015,0.09453193,0.08247856
,9,0.04254534,0.1179046,0.1073707,0.1734594,0.1336627,0.08488582,0.09316611,0.1138242,0.07552993,0.1090096,0.08799306
,12,0.04099172,0.1231288,0.1088901,0.176669,0.1419772,0.08292244,0.09161249,0.1106828,0.0764348,0.1063975,0.09123689
,15,0.04020637,0.1223093,0.1098462,0.1858883,0.1734594,0.0819493,0.1005415,0.1290531,0.07996885,0.1147973,0.09758796
,18,0.04145268,0.1232142,0.1138754,0.1924443,0.1792299,0.08654188,0.1036146,0.1270043,0.07629821,0.1214898,0.09504411
,21,0.03940395,0.1225825,0.1194923,0.1886883,0.2189924,0.1030171,0.1059536,0.1369748,0.07803964,0.1185021,0.0974343
,24,0.04135025,0.1476965,0.1427967,0.2210924,0.2662157,0.1159583,0.1520672,0.1766349,0.09405389,0.1434625,0.1064487
,27,0.03785033,0.1374187,0.1319384,0.2140755,0.2618963,0.1096243,0.1388187,0.1656912,0.09004179,0.1315116,0.09442949
,30,0.03416261,0.1399284,0.1286092,0.2039001,0.2757252,0.1321262,0.1429844,0.1671253,0.07044225,0.141004,0.09081007
,33,0.03742351,0.1427113,0.1551403,0.2402822,0.3008734,0.1599206,0.156711,0.1829347,0.07249098,0.1477136,0.08929059
,36,0.04029174,0.1348749,0.1564549,0.2630573,0.2965199,0.1623108,0.1588451,0.1805958,0.080003,0.1264068,0.09137347
,39,0.04498675,0.1572402,0.1749105,0.2701083,0.3467992,0.1900882,0.155072,0.2100463,0.07839816,0.1491307,0.09451486
,42,0.04384287,0.1519989,0.1811421,0.2706375,0.3585794,0.2061878,0.1680814,0.2134779,0.07984935,0.1304189,0.09087836
,45,0.04172585,0.1769934,0.1935028,0.2823324,0.3847861,0.2142974,0.1727594,0.2353481,0.07607627,0.1410894,0.09560751
,48,0.05422312,0.2584135,0.3090342,0.384769,0.588635,0.3762839,0.2927468,0.380774,0.100883,0.2539233,0.1488063
,51,0.05536699,0.2050269,0.269562,0.3640597,0.5356923,0.3342507,0.2461894,0.3415749,0.08659309,0.2620158,0.116607
,54,0.05178171,0.2378749,0.2936687,0.4043685,0.5704354,0.3663816,0.2655499,0.3568209,0.08684918,0.2629719,0.1161973
,57,0.04916958,0.2596768,0.3044075,0.3899762,0.5939617,0.3852641,0.2643206,0.3550283,0.09442949,0.2796008,0.1188948
,60,0.06234976,0.2699034,0.3247753,0.4435847,0.6703111,0.4093538,0.2960931,0.367406,0.1006611,0.3151975,0.1437186
,63,0.07373729,0.2767325,0.3435041,0.4290558,0.7082468,0.4451213,0.310861,0.3620622,0.09989278,0.3209339,0.1446747
,66,0.0859614,0.3244509,0.3743717,0.4693988,0.7572798,0.4675891,0.3360946,0.3990077,0.1228044,0.3502991,0.1694131
,69,0.0833322,0.3063197,0.3881836,0.4999419,0.790657,0.4687329,0.3474138,0.3865617,0.1288141,0.3902323,0.1659303
,72,0.1305384,0.4552796,0.5160245,0.6825694,0.9903402,0.5965568,0.4488944,0.5373313,0.1934857,0.5292217,0.2401797
