Date,Elapsed,Control,Erlotinib 1.37 nM,Erlotinib 4.12 nM,Erlotinib 12.3 nM,Erlotinib 37.0 nM,Erlotinib 111 nM,Erlotinib 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,63,0.4463164,0.8515557,0.5936544,0.6264853,1.877715,2.862489,2.475142,0.4810424,0.571972,0.8114517,1.973083
,66,0.5310827,1.13831,0.8084128,0.720966,2.154481,3.192847,2.668269,0.6329046,0.7131467,0.8723161,1.972144
,69,0.6773964,1.52885,1.041234,0.8188613,2.45165,3.507993,2.949014,0.8439753,0.908886,0.9113787,1.986451
,72,0.8624822,2.064218,1.414803,0.913325,2.716824,3.833042,3.181238,1.086477,1.157858,0.963553,2.029765
,0,0.1190655,0.1652132,0.2199144,0.1806982,0.1756105,0.4319923,0.2008953,0.1497794,0.1313579,0.03247241,0.05862789
,3,0.274718,0.2474869,0.2590281,0.2081683,0.2955296,0.5226658,0.2703815,0.2208704,0.1668693,0.1045024,0.1087194
,6,0.2653962,0.2535306,0.2745472,0.2094487,0.3133024,0.5240999,0.2864299,0.2637572,0.1657595,0.104861,0.1200387
,9,0.2595061,0.2370042,0.2756911,0.2016294,0.3143268,0.4763986,0.2723619,0.2407773,0.1790763,0.1054244,0.1349261
,12,0.2477088,0.2538209,0.2037294,0.1939125,0.306866,0.4443359,0.2820592,0.2319507,0.1705741,0.1325188,0.1803397
,15,0.2552891,0.234853,0.1909589,0.2106097,0.293276,0.4327947,0.2841251,0.2318994,0.1643425,0.15625,0.2478113
,18,0.2548965,0.2330775,0.1824396,0.2160901,0.2815812,0.4582673,0.2870786,0.2627158,0.1680644,0.1910101,0.3741668
,21,0.2462918,0.2273069,0.1868273,0.2124365,0.279652,0.4755108,0.293498,0.2747521,0.1539623,0.2202046,0.5042443
,24,0.2408456,0.2394285,0.2068195,0.2069732,0.2918761,0.4956055,0.3049709,0.3025807,0.1794348,0.2603768,0.6721208
,27,0.2412895,0.2428431,0.2207851,0.2113438,0.3142585,0.5091271,0.3126878,0.3126537,0.1840274,0.3395945,0.8076957
,30,0.2307726,0.2299531,0.2451138,0.2249337,0.3267387,0.524117,0.3204218,0.3192096,0.2004343,0.3929298,0.9833745
,33,0.2358774,0.2172339,0.263467,0.2344604,0.3612769,0.5859716,0.3609184,0.3191071,0.1830713,0.4697573,1.115057
,36,0.2467357,0.2333848,0.283186,0.2508332,0.3838642,0.6219952,0.452104,0.3144121,0.2155779,0.5332509,1.20573
,39,0.2429797,0.2733521,0.2798568,0.2556647,0.4885885,0.7057542,0.5364435,0.346065,0.2119414,0.5654331,1.308935
,42,0.252899,0.3168194,0.2899298,0.2674962,0.5244414,0.8297537,0.6515652,0.3782814,0.2218948,0.6153197,1.362663
,45,0.2641328,0.383113,0.3260899,0.3092391,0.588635,0.9799429,0.847663,0.4000833,0.2546745,0.6514286,1.412413
,48,0.2870957,0.4083124,0.3392872,0.3451773,0.6744598,1.175802,1.087996,0.4117611,0.2522502,0.6981056,1.46761
,51,0.2741204,0.4350313,0.3815252,0.3776668,0.8322464,1.504692,1.373368,0.4557235,0.2591988,0.7515775,1.50896
,54,0.3265509,0.4872057,0.4446774,0.4268875,1.042924,1.757795,1.725238,0.5239633,0.3072416,0.7893083,1.533408
,57,0.3597574,0.5607551,0.5179196,0.4785668,1.303967,2.065805,2.088478,0.5608064,0.3532356,0.8452046,1.575117
,60,0.4048978,0.6287048,0.5995104,0.5437336,1.568988,2.385202,2.336033,0.6541432,0.339236,0.8803574,1.582322
,63,0.4479212,0.7466264,0.770238,0.6878449,1.844645,2.759916,2.633099,0.7921595,0.4059734,0.9358268,1.588946
,66,0.5250047,0.9903573,1.089857,0.8959619,2.176744,3.120681,2.987854,0.9439364,0.4699109,0.9506631,1.660156
,69,0.6240268,1.315201,1.418201,1.13703,2.509766,3.389474,3.280294,1.291282,0.6269121,1.000686,1.597226
,72,0.7766574,1.771488,1.814716,1.474473,2.882259,3.750154,3.545229,1.652815,0.8198003,1.070992,1.601904
