Date,Elapsed,Control,PIM447 2.5 µM,PIM447 5 µM,PIM447 10 µM,PIM447 20 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,12,0.04181122,0.1560793,0.1172558,0.1782227,0.3549429,0.06900814,0.0827005,0.08647358,0.07261049,0.07076664,0.09164663
,15,0.03909665,0.1543549,0.1227703,0.1922223,0.4148,0.06388631,0.08872719,0.09589775,0.07704941,0.0748641,0.09470266
,18,0.03878934,0.1558573,0.1278068,0.1921711,0.4107026,0.06153027,0.08630285,0.1009513,0.0796274,0.06535456,0.09533435
,21,0.03508454,0.1544061,0.1327408,0.1974466,0.4555015,0.07261049,0.08766868,0.09603433,0.07546164,0.08206881,0.09570995
,24,0.03873812,0.164223,0.1503599,0.2401114,0.5286071,0.08674675,0.1014293,0.1096926,0.08620042,0.09680261,0.1059195
,27,0.03308703,0.1495745,0.1349602,0.2176095,0.5134124,0.09495875,0.09461729,0.09999522,0.08118103,0.09396853,0.09632457
,30,0.03219924,0.1334408,0.1244605,0.2219289,0.593091,0.106739,0.1085145,0.1171704,0.08840281,0.09646115,0.09611969
,33,0.03465772,0.1281824,0.1286775,0.2314726,0.7036884,0.1238459,0.1159241,0.1413284,0.0870882,0.08157369,0.09530021
,36,0.02668474,0.1190826,0.1298043,0.2720546,0.7895474,0.122941,0.12668,0.1655034,0.07665674,0.08034445,0.08770283
,39,0.02704327,0.1116559,0.1271068,0.3007539,0.890106,0.1348066,0.1584524,0.186981,0.09582946,0.0894101,0.09833916
,42,0.02844324,0.1098804,0.1350968,0.3240412,1.046851,0.1380504,0.1654522,0.2036099,0.0859614,0.07769818,0.09827086
,45,0.03175535,0.1087706,0.1256727,0.3753107,1.245885,0.1473551,0.1783763,0.2413919,0.08980277,0.07930302,0.1056122
,48,0.0532329,0.1480721,0.1647864,0.5692915,1.811967,0.2661304,0.2806422,0.3543966,0.1256044,0.1217289,0.132092
,51,0.04582331,0.1348237,0.1596645,0.5629405,1.905133,0.2422626,0.2655669,0.3418481,0.09678554,0.1042122,0.1152071
,54,0.04905007,0.1554476,0.1708472,0.6161734,2.150384,0.2716107,0.2736765,0.3534746,0.108395,0.1080194,0.1253141
,57,0.04124781,0.1594768,0.1833445,0.6310267,2.379603,0.271218,0.2927468,0.3569746,0.1041098,0.1278409,0.1418747
,60,0.04662574,0.1791958,0.2227143,0.7090834,2.65753,0.2940443,0.3080098,0.3882177,0.1276531,0.1179216,0.1459893
,63,0.06578138,0.2056415,0.221946,0.7728502,2.901142,0.3080099,0.3261923,0.3991102,0.1253312,0.1232142,0.1505477
,66,0.07604212,0.2282971,0.2323263,0.8734258,3.168433,0.3291972,0.3542088,0.4048978,0.1462795,0.1253824,0.161423
,69,0.0838273,0.2223728,0.2433894,0.9577141,3.40711,0.3199096,0.3472089,0.4059051,0.1472868,0.1259458,0.1416186
,72,0.1422845,0.2516526,0.3232217,1.252902,4.120479,0.439436,0.4670256,0.523656,0.2068025,0.2083049,0.1924613
,0,0.03187486,0.0732934,0.06945203,0.08051519,0.0744885,0.04753059,0.04937445,0.06371558,0.05336948,0.1136364,0.06793255
,3,0.02477259,0.06882034,0.08452728,0.1298043,0.1885175,0.06678868,0.05429141,0.07549579,0.06641307,0.1092145,0.07380559
,6,0.02123853,0.07109102,0.08731015,0.1668863,0.2869079,0.06875205,0.09284172,0.09591483,0.0648936,0.1226679,0.07803963
,9,0.02566038,0.06967398,0.08551751,0.1887395,0.339014,0.07153491,0.09241491,0.09673432,0.07290073,0.11309,0.07172271
,12,0.02535306,0.06697648,0.09441242,0.1735106,0.3265679,0.07747623,0.090793,0.1002001,0.07211538,0.1078316,0.06687404
,15,0.02615548,0.07672503,0.09560751,0.1763446,0.38523,0.07605919,0.08787355,0.101361,0.07114223,0.1130047,0.07351535
,18,0.02880176,0.07638358,0.09212466,0.1809202,0.4142025,0.07460801,0.09017838,0.1053561,0.07621285,0.1138071,0.07211538
,21,0.03213096,0.07918351,0.1068243,0.1754569,0.4137074,0.07464215,0.1102389,0.1253995,0.07230318,0.1221557,0.07283244
,24,0.0415722,0.09002472,0.1260483,0.2118901,0.4943079,0.08433948,0.1368383,0.1441112,0.07875669,0.1232654,0.07974691
,27,0.04606234,0.1026415,0.1121169,0.1946125,0.472267,0.07392509,0.1380333,0.1288653,0.07127882,0.1287799,0.07221782
,30,0.05374508,0.09040032,0.1197655,0.1944418,0.533985,0.07426655,0.1475429,0.1336969,0.06929838,0.1218142,0.07303731
,33,0.0334797,0.1013098,0.1288311,0.2080488,0.6098564,0.07001543,0.1590841,0.1564549,0.07203002,0.1261678,0.08700284
,36,0.03332605,0.09810014,0.125058,0.2231923,0.6536481,0.07428362,0.1695156,0.1693107,0.07305439,0.1271409,0.08889791
,39,0.035426,0.1155485,0.1216947,0.2363896,0.7822231,0.09250027,0.2088512,0.1900712,0.07035688,0.1312213,0.09203931
,42,0.0323529,0.1101364,0.1167436,0.2671547,0.9225613,0.09533435,0.2206826,0.2080488,0.07194465,0.1251946,0.08961497
,45,0.03231876,0.1026756,0.1256044,0.2998832,1.09264,0.08937595,0.2189412,0.2245923,0.07151784,0.1204996,0.08947839
,48,0.04604526,0.2010489,0.1831908,0.5284364,1.713509,0.192137,0.3411481,0.3891567,0.09125396,0.1523916,0.1402528
,51,0.04222097,0.2045489,0.173852,0.5130197,1.835442,0.1883127,0.3607989,0.3797667,0.0899052,0.147099,0.1158046
,54,0.04481602,0.214212,0.1887566,0.5819767,2.067751,0.1867078,0.3862714,0.3941078,0.09077592,0.1471673,0.1403552
,57,0.06805206,0.2309434,0.1944076,0.6213635,2.257123,0.1843176,0.3952176,0.4089953,0.08748088,0.1446234,0.1259629
,60,0.07725429,0.2192656,0.200349,0.7129247,2.486359,0.1836859,0.4082099,0.4234388,0.09903914,0.1528354,0.1378797
,63,0.09584653,0.2452845,0.208578,0.7846134,2.738148,0.1894736,0.4193585,0.4327094,0.09430999,0.160467,0.1353188
,66,0.0886589,0.2541965,0.2301239,0.8407144,3.041224,0.2100463,0.4274168,0.4773034,0.1103755,0.1679107,0.165879
,69,0.0934222,0.2572525,0.2347335,0.867587,3.217193,0.1985392,0.4250437,0.47674,0.1221386,0.1615425,0.1636425
,72,0.1390919,0.3265509,0.3215486,1.176416,3.834544,0.3102976,0.5164513,0.5707598,0.1492331,0.2236533,0.2287581
