Date,Elapsed,Control,PIM447 2.5 µM,PIM447 5 µM,PIM447 10 µM,PIM447 20 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,0,0.0314139,0.0754275,0.1787348,0.1363944,0.07404461,0.04855496,0.08369072,0.03899421,0.1235727,0.08456143,0.0727983
,3,0.03709913,0.08768575,0.1891322,0.1805445,0.1601255,0.0621961,0.09509533,0.06893985,0.1209776,0.09195394,0.07455679
,6,0.03756009,0.08946132,0.1906175,0.1971051,0.2450284,0.07153491,0.09728064,0.0951807,0.1218996,0.08797599,0.07769818
,9,0.03790155,0.1013098,0.175952,0.2057952,0.3111854,0.07628114,0.1060561,0.09958547,0.1202606,0.08384438,0.08215417
,12,0.03450407,0.09902207,0.1666815,0.1974637,0.2953077,0.07609334,0.1235386,0.09996107,0.1110925,0.08285416,0.08801013
,15,0.03303581,0.09302953,0.1696009,0.2075878,0.3126366,0.07426655,0.1225483,0.1047414,0.1116047,0.08690041,0.09096372
,18,0.03192608,0.1014805,0.1674668,0.2214509,0.3026661,0.07477874,0.1311701,0.1025561,0.1038024,0.08985399,0.09567581
,21,0.02943346,0.09594897,0.1610645,0.2423992,0.3740132,0.08760039,0.1345676,0.09886841,0.09832209,0.09487338,0.09874891
,24,0.03067977,0.0978782,0.172452,0.26864,0.4704573,0.112851,0.157889,0.1129876,0.09821965,0.1089755,0.1063121
,27,0.02970662,0.0895979,0.1668693,0.2583622,0.440614,0.1110072,0.1417894,0.1113145,0.08698577,0.1063804,0.09915865
,30,0.02511405,0.09702455,0.1613035,0.2341872,0.4532821,0.1025732,0.1328774,0.1207386,0.08490289,0.1063975,0.099944
,33,0.02726521,0.08613213,0.1606548,0.2499624,0.5159391,0.1106998,0.1379138,0.135831,0.08341756,0.1061414,0.09419047
,36,0.02402139,0.07749331,0.1647181,0.2309263,0.6233781,0.1144559,0.1636254,0.1489429,0.08425412,0.1110925,0.09582946
,39,0.0220068,0.08104444,0.1586743,0.2294922,0.7382095,0.1320237,0.1594255,0.1643596,0.08927351,0.1183314,0.09338805
,42,0.02161413,0.08365657,0.1428308,0.2470259,0.827244,0.1393138,0.1584695,0.176652,0.08442485,0.11449,0.08584189
,45,0.02134096,0.0897857,0.1415845,0.2605475,0.9703993,0.148755,0.1734594,0.1887224,0.08324683,0.1140632,0.09782697
,48,0.0522939,0.1324506,0.2051123,0.3181852,1.361946,0.1830201,0.2726692,0.2706888,0.1136364,0.1555671,0.1220362
,51,0.05835473,0.1379651,0.2004002,0.317417,1.416425,0.1634718,0.2534623,0.2655157,0.1084462,0.151094,0.1065341
,54,0.06694233,0.1366163,0.2258557,0.3514259,1.626591,0.1698399,0.2655499,0.2921151,0.1101706,0.1465527,0.1159753
,57,0.07593969,0.1430527,0.249399,0.3569916,1.80425,0.1652815,0.2590964,0.2988759,0.1022317,0.1352334,0.1064487
,60,0.06393752,0.1588963,0.2828446,0.4182829,2.039172,0.1817055,0.2803349,0.3287191,0.1077975,0.1500697,0.1221898
,63,0.07474459,0.1495575,0.2978516,0.4639013,2.223165,0.1971393,0.2789862,0.3300508,0.1040415,0.1451356,0.1208069
,66,0.08546629,0.1816201,0.2979198,0.5576991,2.421687,0.1834299,0.297732,0.3691133,0.1144046,0.145921,0.1210459
,69,0.1022659,0.2087317,0.3197047,0.6450605,2.682542,0.1818079,0.2968955,0.3625403,0.1196972,0.1640864,0.1207899
,72,0.1351993,0.2936516,0.3726473,0.8740917,3.290435,0.2871469,0.3722888,0.4500895,0.1857005,0.2263166,0.1745008
,0,0.04654037,0.1136876,0.09157834,0.05700598,0.1038366,0.06603748,0.07662259,0.06359607,0.06514969,0.05193537,0.08486874
,3,0.03948932,0.1327237,0.09637579,0.1233337,0.1885688,0.08041275,0.07988349,0.06873497,0.05954982,0.06014737,0.08867597
,6,0.04123074,0.1382382,0.1180753,0.1627377,0.2743253,0.07735672,0.07752746,0.1032903,0.06455214,0.06153027,0.08381023
,9,0.03815764,0.1396723,0.1247166,0.1906345,0.3365384,0.06678867,0.07872254,0.1010025,0.07537628,0.0719788,0.08983692
