Date,Elapsed,Control,Erl 1.37 nM,Erl 4.12 nM,Erl 12.3 nM,Erl 37.0 nM,Erl 111 nM,Erl 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,0,7.765003,5.824222,5.9284,4.808238,6.990634,5.625069,5.216192,6.228624,6.400856,5.502964,4.595955
,3,2.781633,22.92677,10.9861,0.3876202,8.301003,6.691296,6.762455,7.8006,7.891547,6.202127,4.886978
,6,8.390121,7.606072,8.127424,7.259479,9.09511,7.738011,7.501706,9.518923,9.299845,6.793562,5.084356
,9,8.107414,8.181561,9.383093,8.299313,10.12769,8.526466,8.586151,10.57629,10.67815,7.404528,5.188671
,12,9.019442,8.498364,10.04205,9.442369,10.45482,9.372849,8.805402,11.72443,12.03109,7.955042,5.545662
,15,9.233892,9.598363,11.67632,10.65836,11.19144,9.351406,9.619089,13.00296,13.3492,8.643739,5.979499
,18,9.247005,10.26149,12.50106,11.94754,11.96912,9.901423,10.30284,14.29296,14.38442,9.421814,6.450281
,21,10.17284,11.58025,14.14027,13.19206,13.21914,11.22956,11.43476,16.37362,16.09518,10.0912,6.98406
,24,9.947057,12.21653,15.82815,14.51588,14.24559,12.26134,12.21314,18.31034,17.65611,11.15653,7.113883
,27,10.29172,12.64771,17.29096,15.20513,15.35049,13.09843,13.50555,20.36827,19.57388,11.74641,7.415676
,30,10.77871,14.0527,19.31588,16.1303,15.88978,14.40233,14.52348,22.8182,21.90162,12.49838,7.803109
,33,11.25104,15.05994,21.9825,17.80265,16.9299,15.10816,15.15367,25.36194,24.48464,13.35815,7.84388
,36,12.07286,16.07663,24.75867,20.35761,18.49784,15.59847,15.71972,29.34894,27.03425,14.25406,8.065705
,39,12.97215,18.59735,27.95236,21.75892,19.57026,16.34289,16.56598,33.07633,29.87062,15.38202,7.958898
,42,13.83932,20.42767,31.44143,23.44629,21.92199,17.22609,17.05691,36.91981,33.88812,16.67294,8.387647
,45,15.3176,22.96105,35.22684,24.82572,22.2379,17.75486,17.96991,41.44199,38.68076,17.96112,8.716299
,48,16.56385,24.62739,38.40154,27.10117,23.76005,18.16978,17.94908,46.8316,42.84052,18.80813,8.901383
,51,18.212,28.28395,43.6895,29.53302,23.87873,18.29189,18.25597,51.66376,46.59789,20.05284,8.895579
