Date,Elapsed,Control,Erl 1.37 nM,Erl 4.12 nM,Erl 12.3 nM,Erl 37.0 nM,Erl 111 nM,Erl 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,54,20.13687,32.34407,46.90051,32.93127,26.026,18.98996,18.2266,55.83565,52.0405,21.47871,9.019665
,57,21.96501,36.8335,52.21741,36.68562,26.14613,19.02489,18.57001,60.61107,55.74374,22.31546,9.230477
,60,24.08623,42.86812,55.62065,40.26717,27.55069,19.05481,18.78452,64.1983,58.81497,23.71183,9.401855
,63,27.78111,46.95387,59.937,42.65037,27.72944,19.86803,18.76473,68.89078,63.34348,26.04801,9.019461
,66,30.60108,51.31919,64.72101,46.09699,28.44791,19.64095,18.93686,72.15,67.12242,27.57358,9.680277
,69,34.13499,56.65271,69.33611,49.46002,29.47017,19.95447,19.02719,75.27702,70.59869,30.00309,8.880146
,72,37.85788,60.83733,73.51431,52.25864,30.13479,19.9055,18.83347,78.63061,74.02441,32.31981,8.999451
,0,5.358425,4.59855,6.710691,6.696111,6.248566,6.287167,6.584233,5.621141,4.922455,5.415313,4.446501
,3,5.501683,5.465676,7.965386,8.18996,6.411014,7.050201,8.167664,7.278327,6.441846,6.533306,4.963515
,6,6.067884,6.113162,9.446261,9.234167,6.645165,7.285003,9.346763,8.573024,7.326045,7.212204,5.060881
,9,6.790285,6.733124,10.96982,10.46715,6.999819,7.524806,9.947755,9.943233,8.399767,8.005336,5.362301
,12,7.023054,7.910651,12.00366,11.22579,7.300265,7.985856,10.64417,10.7653,9.201542,8.626477,5.6138
,15,7.371902,8.387767,13.03506,12.00353,7.738814,8.403936,10.69469,12.14171,10.23632,9.474277,6.175614
,18,7.78112,9.027995,14.61677,14.12703,8.135294,8.529096,11.70692,13.63377,11.59152,10.1726,6.615459
,21,8.252669,10.24757,16.60961,15.40705,8.311929,9.546,13.55885,15.35055,13.06038,11.06271,7.125047
,24,8.835039,11.6843,18.67186,16.9879,8.562899,9.816568,14.60316,16.84826,14.57774,11.41996,7.774547
,27,8.986509,12.71747,20.9879,17.82677,8.69313,11.52281,15.74275,18.65835,15.82388,12.26125,7.78573
,30,9.599165,14.12483,22.95545,18.7655,9.32385,11.55816,16.44777,20.89618,17.69813,13.40139,7.974315
,33,10.43913,15.00976,24.8065,20.49948,9.742476,11.69476,17.67747,23.8889,19.85369,14.45184,8.413427
,36,10.74506,17.3966,27.97508,22.45718,9.95993,12.72058,18.91586,25.83544,22.38839,14.83115,8.460155
,39,12.33434,20.44309,30.37561,24.53736,10.34086,12.77748,19.77773,29.98384,24.53586,16.17124,8.262401
,42,13.15848,23.75684,34.09125,26.71629,10.97385,13.19921,20.58636,33.99185,27.88712,17.38471,9.064548
,45,14.76265,26.98877,38.12426,29.31869,11.30449,14.00775,20.815,37.79626,31.43044,18.49165,8.810044
,48,16.37461,29.44243,42.44808,31.53389,11.04012,14.15138,21.63547,43.10556,34.19651,20.05584,8.484279
,51,18.16249,33.31295,45.41002,34.26739,11.95517,14.31422,21.69333,46.67239,38.63626,21.20203,8.522573
,54,19.70283,36.75007,48.19592,36.4747,11.91063,14.77378,21.8454,51.27195,42.57597,22.24181,8.330471
,57,21.91369,41.8883,54.2756,40.34364,13.06625,14.75309,21.89454,54.90523,47.00623,24.46012,8.78698
,60,24.32455,46.28646,57.64768,43.50832,13.80642,15.52468,22.04918,60.20389,50.70338,26.32799,8.6947
,63,27.34421,51.21747,62.18264,46.8465,13.97785,15.96867,22.35072,63.84282,54.35955,28.72161,8.191584
,66,30.19852,55.9646,67.26639,50.23915,14.47879,16.09445,22.0696,68.09113,58.06157,30.33038,7.975408
,69,33.75241,59.38221,71.96176,53.23596,14.52377,15.33234,22.36355,71.91788,62.096,33.4614,8.436407
,72,37.27163,62.77197,74.92631,55.23444,15.45087,16.03831,22.87313,76.32773,66.86021,35.06072,8.748325
,0,6.135767,5.233368,6.294935,5.707222,6.56926,5.432419,5.223414,5.353321,5.163779,4.012391,3.741259
,3,6.049634,6.696487,7.583827,6.461634,6.957923,6.218619,6.345009,7.035399,6.740091,4.985488,4.170605
,6,6.716137,7.37788,9.087461,7.73574,7.185929,6.633317,7.600814,8.419317,7.773317,5.453879,4.211187
,9,7.030959,8.606861,10.3687,9.164287,7.979095,6.864654,8.186428,9.747494,8.932848,6.000549,4.507296
,12,7.661661,9.70541,11.56861,10.33253,8.312783,7.533634,8.184788,10.65268,10.24455,6.611072,4.627541
,15,8.438387,10.6873,12.65511,11.74951,8.774552,7.822317,8.850541,11.28672,11.33243,7.27015,5.17322
,18,8.264211,11.41134,14.45305,12.67474,8.817181,8.391624,9.09323,12.64454,12.52336,7.61111,5.611717
,21,8.893323,12.81542,15.93736,14.67031,9.464394,8.611609,10.3764,14.05562,13.96034,8.386776,6.539024
,24,9.420806,13.8686,17.59946,16.57505,9.958,9.060126,11.15417,15.64528,15.61131,8.891157,6.777052
,27,9.85476,14.92495,19.33269,17.44048,10.43981,9.606129,12.38872,16.85782,17.03864,9.149826,6.917425
,30,10.46095,16.92256,21.25935,18.12971,10.87399,10.1211,13.58977,19.16627,19.78355,10.10534,7.11279
,33,11.38027,18.2006,23.71184,19.60352,11.01463,10.948,14.33546,21.51156,21.50956,10.42537,7.101504
,36,11.80432,20.83334,26.55594,21.37039,11.1961,11.28068,14.97809,24.58916,24.05151,10.76104,7.015115
,39,12.91246,23.13534,29.08437,23.1945,11.92656,12.16138,15.68866,27.24078,26.51951,11.85304,7.034494
,42,14.37285,26.52696,31.68956,26.48025,12.65201,12.37848,16.37437,30.25129,29.71635,12.76108,7.332515
,45,15.38458,29.35381,35.69746,29.17161,12.92726,13.30836,16.39146,34.7183,32.64899,13.38029,7.465768
,48,16.90619,31.92171,39.99314,31.38745,13.99163,13.28311,16.82238,38.84332,37.44545,13.85618,7.714246
,51,18.56577,35.54404,44.03284,33.71636,13.99742,13.32054,17.09915,43.45813,41.10463,14.7202,7.170154
,54,20.5178,40.37971,47.80553,37.02806,15.12764,13.60777,17.08156,46.62736,45.64219,15.94423,7.231001
,57,22.89935,44.93677,51.51274,41.10771,15.13663,13.90493,17.46631,51.35678,49.80848,17.30409,7.064029
,60,25.12649,49.40789,56.15543,44.40235,16.02365,14.06638,17.63433,56.96247,53.67373,18.33836,7.100582
,63,27.76065,53.12445,60.51824,47.06347,16.37176,14.28513,17.64469,61.23349,56.85249,19.32756,7.053786
,66,29.84295,57.39882,64.99079,50.78757,16.84551,14.69899,17.52083,65.53455,60.84747,21.00966,7.26518
,69,34.13745,60.5004,69.4028,52.64219,17.41698,14.52579,17.38925,69.16022,65.78769,22.78312,6.896527
,72,38.264,64.17776,73.52239,56.22775,16.97061,14.42953,17.43349,72.71344,69.5105,23.45642,6.9472
