Date,Elapsed,Control,LCL161 5 µM,LCL161 10 µM,LCL161 20 µM,LCL161 40 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,69,0.2480161,0.5341899,0.847885,1.372446,2.013016,0.778911,1.059843,1.075414,0.3936639,0.4164219,0.3949956
,72,0.5136002,0.8615432,1.315645,2.053513,2.811493,1.267158,1.624713,1.710009,0.9161078,0.9277685,0.8484142
,0,1.161956,1.087962,1.209094,1.16397,1.18847,1.23723,1.205986,1.331215,1.008113,1.07427,0.9826574
,3,1.47519,1.384499,1.436776,1.409016,1.352437,1.552325,1.424415,1.490641,1.31602,1.341783,1.247388
,6,1.303796,1.24061,1.292614,1.222957,1.227122,1.400155,1.289506,1.373351,1.129039,1.164431,1.083182
,9,1.530335,1.32582,1.404235,1.356876,1.301082,1.495097,1.331369,1.509626,1.262105,1.331983,1.145771
,12,1.238493,1.204945,1.298828,1.207933,1.132642,1.282524,1.08716,1.239125,1.059331,1.098325,0.9352122
,15,1.381221,1.268217,1.36099,1.312025,1.236034,1.240012,1.037461,1.195435,1.177441,1.286467,0.9862769
,18,0.9949157,1.102082,1.201496,1.15639,1.089704,1.050983,0.8158736,0.8871524,0.910286,1.013508,0.7813866
,21,0.9897255,1.098325,1.223896,1.234993,1.209828,1.119632,0.8248367,0.8736478,0.9655847,1.106811,0.8586749
,24,1.402204,1.421923,1.616211,1.657851,1.68428,1.52354,1.126496,1.224186,1.395511,1.578309,1.262514
,27,0.7561701,0.9603775,1.155707,1.272792,1.325957,1.058853,0.8125615,0.8256904,0.8711381,1.031827,0.8755941
,30,0.4289533,0.7353584,0.9559556,1.116815,1.303626,0.8344829,0.6706526,0.679667,0.6119735,0.7157247,0.6279194
,33,0.4448823,0.7563578,0.9889915,1.243785,1.494158,0.8305903,0.7990739,0.7494093,0.6204586,0.7605919,0.7033128
,36,0.2836982,0.646836,0.8582994,1.154785,1.458305,0.7044908,0.6729062,0.6442751,0.4605038,0.5554113,0.5102881
,39,0.3115439,0.6936837,0.9627848,1.344856,1.68498,0.8318025,0.7385339,0.75028,0.5531578,0.6043078,0.607654
,42,0.2159705,0.5340192,0.7867474,1.218364,1.65722,0.6620821,0.6464776,0.6634137,0.3899421,0.4675378,0.4822716
,45,0.2236191,0.5294095,0.8009349,1.327237,1.879661,0.7208294,0.7509971,0.7490678,0.4290899,0.535846,0.5434433
,48,0.354738,0.7663967,1.109815,1.810465,2.531431,1.054244,1.107972,1.181726,0.7580652,0.8931279,0.9811721
,51,0.1944418,0.5496749,0.7660211,1.36828,2.065908,0.6977129,0.7659869,0.8788379,0.3390481,0.438497,0.4861471
,54,0.2082707,0.5725354,0.8165394,1.426037,2.193868,0.7351876,0.8244782,0.9430145,0.3531332,0.430968,0.5226316
,57,0.1756617,0.5359484,0.7663454,1.336183,2.088171,0.6324779,0.7261903,0.8521191,0.2824861,0.3476016,0.4243437
,60,0.2196924,0.589574,0.8493361,1.422913,2.316775,0.6659576,0.7923985,0.9749577,0.3173828,0.4147829,0.4528723
,63,0.2155608,0.5726719,0.8164711,1.319606,2.281298,0.5992031,0.7248757,0.8985399,0.2764081,0.345809,0.415261
,66,0.2577305,0.6499433,0.8928035,1.454924,2.457045,0.6876912,0.8161638,1.017469,0.3486943,0.4277241,0.4815887
,69,0.2246606,0.5984689,0.8809208,1.334203,2.337433,0.5817888,0.757809,0.930944,0.2647816,0.3429919,0.3802618
,72,0.4753572,0.9340001,1.360751,1.991641,3.250092,1.050249,1.257546,1.517701,0.6480824,0.8031372,0.8840622
,0,1.012757,1.082858,1.086323,1.457263,1.330396,1.305538,1.370807,1.360905,1.114647,1.139659,1.072358
,3,1.339444,1.373607,1.324847,1.749003,1.516711,1.619421,1.572607,1.529788,1.427932,1.510855,1.386719
,6,1.202248,1.158814,1.122398,1.568749,1.335296,1.549576,1.485382,1.399387,1.224049,1.31445,1.195589
,9,1.420403,1.302635,1.267107,1.684246,1.423306,1.628059,1.522294,1.490589,1.327169,1.426771,1.302106
,12,1.190348,1.074014,1.090557,1.512852,1.262617,1.354673,1.185414,1.182648,1.067424,1.212986,1.040005
,15,1.288533,1.242829,1.21961,1.635725,1.380385,1.336542,1.183023,1.166104,1.243564,1.366727,1.187377
,18,1.032647,0.9784917,0.9850988,1.440959,1.245749,1.120588,0.8912498,0.8371463,0.9992352,1.132898,0.903252
,21,1.017025,1.01694,1.049139,1.505989,1.336678,1.138429,0.9344781,0.8463485,1.065102,1.205491,0.9989449
,24,1.396536,1.51596,1.50435,2.006358,1.871466,1.509916,1.319503,1.178124,1.444117,1.773827,1.476846
,27,0.7519019,0.9294758,1.023735,1.578924,1.508721,1.114818,0.907025,0.8264075,0.9567922,1.166002,0.9891793
,30,0.450926,0.6697819,0.7664137,1.370687,1.421957,0.9312172,0.7315853,0.6758597,0.6274585,0.8154126,0.6901497
,33,0.4410409,0.7006836,0.8698747,1.596424,1.651176,0.9999351,0.825605,0.7320292,0.6680063,0.8648212,0.7480264
,36,0.283408,0.5454067,0.7236977,1.544249,1.556712,0.8128176,0.670294,0.6340315,0.4882813,0.6189904,0.5562479
,39,0.2996783,0.6367631,0.8257928,1.835818,1.842476,0.9383024,0.7743526,0.7294512,0.5506481,0.7250977,0.6432679
,42,0.2084585,0.481418,0.6560383,1.679346,1.786273,0.7785525,0.6481677,0.653392,0.3882006,0.5127465,0.474145
,45,0.2339311,0.5209926,0.731995,1.794485,1.995073,0.8549361,0.7586285,0.7348632,0.4486212,0.5907862,0.549692
,48,0.3314849,0.8135858,1.103174,2.433228,2.61927,1.235778,1.183245,1.116405,0.7493069,1.039185,0.979499
,51,0.1740569,0.4677085,0.6986007,1.972451,2.132918,0.8367023,0.7926375,0.8365487,0.3642646,0.506515,0.4926348
,54,0.1916931,0.5205147,0.7278634,2.099149,2.290005,0.8566092,0.8409535,0.8945278,0.3655963,0.5153074,0.5211805
,57,0.1732203,0.4652672,0.6762354,1.982507,2.193049,0.7471898,0.7149906,0.8194247,0.316017,0.4185219,0.4095075
,60,0.2033538,0.5384923,0.7761623,2.201722,2.370742,0.8107176,0.8284221,0.9580897,0.3756522,0.4805985,0.5218634
,63,0.1935199,0.5021614,0.7384486,2.076185,2.286727,0.7434338,0.7366559,0.8922742,0.3063367,0.4057685,0.4415872
,66,0.2105414,0.5671403,0.8601091,2.247784,2.491566,0.8037177,0.8841475,1.02003,0.3657158,0.4761596,0.522717
,69,0.1887736,0.5312364,0.7773232,2.102597,2.313463,0.7017933,0.7444411,0.9262661,0.2898103,0.3895323,0.4196316
,72,0.4037198,0.9206662,1.316174,3.045014,3.303291,1.24411,1.345539,1.480909,0.6593162,0.8737673,0.947829
