Date,Elapsed,Control,LCL161 5 µM,LCL161 10 µM,LCL161 20 µM,LCL161 40 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,0,1.066707,0.959336,1.013098,1.166139,1.186677,1.308782,1.238681,1.317198,1.0412,0.9571337,1.029556
,3,1.438671,1.222871,1.302004,1.405823,1.230947,1.573922,1.438483,1.505306,1.372156,1.281909,1.335483
,6,1.261951,1.020713,1.176041,1.229291,1.055046,1.473004,1.434335,1.459671,1.152156,1.088594,1.191013
,9,1.482992,1.129927,1.324403,1.384038,1.111164,1.545205,1.524906,1.556303,1.278187,1.228744,1.284504
,12,1.2437,1.031195,1.198287,1.255275,0.9952571,1.244366,1.29357,1.28925,1.087006,1.014276,1.025817
,15,1.381409,1.083797,1.278136,1.324488,1.073655,1.260909,1.279553,1.264409,1.183587,1.087604,1.095508
,18,1.043778,0.9530191,1.102167,1.189033,0.9941816,1.004954,0.984655,1.032612,0.9058983,0.8749283,0.8492337
,21,0.9903743,0.941973,1.167982,1.221437,1.139881,1.008711,0.9570996,1.02242,0.9924914,0.9554434,0.9134615
,24,1.430357,1.241617,1.539879,1.628128,1.532179,1.411099,1.298094,1.387077,1.406916,1.41494,1.388238
,27,0.7828719,0.8468777,1.064692,1.22632,1.272877,1.017008,0.9118055,0.9692553,0.9907158,0.9620677,0.9511924
,30,0.534207,0.677328,0.8913693,1.116184,1.208035,0.8733576,0.7653894,0.8268172,0.6907472,0.6870595,0.6515652
,33,0.5162464,0.8063982,0.928366,1.268319,1.38986,0.934444,0.8339195,0.8805282,0.7135735,0.7619065,0.6972861
,36,0.3436749,0.6121783,0.8619529,1.188521,1.370995,0.8126127,0.7194978,0.7622138,0.5451848,0.5917422,0.5397556
,39,0.3384335,0.6496531,0.9158688,1.368912,1.581724,0.8886036,0.8457509,0.8945791,0.6157124,0.661843,0.63509
,42,0.2235679,0.5132928,0.7372364,1.282865,1.540596,0.7708697,0.7721843,0.7874132,0.485635,0.4985249,0.4629623
,45,0.2561086,0.5442458,0.7945155,1.435513,1.730172,0.8177857,0.8664602,0.8996496,0.5540797,0.5780499,0.5043808
,48,0.3912225,0.7402924,1.080245,1.915002,2.273752,1.239739,1.297274,1.303506,0.9926109,1.020781,0.9044983
,51,0.2212802,0.4951103,0.7631528,1.442871,1.866634,0.8564214,0.9634677,0.9711162,0.493625,0.50911,0.4727109
,54,0.2347847,0.5436653,0.7996032,1.496189,2.012146,0.8615091,1.021447,1.048336,0.4986444,0.5125075,0.484935
,57,0.2316946,0.494325,0.7296561,1.382092,1.912663,0.7650479,0.9407097,0.966831,0.394603,0.4074246,0.4085855
,60,0.2588061,0.5539431,0.8166418,1.492911,2.0768,0.8451021,1.069199,1.075346,0.4902446,0.485635,0.4681695
,63,0.2203582,0.4986615,0.7797305,1.38537,2.003336,0.7785013,1.036129,1.045878,0.4194097,0.4277241,0.3867666
,66,0.2705863,0.5645282,0.881655,1.500014,2.135855,0.8749624,1.128732,1.185021,0.4946665,0.4838765,0.4631501
