Date,Elapsed,Control,Paclitaxel 0.8 nM,Paclitaxel 1.5 nM,Paclitaxel 3 nM,Paclitaxel 6 nM,Erl 37.04 nM,Erl 111.11 nM,Erl 333.33 nM,Erl 1.37 nM,Erl 4.12 nM,Erl 12.35 nM
,33,0.0773738,0.1052366,0.1290019,0.1721277,0.4967664,0.09425877,0.1305213,0.2367993,0.09383194,0.09260271,0.09106616
,36,0.0689057,0.1039049,0.139587,0.173852,0.4943079,0.099005,0.1367358,0.2487673,0.0865248,0.09350756,0.09296124
,39,0.06014737,0.102761,0.1397577,0.1829177,0.5258242,0.1079511,0.1567793,0.2738643,0.07354949,0.09550508,0.09902207
,42,0.06204245,0.1061243,0.1418235,0.1988124,0.5615234,0.1165217,0.1800836,0.2989613,0.08215417,0.08906864,0.1111437
,45,0.06129124,0.1078828,0.1466551,0.202944,0.5869789,0.1364285,0.2000758,0.322829,0.08302488,0.1043146,0.116607
,48,0.06354485,0.118485,0.1589133,0.2282971,0.6142783,0.142882,0.2345457,0.3537137,0.09125396,0.09920987,0.1309652
,51,0.06308389,0.1099828,0.1646327,0.2448918,0.6435239,0.1564036,0.2557672,0.3875007,0.09658065,0.1038366,0.1306408
,54,0.07665674,0.1218142,0.1777105,0.2665401,0.6767646,0.1833957,0.289503,0.4242413,0.1051683,0.1105974,0.143821
,57,0.09050275,0.1283019,0.1902077,0.3039978,0.7175173,0.2069903,0.3280874,0.4660354,0.1141827,0.1113486,0.156489
,60,0.08882962,0.1526647,0.1925126,0.3355994,0.7340096,0.2352116,0.3673207,0.5125417,0.1160265,0.1198338,0.1737667
,63,0.1027098,0.1655205,0.2232777,0.3616525,0.7672845,0.2807959,0.4248217,0.5726719,0.1266117,0.1259629,0.1923418
,66,0.1165387,0.1749276,0.2339823,0.3954907,0.8266977,0.3367604,0.4908592,0.6268951,0.1508721,0.1343798,0.2149803
,69,0.13607,0.2008441,0.2488698,0.4403921,0.8650944,0.3925371,0.5532773,0.6867864,0.1649742,0.1377943,0.2388822
,72,0.1482087,0.2180534,0.2707058,0.4699109,0.9005886,0.4467773,0.6206977,0.7399168,0.185803,0.1444356,0.2648669
,0,0.8531092,0.9087494,0.962375,0.9463266,0.8392804,0.9683163,0.8516581,0.9205638,1.209862,1.297599,1.152907
,3,0.8698577,0.9305514,0.9149469,0.8976351,0.9169614,1.028549,0.8903279,0.9991156,1.150841,1.304394,1.142595
,6,0.7645187,0.7939351,0.7919546,0.7098517,0.7871572,0.7361608,0.658548,0.7018274,0.9362024,1.000464,0.8131931
,9,0.6415948,0.6513091,0.6690136,0.5938763,0.6840888,0.4285265,0.407288,0.4519504,0.7386876,0.790401,0.596847
,12,0.4884861,0.4755791,0.4801375,0.4729157,0.5754719,0.2143486,0.2217241,0.2251045,0.5736963,0.5511432,0.37514
,15,0.3607647,0.3323215,0.3337215,0.3645207,0.5174757,0.1319725,0.1483112,0.1220362,0.3706498,0.3754473,0.2397529
,18,0.2751448,0.2335896,0.2425016,0.2693571,0.4747425,0.112134,0.1128339,0.0892223,0.2719863,0.2758789,0.1721789
,21,0.2043781,0.1681497,0.1951759,0.2232265,0.4634745,0.09876598,0.1007123,0.07908107,0.2000075,0.2031489,0.1443161
,24,0.160228,0.132331,0.1677058,0.1842493,0.4424238,0.09835622,0.08830037,0.08097615,0.1368724,0.1559768,0.11379
,27,0.1237093,0.125041,0.1454259,0.1689009,0.4469993,0.09755381,0.08942717,0.0821371,0.1346529,0.1202265,0.1113657
,30,0.1066195,0.1199362,0.1357114,0.1658278,0.4731889,0.09528314,0.1011562,0.08766867,0.1168119,0.1035293,0.1046049
,33,0.09813429,0.09960254,0.1328945,0.167979,0.480018,0.09359293,0.1017537,0.09659773,0.09980742,0.1006269,0.09777576
,36,0.09936352,0.108856,0.142404,0.1773007,0.4926518,0.101122,0.1059024,0.1131242,0.09540264,0.1017025,0.1055951
,39,0.0934222,0.1054585,0.1293604,0.1809372,0.5053881,0.1125437,0.1203118,0.1324335,0.1013952,0.1027781,0.1064829
,42,0.09321733,0.1148656,0.1504111,0.2079805,0.5418556,0.1245117,0.1398431,0.1582134,0.0976221,0.1071487,0.1083097
,45,0.1016171,0.1265434,0.1718545,0.2242338,0.5548651,0.1312042,0.1625499,0.1802714,0.1026756,0.1087535,0.1148485
,48,0.1036147,0.1303506,0.1753032,0.2397529,0.59403,0.1463819,0.1820982,0.2154754,0.1047073,0.1077463,0.1202777
,51,0.1026586,0.1312384,0.1947662,0.251499,0.6049907,0.1656742,0.2125901,0.2473674,0.09736601,0.1210289,0.1300091
,54,0.1232313,0.1324676,0.1992563,0.2781837,0.6330071,0.1835835,0.2422797,0.291859,0.1267482,0.1276872,0.1398601
,57,0.142165,0.1439917,0.2218094,0.3023417,0.6862059,0.2224411,0.2872323,0.3383653,0.1186216,0.127619,0.1510428
,60,0.1358139,0.1526647,0.2331628,0.3299313,0.706403,0.2554599,0.3287021,0.3654768,0.1371285,0.137709,0.1742959
,63,0.1464673,0.1603645,0.2332311,0.3581014,0.7362974,0.309444,0.3851446,0.440358,0.1462283,0.1463137,0.1886883
,66,0.1642742,0.1790763,0.2629719,0.4005272,0.777033,0.3673377,0.4341435,0.4866593,0.1599889,0.1652644,0.204105
,69,0.180647,0.1925467,0.2835787,0.4404092,0.827944,0.4210145,0.5043296,0.5559577,0.1731862,0.174074,0.2253776
,72,0.2045659,0.1999563,0.3121415,0.4852935,0.8588798,0.4895788,0.5721768,0.5994079,0.2088683,0.1888419,0.2596086
