Date,Elapsed,Control,Erl 1.37 nM,Erl 4.12 nM,Erl 12.3 nM,Erl 37.0 nM,Erl 111 nM,Erl 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,0,4.125413,2.098841,0.3752424,0.4042491,0.2552379,0.5166903,0.274018,0.3055684,0.277313,0.3940054,0.3862373
,3,2.299361,1.186455,0.1744666,0.06205952,0.253155,0.4334606,0.3271996,0.373962,0.1624474,0.3173487,0.2556135
,6,5.281923,2.072429,0.361772,0.4362776,0.2770911,0.4274851,0.3230168,0.3197901,0.1488575,0.310861,0.3000198
,9,5.394261,2.075212,0.3444602,0.4994468,0.3411993,0.4095075,0.3196876,0.3252704,0.1390236,0.3183218,0.3917006
,12,4.876205,2.025838,0.319073,0.4721646,0.3781448,0.3977614,0.3049197,0.3144804,0.1406796,0.3073099,0.4342459
,15,4.530499,1.986331,0.3030246,0.4329825,0.3679523,0.3947225,0.3047319,0.2992857,0.1584353,0.2959223,0.5420605
,18,4.079538,1.918877,0.2943858,0.4700305,0.372101,0.3813203,0.3123976,0.3001052,0.1648888,0.2900664,0.6450776
,21,3.536864,1.754142,0.2891274,0.4745889,0.390386,0.4349971,0.3193462,0.2842958,0.2112755,0.3241436,0.7899913
,24,2.861448,1.643135,0.2800447,0.4620575,0.3983077,0.4438579,0.3164096,0.2608378,0.1703009,0.3241607,0.9446535
,27,2.458325,1.522038,0.2734546,0.449287,0.4243096,0.4500211,0.3358555,0.2499283,0.1746886,0.3403457,1.191287
,30,2.276705,1.496616,0.2529502,0.4503114,0.4710207,0.4637647,0.3639061,0.2492283,0.1768227,0.365289,1.434693
,33,1.991385,1.398823,0.2610939,0.4423555,0.5022638,0.4973298,0.3844959,0.2438845,0.1806641,0.4091489,1.564224
,36,1.809287,1.378131,0.2546745,0.4587624,0.5364265,0.5316973,0.4353215,0.2495185,0.1753544,0.4853276,1.72843
,39,1.599343,1.3369,0.2801642,0.4766888,0.5687452,0.5725012,0.4804619,0.2608036,0.2161925,0.5157684,1.78448
,42,1.533681,1.307074,0.2476918,0.4792668,0.5979738,0.6347144,0.5765474,0.2704327,0.2270678,0.5324997,1.880105
,45,1.367444,1.21961,0.2671035,0.4867447,0.719071,0.7606431,0.6501823,0.2819227,0.2526429,0.5424019,1.968917
,48,1.261148,0.01562158,0.2827251,0.4947689,0.8247172,0.92321,0.7762647,0.2725156,0.2776886,0.5480189,2.045164
,51,1.17348,1.160692,0.2677181,0.4955713,0.9446193,1.124362,0.9681968,0.3040831,0.2738302,0.5725012,2.101692
,54,1.130013,1.151695,0.3099561,0.5005224,1.044461,1.329593,1.156322,0.3245875,0.2707229,0.5642892,2.172339
,57,1.122262,1.144934,0.320712,0.5065662,1.253449,1.580853,1.434881,0.3836593,0.2826739,0.5803547,2.188797
,60,1.101655,1.147598,0.3323215,0.5017687,1.400428,1.837133,1.692202,0.4189829,0.3200462,0.5917764,2.250874
,63,1.04038,1.155349,0.3533722,0.533029,1.619864,2.038455,2.018599,0.4492016,0.3677475,0.6229683,2.298183
,66,1.005159,1.110652,0.357794,0.5480189,1.846523,2.297346,2.275544,0.5430166,0.3623183,0.6662478,2.317885
,69,0.967548,1.186848,0.3726986,0.6262463,2.119601,2.591527,2.453016,0.5706574,0.4308996,0.6644039,2.336682
,72,0.9734894,1.160607,0.4219877,0.6771061,2.363162,2.829812,2.707998,0.7257464,0.5226316,0.6854547,2.352474
,0,2.999447,0.858453,0.2933102,0.356838,3.959824,2.44593,0.3773936,0.1944589,0.169379,0.3735181,0.3087781
,3,2.891359,0.8968498,0.4103953,0.3675938,4.423811,2.629104,0.5215902,0.1993587,0.2145535,0.3495479,0.4960664
,6,3.045168,0.8599725,0.3574697,0.3628988,4.221772,2.503397,0.519439,0.2016124,0.2526258,0.3258168,0.6679038
,9,2.928629,0.8427461,0.3525357,0.3539014,3.972424,2.404751,0.5152904,0.1922735,0.2161071,0.3165121,0.755914
,12,2.780813,0.8043836,0.3393042,0.3847178,4.068783,2.368079,0.4970908,0.1899858,0.2311141,0.3424627,0.7975545
,15,2.566754,0.8258099,0.3485235,0.3846495,3.873419,2.42406,0.4827326,0.1811933,0.2392578,0.3469187,0.9042593
,18,2.48682,0.7721331,0.3391847,0.4084148,3.866897,2.311756,0.4797278,0.1756617,0.1856493,0.3454675,1.086665
,21,2.118082,0.8311707,0.3661939,0.4031906,3.546578,2.282254,0.4781913,0.1997514,0.2330433,0.4152952,1.306835
,24,1.881795,0.7494263,0.3525357,0.3917518,3.396611,2.150384,0.4672305,0.1770446,0.2697839,0.4148342,1.545871
,27,1.726399,0.6981568,0.3451773,0.3942786,3.397123,2.085251,0.4672134,0.1931442,0.2354164,0.4140317,1.78617
,30,1.541654,0.7334633,0.3370165,0.4093879,3.280413,2.045489,0.5111076,0.2147925,0.285286,0.4465383,2.097987
,33,1.391755,0.7009397,0.3344897,0.407288,3.255914,2.009158,0.5484969,0.2282629,0.2824178,0.4507211,2.398383
,36,1.321637,0.6365924,0.3195852,0.3936469,3.328951,1.963608,0.6018493,0.2220485,0.3021368,0.4646355,2.67573
,39,1.211416,0.6165148,0.3359067,0.4007321,3.161672,1.933952,0.6858815,0.2218777,0.3226924,0.4989517,2.813712
,42,1.139368,0.6288926,0.3345409,0.372323,3.162526,1.889648,0.8003544,0.2163803,0.3213949,0.5077783,2.859928
,45,1.066092,0.6142271,0.324007,0.4548869,3.062906,1.955618,0.9986035,0.2526941,0.3321337,0.51191,3.055326
,48,1.005006,0.6027371,0.3217705,0.457721,3.021812,2.023038,1.224083,0.2736594,0.3530137,0.5334387,3.143968
,51,0.9660456,0.6056736,0.35356,0.4505846,2.975955,2.078166,1.512289,0.3029222,0.3888836,0.554865,3.226224
,54,0.9004862,0.6476214,0.3577428,0.5036296,2.896754,2.202456,1.750608,0.332441,0.4311387,0.5649892,3.23191
,57,0.8873914,0.603881,0.3831301,0.492686,2.90599,2.263918,1.964222,0.4031564,0.4341435,0.6454703,3.152094
,60,0.8799477,0.726361,0.4099855,0.6336046,2.787198,2.347967,2.25393,0.4305241,0.4768766,0.667477,3.195784
,63,0.8487387,0.7217855,0.426768,0.6078589,2.817383,2.497422,2.622668,0.4337508,0.4906543,0.6973885,3.342729
