Date,Elapsed,Control,Erl 1.37 nM,Erl 4.12 nM,Erl 12.3 nM,Erl 37.0 nM,Erl 111 nM,Erl 333 nM,THZ1 11.1 nM,THZ1 33.3 nM,THZ1 100 nM,THZ1 300 nM
,66,0.8227027,0.8331,0.530929,0.7022372,2.803725,2.696337,2.974128,0.5155464,0.4999931,0.7040469,3.35357
,69,0.8214393,0.8235734,0.6131685,0.7558457,2.803417,2.85607,3.290657,0.6497214,0.5724329,0.7573823,3.34348
,72,0.8268001,0.9384902,0.7209489,0.8717356,2.799115,3.02089,3.548319,0.8066542,0.5866717,0.7759233,3.257536
,0,4.827599,0.567516,0.3427529,0.2365774,4.891758,1.765085,0.2686571,0.2791227,0.1705911,0.1685765,0.2508673
,3,5.009851,0.6648479,0.4235584,0.3231705,5.212351,2.089263,0.3089318,0.3190218,0.2004685,0.2254459,0.4077831
,6,4.844467,0.6881863,0.3686353,0.29092,5.111707,2.019333,0.2715253,0.3014539,0.1986758,0.2193851,0.6128783
,9,4.697846,0.6712672,0.3269265,0.2773813,4.70599,2.046393,0.2429284,0.3313825,0.2011855,0.2361676,0.6713184
,12,4.684768,0.7037737,0.310622,0.2981589,4.421404,2.058122,0.2252411,0.312039,0.1962515,0.2666084,0.7511507
,15,4.419918,0.6925911,0.2821275,0.2717814,4.197955,2.006255,0.2216899,0.2952223,0.1947662,0.2518746,0.9204443
,18,3.794235,0.692813,0.2698693,0.265823,3.806904,1.844627,0.2141096,0.2614866,0.1906687,0.2397358,1.136773
,21,3.439583,0.6592991,0.2713717,0.2985857,3.621954,1.826274,0.2348872,0.2602061,0.2040196,0.2427407,1.496497
,24,2.983774,0.6489531,0.2638255,0.2849616,3.271962,1.787878,0.2443626,0.2480674,0.1828664,0.2459674,1.758137
,27,2.615412,0.6303267,0.2565354,0.2685035,3.062394,1.742925,0.2577988,0.2542136,0.184403,0.2581232,2.109187
,30,2.303782,0.6039834,0.2686571,0.3184413,2.921305,1.702002,0.2582427,0.2367823,0.1960978,0.2557672,2.370093
,33,1.970642,0.5888911,0.2677693,0.3097683,2.756228,1.684741,0.2973564,0.2390359,0.1966783,0.2607695,2.638016
,36,1.789653,0.5668331,0.2594378,0.2785423,2.66004,1.688685,0.3335336,0.2627158,0.2107804,0.2961614,2.690532
,39,1.541893,0.5447238,0.2706888,0.3080611,2.639502,1.671646,0.4012272,0.2751448,0.2274093,0.3450066,2.807788
,42,1.476709,0.5135319,0.2642353,0.3073269,2.544543,1.609672,0.5000443,0.2853372,0.247982,0.3533039,2.845519
,45,1.262719,0.4802229,0.2743082,0.3340458,2.454347,1.68119,0.61211,0.3044758,0.255255,0.3645719,2.932914
,48,1.170065,0.4927543,0.3318776,0.3535259,2.40598,1.711306,0.8163515,0.3362823,0.2746496,0.3835227,2.940699
,51,1.084736,0.5219316,0.2989101,0.4659842,2.350016,1.697477,1.055063,0.3235802,0.3136097,0.4079197,3.004142
,54,1.041029,0.4958957,0.3078562,0.5193537,2.311312,1.881795,1.268865,0.3297435,0.3420359,0.4004418,3.098588
,57,1.047244,0.532807,0.3168194,0.5704354,2.276705,2.028091,1.451254,0.3498893,0.3588355,0.394842,3.15206
,60,0.9877964,0.5582967,0.3056538,0.6125198,2.204812,2.108931,1.727303,0.3954737,0.3999979,0.4097465,3.154775
,63,0.9141444,0.5639307,0.3647256,0.6854376,2.263252,2.328367,2.117621,0.3955761,0.4270924,0.4808546,3.142909
,66,0.8869305,0.6098052,0.4429531,0.7994154,2.290927,2.424829,2.394917,0.416439,0.4689036,0.4576015,3.07723
,69,0.8552263,0.6710794,0.4343654,0.8684235,2.338799,2.538192,2.678735,0.5097929,0.4744864,0.4661037,3.137907
,72,0.8254172,0.8266977,0.5526285,0.9903743,2.374156,2.660723,2.921663,0.6091052,0.5300412,0.4967664,3.203159
