Date,Elapsed,Control,PIM447 2.5 µM,PIM447 5 µM,PIM447 10 µM,PIM447 20 µM,OSI-906 10 µM,OSI-906 15 µM,OSI-906 20 µM,OSI-906 2.5 µM,OSI-906 5 µM,OSI-906 7.5 µM
,9,12.56793,14.47433,14.22633,14.30915,11.91852,11.2822,10.77116,9.95264,10.74161,11.15694,10.93779
,12,13.70286,16.30844,15.77302,15.77328,12.32773,12.16491,11.49906,10.27783,11.65522,12.64531,11.59832
,15,15.15673,17.96592,17.53164,17.40022,13.05507,13.27654,12.32787,10.71076,13.09888,13.87584,12.69992
,18,17.1442,19.66034,18.75432,18.802,13.4411,14.35824,12.683,10.97974,14.58199,14.96923,14.03452
,21,19.15362,22.21077,21.5577,21.18048,13.5376,15.85635,13.09932,11.09491,16.10934,16.71047,14.9896
,24,22.6022,26.40635,25.35036,23.23881,14.12072,17.3685,14.3959,12.06927,18.63017,18.93512,17.32476
,27,24.792,27.86946,26.98777,24.27178,14.34994,18.74552,13.62207,11.68199,20.62799,20.75462,18.13316
,30,27.44806,30.68792,28.93447,25.20158,14.57748,19.68612,14.00688,11.88814,22.61785,22.45491,19.53437
,33,30.15476,33.20179,31.89383,26.81031,14.5894,21.15637,15.00273,12.27245,24.92377,24.4704,20.98824
,36,33.37054,35.76482,34.08036,27.58737,14.84366,22.36005,15.27386,12.0446,26.88565,26.79181,22.39734
,39,37.35581,39.45949,36.30603,28.96074,15.14134,23.85259,15.68305,12.51251,30.10845,29.09729,24.13314
,42,40.32148,43.32707,38.47113,29.70229,15.21194,24.76715,16.21611,12.86013,31.99301,30.87349,25.14999
,45,45.36445,47.24069,42.37097,30.92468,15.32235,26.90631,16.35662,13.32193,35.90233,33.97953,27.22472
,48,50.67678,52.31232,46.07874,32.64582,16.50986,29.41527,17.74882,15.0286,40.67608,37.64647,30.41357
,51,51.71454,54.62525,48.25943,32.31046,16.4076,30.84773,17.58867,14.51843,42.41722,39.9432,31.6699
,54,56.33265,57.68793,51.15211,32.90191,16.34219,33.1706,17.93583,14.77836,45.46645,42.67657,33.24063
,57,59.50826,61.33586,54.03321,32.68974,16.24296,34.66346,17.64071,14.68024,49.08458,45.78567,34.81802
,60,63.11974,64.14938,57.84388,33.16903,16.23226,37.40039,18.81072,15.13649,51.7746,49.76165,37.38134
,63,65.88656,67.73779,60.45176,33.56893,16.20428,38.89589,19.06789,14.9872,53.90177,52.02735,39.55855
,66,69.23721,69.54428,63.2367,33.9982,16.17811,40.70847,19.58475,15.76732,58.43806,54.70632,42.07215
,69,71.92841,71.93051,66.26651,33.64884,15.98145,43.87505,19.73606,16.01441,60.83429,58.21893,44.45576
,72,75.05502,76.56465,72.1889,35.80886,16.94278,47.95181,22.36943,17.987,65.52654,62.39186,49.20649
