Elapsed,Dox-0,Dox-0,Dox-0,Dox-12.5,Dox-12.5,Dox-12.5,Dox-20,Dox-20,Dox-20,Dox-25,Dox-25,Dox-25,Dox-40,Dox-40,Dox-40,Dox-50,Dox-50,Dox-50,Dox-80,Dox-80,Dox-80,Dox-100,Dox-100,Dox-100,Dox-200,Dox-200,Dox-200,Dox-400,Dox-400,Dox-400,NVB-0,NVB-0,NVB-0,NVB-1.25,NVB-1.25,NVB-1.25,NVB-2.5,NVB-2.5,NVB-2.5,NVB-5,NVB-5,NVB-5,NVB-10,NVB-10,NVB-10,NVB-15,NVB-15,NVB-15,NVB-20,NVB-20,NVB-20,NVB-30,NVB-30,NVB-30,NVB-40,NVB-40,NVB-40,NVB-80,NVB-80,NVB-80
30,7987.25,10513,11969.75,7197,9374,8409.5,8022.25,9633.25,8518,4210.5,2846.75,7573,6402.75,6887,6213,8347.5,7743,7305.5,6898.75,6720.5,6290.5,4043.75,7119.5,5860.5,6294,6530.75,7088.5,4590,4148.25,4202.5,10392.75,8738.5,9110.75,11911.25,10257.5,10912,10055.75,10710.5,10319.25,8634.25,9013.75,7115.75,9137.75,9467,8316.5,8696,9230.5,8483.25,8851.25,10044.25,8184.75,9068,9393.25,7851.5,8471.5,9126,8235.25,7073,6503.5,6147
33,9176.5,11690.5,13368,8041.25,10602,9064,8715.5,10385.25,9358.5,4543.5,2893.25,8277.75,6840.5,7565,6960.75,9033.25,8192.5,7847.75,7165.75,7600,6499.75,4330.25,7479.5,6310.25,6825,7181.75,7394.5,4698.5,4353.5,4415.5,11307,9742,10021,13387.25,11880.25,12105,11384.5,12128.25,11299.25,9583.5,9858.5,7692.75,10090.75,10296.25,9316,9288.75,9792.5,8812,9114.5,10183.5,8641.75,9060,9695.5,7700.5,8917,8882,8126.5,7034.25,6701,6131.5
36,9962.75,12519.5,15087.75,9172.5,11803,10536.25,9420.5,11737.25,10361.75,4849.5,3009.75,9362.5,7634.75,8564.5,7518.5,10032.75,8692.25,8394.25,8076.25,7751,7278.25,4597.75,8196.5,6937.25,7398.25,7584.5,7840,4760.5,4504.5,4566.75,12473,10877,11342,14290,13344.5,13406.75,12132.5,13178.25,12473,10516.75,10838.25,8804.75,11245.25,11016.5,10052.25,9509.75,9982.25,9285,9285,10148.75,8909.25,8909.25,9630,7824.5,8673.25,9122.25,8467.5,7026.5,6596.5,6186.25
39,11357.25,13972.25,16451.5,10668,13309.5,11899.75,10206.75,13108.5,11446.75,5244.5,3381.25,10365.75,8421,9366.25,8320.25,11287.5,9505.5,9056.25,8502.5,7991.25,7967.75,4652,8676.75,7561,8018.5,8068.75,8211.75,4849.75,4636.25,5039.25,13852,12481,12643.25,16428,14712,15180.5,13933.25,14762.75,13751.5,11345.75,11950,9347,12175,11946.25,11272.25,9788.75,10563,9757.75,9192,10520.75,9068,9389.75,9966.5,8026.25,8797,9424.25,8192.5,7232,7084.75,6031.25
42,12279.75,15866.75,18775.5,11512.25,14867.25,13631.25,11644,14735.5,12457.75,5771.75,3935,11473.75,8820,10118,9006.25,12333.5,10118,10362,9509.75,8673,8142,4888.25,9013.75,7646.5,8266.25,8498.5,8886,4969.5,5101.25,5360.75,15448.25,14046,13871.75,18221.75,16699.5,16985.75,15653.5,16362.25,15657.5,12074.25,12829.5,10137.25,12872.25,12616.25,12074,10815.5,11721.5,10148.5,10094.75,11094.25,9792.75,9587.5,10133.5,8142.25,8750.5,9800.25,8700,7445,7240,6178
45,13979.75,17780,21328.5,13027,16153.25,14813,13065.75,16114.5,13968.5,6062,3916,12333.5,10013.25,11047.75,9936,13550,10788.25,10900.25,9842.75,9246,8646,4969.75,9420.5,8425,8816.25,9288.75,9664.5,5213.25,5252.5,5523.5,16955,16195.75,15808.25,20321.25,18055,18961.5,17342.25,18698,17846,13054,13887,11132.75,13658.5,13879.25,12899,11109.5,11849.5,10613.5,10702.75,11504.75,10222.5,10362,10133.25,8529.5,8808.5,9672.5,8754.25,7700.75,7352,5926.25
48,16033.25,20089,23265.25,14549.25,17780.25,16711,13852,17261,15862.5,6526.75,4431.25,13457.25,10950.75,11962,11454.25,15486.75,12043,11787.5,10761,9874,9269.5,5419,9990,8668.75,9045,9653,10540,5322,5519.5,5744.25,19027.25,17284.25,17435.5,22618.75,20417.75,21417.5,19763.5,20553.5,19128,14138.75,14944.5,12050.75,14700.25,15045.25,13585,11307,12264,11318.75,10954.5,12070.25,10540.25,10722,10582.5,8541.25,8920.75,10319.25,9021.5,7921.25,7336.5,6352.25
51,17284.25,21844,25868.75,15719.25,19992,18005,14863,19008.25,17288,7073,4799.5,14320.75,11512.25,12829.25,12093.25,16269.25,13155,12841,11989,10268.75,10160.5,5736.5,10687.25,9707,9350.75,10137.25,10459,5469.25,5756,5833.25,21344,19449.75,19283,25159.75,22785.25,23641.25,21735.5,23199.5,21371.25,15448,15696,12976.75,15095.5,15800.75,14778,12155.5,12744,11675.25,11175.5,12562.25,10861.5,11632.25,11125,8603,9114.5,10238,8975.25,8409.75,7418,6197.5
54,19442,24509,28475.5,17292.25,21433.25,19778.75,16602.25,20639,18512.5,7766.25,5430.25,15641.75,12457.5,12817.75,12961.25,17284.25,14061.25,13898.5,12523.5,10485.75,10524.5,5829.75,11117,9653,9885.5,10412,10849.75,5527.5,6027.25,5914.75,22800.25,21398.5,21297.75,27813.25,25794.75,26682.25,24330.5,25326.25,23327.25,16734,17384.75,14495.25,16769.25,16486,15281.25,12236.75,13189.75,12101,11450.25,12965,11144.5,11624.5,11346,8936.25,9316.25,10838.25,9300.5,8564.25,7925.25,6391.25
57,21777.75,27402.75,31009.25,18775.75,23374,21437,17598.25,22064.5,20077,8572.25,5744.5,17594.5,13240,13565.5,13964.5,19109,14793.5,14576.25,13236.25,11388.5,10733.75,6534.5,11764,9877.5,10156.75,11191,11125.25,5771.5,6000,6251.75,25326,23966.75,23683.75,30854.25,28220,29676.5,26751.75,28169.75,26391.75,18059,19170.75,15726.75,17985.5,17226,16591,12418.5,13743.75,11923,11803,13116.25,11357.25,11756.5,11520.25,9172.5,9424.5,10947,9668.5,8944.25,7580.75,6600.5
60,24156.5,29850.75,34499.5,20340.75,26333.5,23257.5,19229,24284,20991.5,9203.75,5798.5,18198.5,13767,14142.75,14444.75,20890.75,15614.75,15514,13728.25,11798.75,11841.5,6209.25,12089.5,10342.5,10520.5,12023.75,11783.5,5740.5,6387.5,6333,28437,26999.75,26329.75,33957,31047.75,32326.25,29722.75,30765.25,29339.5,19639.5,20631.25,16629.75,19159,18783.75,18028.25,12910.75,14475.75,12465.25,12233,13526.75,11326.5,11775.75,11644.25,9498,9703.25,10939,9509.75,8820,7727.5,6763
63,27379.25,32810.5,38136.75,23032.75,28855.25,25415.25,21111.75,26062.25,23311.75,9753.5,6317.75,19550.5,14754.75,15107.25,15242.75,23486.5,15703.75,16137.75,14119.25,11958,12171.25,6410.5,12728.75,11059,11268.5,12295,12465.5,5845.25,6449.5,6600.5,32117,29974.75,29320.25,37559.75,34697,35638.25,32798.75,34034.75,31981.25,20968.25,22424.75,17601.75,20263.25,20085,18636.25,13429.75,14906,12725,12042.75,13294.25,11833.75,11841.5,11605.5,9788.75,10025.25,11411.75,9501.75,8951.75,7875,6569.5
66,29870.25,36056.75,40910.5,24578.75,30819.25,28235,21859.25,27038.25,25314.75,10307.75,6693.5,20921.75,14964,14979.5,15196.5,24923.5,16196,16389.25,14224,12124.25,12415,6666.5,13642.75,11384.5,11586,12608.5,12477.25,5647.5,6511.5,6643,34693,32798.75,31900,41293.75,38636.5,38869,35584,37490,35053.25,22928.25,24179.5,18861,21123,21266.5,20100.5,13840.5,15483,13337,12205.75,13689.25,12047,12360.75,11923,9850.5,10365.75,11524,9478.5,8885.75,7677.5,6345
69,32515.75,37865.75,43610.75,26670.25,32756.25,29885.75,23540.5,28572.5,27104.5,10908,7026.5,21824.25,14820.5,14925.25,15192.5,26825.5,15715.5,15548.75,13278.75,11741,11857,6468.5,12356.75,10888.75,10323.25,11369,11741,5698,6050.5,6519.25,37737.75,35572.5,34541.75,45105.75,41832.25,41673.25,39399.75,41266.75,38404.25,25214,26066.25,20414.25,23099,22575.75,21321,13906.25,15893.5,13685.5,11888,13922,11849.5,12124.5,12135.75,9645.25,10319.25,11318.5,9645.25,8696,7669.25,6391
72,35956,41263,46996,28506.5,35409.75,32729,24586.25,30013.25,28161.75,11814.5,7293.75,22405.5,15502.25,15227.5,15839.5,28367.25,16370.25,15820,12992.25,12015.75,11485,6554,13011.5,11210.25,10242,11787.5,12027.25,5829.75,5856.75,6550,41321.25,38578.5,38183.5,48599.75,45342,45586,43254.25,44815.25,41305.5,27286.25,28588,21929,24729.75,24296,22459.5,14429.5,16490.25,13740,12062.25,14537.75,12229,12798.5,12267.75,9552.25,10606,11218,9773.25,8820,7901.75,6321.5
